bnum	position	modification
YPOr01	1518	m62A
YPOr01	1519	m62A
YPOr04	1518	m62A
YPOr04	1519	m62A
YPOr09	1518	m62A
YPOr09	1519	m62A
YPOr13	1518	m62A
YPOr13	1519	m62A
YPOr16	1518	m62A
YPOr16	1519	m62A
YPOr19	1518	m62A
YPOr19	1519	m62A
YPOr01	967	m5C
YPOr04	967	m5C
YPOr09	967	m5C
YPOr13	967	m5C
YPOr16	967	m5C
YPOr19	967	m5C
YPOr01	966	m2G
YPOr04	966	m2G
YPOr09	966	m2G
YPOr13	966	m2G
YPOr16	966	m2G
YPOr19	966	m2G
YPOr01	1498	m3U
YPOr04	1498	m3U
YPOr09	1498	m3U
YPOr13	1498	m3U
YPOr16	1498	m3U
YPOr19	1498	m3U
YPOr01	527	m7G
YPOr04	527	m7G
YPOr09	527	m7G
YPOr13	527	m7G
YPOr16	527	m7G
YPOr19	527	m7G
YPOr01	1402	m4Cm
YPOr04	1402	m4Cm
YPOr09	1402	m4Cm
YPOr13	1402	m4Cm
YPOr16	1402	m4Cm
YPOr19	1402	m4Cm
YPOr01	516	Y
YPOr04	516	Y
YPOr09	516	Y
YPOr13	516	Y
YPOr16	516	Y
YPOr19	516	Y
YPOr02	2503	m2A
YPOr05	2503	m2A
YPOr08	2503	m2A
YPOr12	2503	m2A
YPOr15	2503	m2A
YPOr18	2503	m2A
YPOr02	2251	Gm
YPOr05	2251	Gm
YPOr08	2251	Gm
YPOr12	2251	Gm
YPOr15	2251	Gm
YPOr18	2251	Gm
YPOr02	2498	Cm
YPOr05	2498	Cm
YPOr08	2498	Cm
YPOr12	2498	Cm
YPOr15	2498	Cm
YPOr18	2498	Cm
YPOr02	745	m1G
YPOr05	745	m1G
YPOr08	745	m1G
YPOr12	745	m1G
YPOr15	745	m1G
YPOr18	745	m1G
YPOr02	1835	m2G
YPOr05	1835	m2G
YPOr08	1835	m2G
YPOr12	1835	m2G
YPOr15	1835	m2G
YPOr18	1835	m2G
YPOr02	1962	m5C
YPOr05	1962	m5C
YPOr08	1962	m5C
YPOr12	1962	m5C
YPOr15	1962	m5C
YPOr18	1962	m5C
YPOr02	747	m5U
YPOr05	747	m5U
YPOr08	747	m5U
YPOr12	747	m5U
YPOr15	747	m5U
YPOr18	747	m5U
YPOr02	1618	m6A
YPOr05	1618	m6A
YPOr08	1618	m6A
YPOr12	1618	m6A
YPOr15	1618	m6A
YPOr18	1618	m6A
YPOr02	2069	m7G
YPOr05	2069	m7G
YPOr08	2069	m7G
YPOr12	2069	m7G
YPOr15	2069	m7G
YPOr18	2069	m7G
YPOr02	2552	Um
YPOr05	2552	Um
YPOr08	2552	Um
YPOr12	2552	Um
YPOr15	2552	Um
YPOr18	2552	Um
YPOr02	1911	Y
YPOr02	1915	Y
YPOr02	1917	Y
YPOr05	1911	Y
YPOr05	1915	Y
YPOr05	1917	Y
YPOr08	1911	Y
YPOr08	1915	Y
YPOr08	1917	Y
YPOr12	1911	Y
YPOr12	1915	Y
YPOr12	1917	Y
YPOr15	1911	Y
YPOr15	1915	Y
YPOr15	1917	Y
YPOr18	1911	Y
YPOr18	1915	Y
YPOr18	1917	Y
