complex_id,name,genes,mod,replace
CPLX-tRNA-GLY-LIGASE,tRNA-Gly ligase,YPO4071(2) AND YPO4072(2),,
CPLX-tRNA-PHE-LIGASE,tRNA-Phe ligase,YPO2428(2) AND YPO2429(2),,
CPLX-tRNA-PHE-LIGASE,,,mg2(1),
CPLX_14GLUCANabcpp-0,"1,4-alpha-D-glucan transport via ABC system (periplasm)",YPO3714() AND YPO3715() AND YPO3716() AND YPO3712(),,
CPLX_AACPS1-0,Acyl-[acyl-carrier-protein] synthetase (n-C14:0),YPO0793() AND YPO1600(),,
CPLX_ACCOAC-0,Acetyl-CoA carboxylase,YPO1060() AND YPO2768() AND YPO3659() AND YPO3658(),,
CPLX_ACGAptspp-0,N-Acetyl-D-glucosamine transport via PEP:Pyr PTS  (periplasm),YPO2628() AND YPO2993(),,
CPLX_ACHBS-0,2-aceto-2-hydroxybutanoate synthase,YPO2294() AND YPO2293(),,
CPLX_ACOATA-0,Acetyl-CoA ACP transacylase,YPO1600() AND YPO1597(),,
CPLX_ADCS-0,4-amino-4-deoxychorismate synthase,YPO0169(1) AND YPO1773(1),,
CPLX_ADCS-0,,,mg2(1),
CPLX_ADOCBLabcpp-0,Adenosylcobalamin transport via ABC system (periplasm),YPO2425() AND YPO2423() AND YPO3385(),,
CPLX_ADOCBLtonex-0,Adenosylcobalimin transport via ton system (extermal),YPO2193() AND YPO0683() AND YPO0682(),,
CPLX_AKGDH-0,2-Oxogluterate dehydrogenase,YPO1113(12) AND YPO3417(2) AND YPO1114(24),,
CPLX_AKGDH-0,,,mg2(1) AND lipo(1),
CPLX_AKGDH-0,,,mg2(1) AND fad(1) AND thmpp(1) AND lipoyl(1),
CPLX_ALAALAabcpp-0,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),YPO4003() AND YPO4002() AND YPO4001() AND YPO4000() AND YPO3999(),,
CPLX_ALPATE160pp-0,"Apolipoprotein N-acyltransferase (phosphatidylethanolamine, periplasm)",YPO2616() AND YPO2394(),,
CPLX_ARBabcpp-0,L-arabinose transport via ABC system (periplasm),YPO2255() AND YPO2256() AND YPO2257(),,
CPLX_ARGabcpp-0,L-arginine transport via ABC system (periplasm),YPO2776() AND YPO2777() AND YPO2775(),,
CPLX_ARGabcpp-1,L-arginine transport via ABC system (periplasm),YPO1351() AND YPO1349() AND YPO1352() AND YPO1350(),,
CPLX_ASPCT-0,Aspartate carbamoyltransferase,YPO3589() AND YPO3588(),,
CPLX_ASPabcpp-0,L-aspartate transport via ABC system (periplasm),YPO2615() AND YPO2614() AND YPO2613() AND YPO2612(),,
CPLX_ATPS4rpp-0,ATP synthase (four protons for one ATP) (periplasm),YPO4125() AND YPO4126() AND YPO4127() AND YPO4120() AND YPO4121() AND YPO4122() AND YPO4123() AND YPO4124(),,
CPLX_ATPS4rpp-1,ATP synthase (four protons for one ATP) (periplasm),YPO4125() AND YPO4126() AND YPO4127() AND YPO4120() AND YPO4121() AND YPO4122() AND YPO4123() AND YPO4124() AND YPO4128(),,
CPLX_BUTSO3abcpp-0,Butanesulfonate transport via ABC system (periplasm),YPO3624() AND YPO3627() AND YPO3626(),,
CPLX_CBPS-0,,,mg2(1),
CPLX_CBPS-0,Carbamoyl-phosphate synthase (glutamine-hydrolysing),YPO0481(2) AND YPO0482(2),,
CPLX_CBPS-0,,,zn2(1),
CPLX_CBPS-0,,,cd2(1),
CPLX_CBPS-0,,,mn2(1),
CPLX_CBPS-0,,,cobalt2(1),
CPLX_CRNabcpp-0,L-carnitine transport via ABC system (periplasm),YPO2647() AND YPO2646() AND YPO2645(),,
CPLX_CYTBD2pp-0,Cytochrome oxidase bd (menaquinol-8: 2 protons) (periplasm),YPO1117(1) AND YPO1118(1),,
CPLX_CYTBD2pp-0,,,pheme(1) AND hemed(1),
CPLX_CYTBO3_4pp-0,Cytochrome oxidase bo3 (ubiquinol-8: 4 protons) (periplasm),YPO3167() AND YPO3166() AND YPO3165() AND YPO3164(),,
CPLX_DMSOR1-0,Dimethyl sulfoxide reductase (Menaquinol 8),YPO3325() AND YPO3324() AND YPO3323(),,
CPLX_DSBAO1-0,DsbA protein reoxidation reaction (aerobic),YPO0015() AND YPO2141(),,
CPLX_DSBDR-0,DsbD reductase,YPO0345() AND YPO3868(),,
CPLX_DSBDR-1,DsbD reductase,YPO0345() AND YPO3270(),,
CPLX_ECAP1pp-0,Enterobacterial common antigen polymerase (periplasm),YPO3856() AND YPO3865(),,
CPLX_FDH4pp-0,Formate dehydrogenase (quinone-8) (periplasm),YPO4056() AND YPO4057(),,
CPLX_FE3DCITabcpp-0,Iron transport from ferric-dicitrate via ABC system (periplasm),YPO3391() AND YPO3390() AND YPO3392(),,
CPLX_FE3DCITtonex-0,Ferric-dicitrate transport via ton system (extracellular),YPO3910() AND YPO2193() AND YPO0683() AND YPO0682(),,
CPLX_FEex-0,Iron transporter,YPO1310() AND YPO1311() AND YPO1312(),,
CPLX_FEex-1,Iron transporter,YPO2958() AND YPO2959() AND YPO2960(),,
CPLX_FEex-2,Iron transporter,YPO2441() AND YPO2442() AND YPO2440() AND YPO2439(),,
CPLX_FLDR-0,Flavodoxin reductase (NADPH),YPO2635() AND YPO0088(),,
CPLX_FLDR-1,Flavodoxin reductase (NADPH),YPO0893() AND YPO0088(),,
CPLX_FLVR-0,Flavin reductase,YPO3372(8) AND YPO3371(4),,
CPLX_FLVR-0,,,4fe4s(1) AND sheme(1) AND fmn(1) AND fad(1),
CPLX_FRD2-0,Fumarate reductase,YPO0357() AND YPO0358() AND YPO0359() AND YPO0360(),,
CPLX_FRUptspp-0,D-fructose transport via PEP:Pyr PTS (periplasm),YPO1300() AND YPO1298() AND YPO2993(),,
CPLX_G3PD5-0,Glycerol-3-phosphate dehydrogenase (ubiquinone-8),YPO3825() AND YPO3824(),,
CPLX_GALUi-0,UTP-glucose-1-phosphate uridylyltransferase (irreversible),YPO1539() AND YPO1540(),,
CPLX_GAMptspp-0,D-glucosamine transport via PEP:Pyr PTS (periplasm),YPO1758() AND YPO1757() AND YPO1756() AND YPO2993(),,
CPLX_GLCabcpp-0,D-glucose transport via ABC system (periplasm),YPO1508() AND YPO1507() AND YPO1509(),,
CPLX_GLCptspp-0,D-glucose transport via PEP:Pyr PTS (periplasm),YPO2995() AND YPO1608() AND YPO2993(),,
CPLX_GLCptspp-1,D-glucose transport via PEP:Pyr PTS (periplasm),YPO2995() AND YPO2993(),,
CPLX_GLNabcpp-0,L-glutamine transport via ABC system (periplasm),YPO2512() AND YPO2513() AND YPO2514(),,
CPLX_GLUSy-0,,,fe2(1) AND fad(1),
CPLX_GLUSy-0,Glutamate synthase (NADPH),YPO3558(4) AND YPO3557(4),,
CPLX_GLYBabcpp-0,Glycine betaine transport via ABC system (periplasm),YPO1198() AND YPO1199(),,
CPLX_GLYC3Pabcpp-0,Sn-Glycerol 3-phosphate transport via ABC system (periplasm),YPO3795() AND YPO3796() AND YPO3793() AND YPO3794(),,
CPLX_GLYCL-0,Glycine Cleavage System,YPO0906() AND YPO0905() AND YPO0907() AND YPO3417(),,
