,query,evalue
B488_00660,BSU25270,1.28e-117
B488_02270,BSU23160,2.8799999999999997e-34
B488_02680,BSU31600,4.85e-57
B488_03070,BSU30190,5.76e-55
B488_10960,BSU25570,3.02e-15
B488_11100,BSU05990,3.77e-29
B488_11840,BSU09640,2.23e-13
B488_12450,BSU36360,1.88e-15
B488_12660,BSU15950,1.48e-72
B488_RS00005,BSU41020,2.2e-69
B488_RS00010,BSU41010,0.0
B488_RS00015,BSU41000,3.28e-12
B488_RS00020,BSU40970,2.56e-91
B488_RS00025,BSU40960,2.1e-53
B488_RS00040,BSU30320,0.0
B488_RS00045,BSU15380,3.77e-20
B488_RS00060,BSU16800,1.7299999999999998e-146
B488_RS00100,BSU24470,1.1800000000000002e-37
B488_RS00110,BSU11420,1.71e-84
B488_RS00120,BSU14450,5.97e-106
B488_RS00125,BSU24300,9.86e-76
B488_RS00145,BSU16590,3.64e-18
B488_RS00150,BSU16600,2e-98
B488_RS00155,BSU16630,0.0
B488_RS00165,BSU16660,8.1e-44
B488_RS00170,BSU16680,5.25e-32
B488_RS00175,BSU16690,0.0
B488_RS00185,BSU19710,3e-16
B488_RS00190,BSU14180,3.74e-24
B488_RS00195,BSU10030,2.6500000000000003e-21
B488_RS00200,BSU16490,1.01e-74
B488_RS00205,BSU16500,6.39e-44
B488_RS00210,BSU16510,7.13e-62
B488_RS00215,BSU16520,2.66e-51
B488_RS00220,BSU16530,4.44e-71
B488_RS00225,BSU16540,1.18e-22
B488_RS00230,BSU16560,9.099999999999999e-45
B488_RS00245,BSU36370,8.3e-31
B488_RS00265,BSU00040,5.550000000000001e-29
B488_RS00270,BSU27900,1.85e-27
B488_RS00285,BSU00190,2.0300000000000002e-71
B488_RS00290,BSU00200,6.95e-13
B488_RS00295,BSU00210,1.16e-55
B488_RS00300,BSU28680,2.46e-57
B488_RS00305,BSU36950,3.86e-44
B488_RS00315,BSU27250,1.7100000000000001e-105
B488_RS00320,BSU38620,4.61e-18
B488_RS00345,BSU22740,1.85e-55
B488_RS00360,BSU35290,9.8e-115
B488_RS00370,BSU27580,7.37e-17
B488_RS00380,BSU37130,1.08e-15
B488_RS00395,BSU38170,2.2e-46
B488_RS00400,BSU38160,0.0
B488_RS00405,BSU38150,4.8500000000000005e-43
B488_RS00415,BSU11710,2.7800000000000002e-49
B488_RS00420,BSU38290,1.18e-21
B488_RS00425,BSU01390,1.1100000000000001e-21
B488_RS00430,BSU28050,1.06e-26
B488_RS00445,BSU13420,1.05e-63
B488_RS00460,BSU00360,3.72e-57
B488_RS00490,BSU16710,2.92e-68
B488_RS00500,BSU14270,4.42e-33
B488_RS00505,BSU11690,3.26e-51
B488_RS00545,BSU22600,1.11e-87
B488_RS00550,BSU22890,5.1899999999999996e-40
B488_RS00555,BSU22880,2.66e-60
B488_RS00570,BSU00020,1.3200000000000001e-36
B488_RS00580,BSU15550,2.3900000000000002e-29
B488_RS00600,BSU18000,0.0
B488_RS00610,BSU13990,7.78e-26
B488_RS00615,BSU19240,3.21e-13
B488_RS00620,BSU15430,0.0
B488_RS00635,BSU29180,1.1000000000000001e-96
B488_RS00645,BSU22460,9.17e-11
B488_RS00650,BSU27320,7.100000000000001e-31
B488_RS00655,BSU15520,0.0
B488_RS00675,BSU05370,3.45e-47
B488_RS00680,BSU28290,5.81e-114
B488_RS00700,BSU08790,0.0
B488_RS00705,BSU23480,1.44e-41
B488_RS00720,BSU38760,7.16e-82
B488_RS00725,BSU38750,2.1299999999999998e-39
B488_RS00740,BSU15540,2.44e-13
B488_RS00745,BSU11250,6.45e-96
B488_RS00750,BSU11220,1.54e-109
B488_RS00775,BSU08730,8.69e-22
B488_RS00780,BSU17010,1.4700000000000001e-100
B488_RS00785,BSU25320,1.04e-14
B488_RS00790,BSU26610,1.3800000000000001e-22
B488_RS00805,BSU30550,2.1e-119
B488_RS00810,BSU29900,5.67e-20
B488_RS00820,BSU22840,4.0700000000000003e-97
B488_RS00830,BSU15510,7.04e-92
B488_RS00845,BSU27550,1.14e-148
B488_RS00850,BSU00520,2.6299999999999998e-23
B488_RS00855,BSU05130,2.36e-21
B488_RS00870,BSU06360,0.0
B488_RS00890,BSU16210,1.78e-18
B488_RS00905,BSU16380,2.33e-47
B488_RS00910,BSU16220,1.82e-20
B488_RS00935,BSU16240,9.05e-91
B488_RS00990,BSU16190,1.68e-18
B488_RS01000,BSU16290,1.96e-51
B488_RS01030,BSU16350,2.6200000000000002e-65
B488_RS01035,BSU23380,2.33e-63
B488_RS01040,BSU29440,1.86e-154
B488_RS01045,BSU28520,7.08e-57
B488_RS01050,BSU28530,7.76e-31
B488_RS01055,BSU07900,9.58e-25
B488_RS01070,BSU35670,7.03e-86
B488_RS01100,BSU14880,3.2100000000000003e-44
B488_RS01105,BSU23260,6.25e-78
B488_RS01110,BSU22710,1.08e-56
B488_RS01115,BSU00180,5.28e-31
B488_RS01125,BSU15010,5.36e-20
B488_RS01170,BSU17050,4.26e-99
B488_RS01175,BSU00420,2.66e-35
B488_RS01205,BSU32050,7.75e-90
B488_RS01215,BSU22730,8.6e-35
B488_RS01255,BSU16670,1.0099999999999999e-46
B488_RS01265,BSU06020,7.67e-29
B488_RS01270,BSU06030,0.0
B488_RS01315,BSU12160,1.25e-19
B488_RS01350,BSU31630,9.2e-19
B488_RS01355,BSU22440,2.22e-26
B488_RS01360,BSU14530,5.280000000000001e-88
B488_RS01365,BSU16570,4.8300000000000004e-73
B488_RS01385,BSU28470,3.88e-102
B488_RS01390,BSU13910,2.98e-88
B488_RS01395,BSU37010,1.23e-118
B488_RS01400,BSU37000,3.59e-25
B488_RS01410,BSU00860,0.0
B488_RS01450,BSU25020,1.61e-60
B488_RS01470,BSU24100,5.6499999999999994e-52
B488_RS01490,BSU11720,1.55e-85
B488_RS01505,BSU25440,4.89e-17
B488_RS01530,BSU09130,6.040000000000001e-129
B488_RS01540,BSU19480,2.8e-50
B488_RS01550,BSU00940,1.6000000000000001e-105
B488_RS01560,BSU06490,3.95e-144
B488_RS01570,BSU00870,1.01e-141
B488_RS01575,BSU17640,9.2e-30
B488_RS01580,BSU40440,1.16e-94
B488_RS01585,BSU40500,2.64e-19
B488_RS01595,BSU40890,2.38e-21
B488_RS01600,BSU40910,2.27e-12
B488_RS01610,BSU38860,9.54e-75
B488_RS01615,BSU11370,5.99e-89
B488_RS01620,BSU11430,1.56e-17
B488_RS01625,BSU11390,5.69e-74
B488_RS01630,BSU11400,7.549999999999999e-55
B488_RS01640,BSU35300,0.0
B488_RS01645,BSU09950,7.399999999999999e-23
B488_RS01650,BSU11200,4.66e-76
B488_RS01655,BSU34780,4.31e-13
B488_RS01665,BSU25620,4.17e-11
B488_RS01675,BSU35240,4.27e-60
B488_RS01705,BSU27740,8.57e-21
B488_RS01710,BSU27730,1.1000000000000002e-124
B488_RS01745,BSU00670,7.48e-18
B488_RS01750,BSU00690,0.0
B488_RS01755,BSU01770,1.1599999999999998e-128
B488_RS01775,BSU17380,5.6999999999999995e-46
B488_RS01800,BSU15890,1.0800000000000001e-57
B488_RS01805,BSU10170,6.51e-81
B488_RS01820,BSU16060,1.37e-49
B488_RS01830,BSU04470,1.07e-137
B488_RS01855,BSU22340,3.4e-57
B488_RS01860,BSU04580,1.83e-88
B488_RS01870,BSU17460,1.1899999999999999e-94
B488_RS01875,BSU38720,1.68e-14
B488_RS01880,BSU35160,0.0
B488_RS01885,BSU40900,6.62e-12
B488_RS01890,BSU00070,0.0
B488_RS01895,BSU15020,2.85e-31
B488_RS01915,BSU24310,2.04e-77
B488_RS01925,BSU23850,1.2900000000000001e-132
B488_RS01945,BSU22430,1.1500000000000001e-80
B488_RS01950,BSU22420,1.03e-66
B488_RS01955,BSU22410,2.4999999999999997e-34
B488_RS01970,BSU16120,1.15e-155
B488_RS01975,BSU01100,1.2099999999999999e-55
B488_RS01980,BSU01110,1.78e-58
B488_RS01985,BSU01120,0.0
B488_RS01995,BSU01150,2.98e-36
B488_RS02000,BSU01160,9.099999999999999e-45
B488_RS02005,BSU01170,7.32e-49
B488_RS02010,BSU01180,2.55e-11
B488_RS02015,BSU01190,1.01e-101
B488_RS02020,BSU01200,4.98e-33
B488_RS02025,BSU01210,1.43e-25
B488_RS02030,BSU01220,6.41e-82
B488_RS02035,BSU01230,5.5e-53
B488_RS02040,BSU01240,2.42e-16
B488_RS02045,BSU01250,1.39e-18
B488_RS02050,BSU01260,1.62e-44
B488_RS02055,BSU01270,4.48e-26
B488_RS02060,BSU01280,1.95e-76
B488_RS02065,BSU08880,1.1499999999999999e-23
B488_RS02070,BSU01300,2.36e-31
B488_RS02075,BSU01310,5.3099999999999993e-48
B488_RS02080,BSU01320,1.01e-33
B488_RS02085,BSU01330,2.01e-50
B488_RS02095,BSU01350,2.6400000000000002e-36
B488_RS02100,BSU01360,6.85e-105
B488_RS02105,BSU01370,1.31e-37
B488_RS02110,BSU01410,1.2499999999999998e-42
B488_RS02115,BSU01420,2.9e-50
B488_RS02120,BSU01430,1.14e-93
B488_RS02125,BSU01440,1.6700000000000001e-37
B488_RS02135,BSU28040,4.4600000000000006e-27
B488_RS02140,BSU01380,1.5399999999999998e-67
B488_RS02150,BSU13580,9.33e-89
B488_RS02155,BSU32260,4.77e-76
B488_RS02160,BSU27620,1.5700000000000001e-77
B488_RS02195,BSU16940,5.890000000000001e-157
B488_RS02200,BSU27410,0.0
B488_RS02205,BSU33040,0.0
B488_RS02240,BSU33920,2.39e-56
B488_RS02250,BSU37150,0.0
B488_RS02530,BSU23110,1.21e-35
B488_RS02540,BSU28390,1.09e-24
B488_RS02545,BSU29660,1.6199999999999999e-46
B488_RS02550,BSU14830,7.980000000000001e-70
B488_RS02555,BSU05680,1e-33
B488_RS02570,BSU06480,0.0
B488_RS02580,BSU06470,1.02e-70
B488_RS02585,BSU06460,1.08e-16
B488_RS02590,BSU06450,4.6100000000000004e-66
B488_RS02595,BSU06440,3.65e-165
B488_RS02600,BSU15790,5.6000000000000005e-70
B488_RS02640,BSU17660,4.87e-13
B488_RS02650,BSU11570,7.05e-18
B488_RS02670,BSU16770,3.57e-62
B488_RS02675,BSU33600,6.1800000000000005e-43
B488_RS02730,BSU10570,1.58e-19
B488_RS02745,BSU14360,1.67e-72
B488_RS02750,BSU14370,1.99e-46
B488_RS02760,BSU07370,2.53e-116
B488_RS02765,BSU08720,5.82e-47
B488_RS02775,BSU29670,1.0500000000000001e-99
B488_RS02795,BSU29230,0.0
B488_RS02800,BSU25210,1.6600000000000001e-65
B488_RS02820,BSU31010,4.21e-13
B488_RS02825,BSU10130,3.79e-13
B488_RS02840,BSU11540,4.4099999999999997e-42
B488_RS02875,BSU00730,2.54e-101
B488_RS02880,BSU00930,5.8299999999999995e-46
B488_RS02890,BSU09120,1.0900000000000001e-21
B488_RS02895,BSU04560,2.78e-38
B488_RS02905,BSU15280,6.67e-52
B488_RS02910,BSU15290,3.18e-82
B488_RS02925,BSU24240,1.33e-84
B488_RS02930,BSU06620,2.24e-154
B488_RS02940,BSU00810,1.9499999999999997e-23
B488_RS02960,BSU33300,4.19e-42
B488_RS02970,BSU07490,1.19e-38
B488_RS02975,BSU03600,9.81e-72
B488_RS02980,BSU03610,8.27e-60
B488_RS02985,BSU19690,5.78e-71
B488_RS02995,BSU24450,1.1000000000000001e-35
B488_RS03005,BSU15800,7.61e-14
B488_RS03015,BSU40920,5.11e-132
B488_RS03020,BSU00530,4.430000000000001e-43
B488_RS03080,BSU21820,4.52e-126
B488_RS03085,BSU21810,1.66e-29
