,value
5DOAN,"{'name': ""5'-deoxyadenosine nuclosidase"", 'gene_reaction_rule': 'TM1129', 'reaction': 'dad__5_c + h2o_c --> 5drib_c + ade_c', 'notes': ''}"
ADA,"{'name': '', 'gene_reaction_rule': 'TM0936', 'reaction': 'adn_c + h_c + h2o_c --> ins_c + nh4_c', 'notes': ''}"
AROH,"{'name': '', 'gene_reaction_rule': 'TM0343', 'reaction': '', 'notes': ''}"
BGLA,"{'name': '', 'gene_reaction_rule': '(TM0025)', 'reaction': '', 'notes': ''}"
BUTK,"{'name': '', 'gene_reaction_rule': '(TM1754 or TM1756)', 'reaction': '', 'notes': ''}"
CA2tex,"{'name': 'calcium (Ca+2) transport via diffusion (extracellular to periplasm)', 'gene_reaction_rule': '', 'reaction': 'ca2_e <=> ca2_p', 'notes': ''}"
CAt6pp,"{'name': 'calcium / sodium antiporter (1:1)', 'gene_reaction_rule': 'TM0724', 'reaction': 'ca2_c + na1_p <=> ca2_p + na1_c', 'notes': ''}"
CBL1ab_cpp,"{'name': 'Cob(1)alamin transport via ABC system (periplasm)', 'gene_reaction_rule': 'TM0078 and TM0079 and TM0080', 'reaction': 'atp_c + cbl1_p + h2o_c --> adp_c + cbl1_c + h_c + pi_c', 'notes': ''}"
CCGS,"{'name': '7-cyano-7-carbaguanine synthase', 'gene_reaction_rule': '', 'reaction': 'atp_c + cdg_c + nh4_c --> adp_c + h2o_c + h_c + pi_c + preq0_c', 'notes': ''}"
CD2t3pp,"{'name': 'cadmium (Cd+2) transport out via proton antiport (periplasm)', 'gene_reaction_rule': 'TM0876 or TM0538', 'reaction': 'cd2__c + h_p --> cd2_p + h_c', 'notes': ''}"
CD2tpp,"{'name': 'cadmium (+2) transport in via permease (no H+)', 'gene_reaction_rule': 'TM1738', 'reaction': 'cd2_p --> cd2_c', 'notes': ''}"
CDGR,"{'name': '7-cyano-7-deazaguanine reductase', 'gene_reaction_rule': '', 'reaction': '3.0 h_c + 2.0 nadph_c + preq0_c --> 2.0 nadp_c + preq1_c', 'notes': ''}"
CDGS,"{'name': '7-deaza-7-carboxyguanine synthase', 'gene_reaction_rule': '', 'reaction': 'cph4_c + h_c --> cdg_c + nh4_c', 'notes': ''}"
CELLBabc,"{'name': '', 'gene_reaction_rule': '((TM0031 and TM0030 and TM0029 and TM0028 and TM0027) or (TM1223 and TM1222 and TM1221 and TM1220 and TM1219))', 'reaction': '', 'notes': ''}"
CHORMr,"{'name': '', 'gene_reaction_rule': 'TM0343', 'reaction': '', 'notes': ''}"
COBALT2tex,"{'name': 'cobalt (Co+2) transport via diffusion (extracellular to periplasm)', 'gene_reaction_rule': '', 'reaction': 'cobalt2_e <=> cobalt2_p', 'notes': ''}"
COBALT2tpp,"{'name': 'cobalt transport in via permease (no H+)', 'gene_reaction_rule': 'TM0561', 'reaction': 'cobalt2_p --> cobalt2_c', 'notes': ''}"
