,value
TM0005,MONOMER
TM0006,MONOMER
TM0007,MONOMER
TM0008,MONOMER
TM0009,MONOMER
TM0010,MONOMER
TM0011,MONOMER
TM0012,MONOMER
TM0013,MONOMER
TM0014,MONOMER
TM0015,MONOMER
TM0016,MONOMER
TM0017,MONOMER
TM0018,MONOMER
TM0019,MONOMER
TM0020,MONOMER
TM0021,MONOMER
TM0022,MONOMER
TM0023,MONOMER
TM0024,MONOMER
TM0025,MONOMER
TM0026,MONOMER
TM0027,MONOMER
TM0028,MONOMER
TM0029,MONOMER
TM0030,MONOMER
TM0031,MONOMER
TM0032,MONOMER
TM0033,MONOMER
TM0034,MONOMER
TM0035,MONOMER
TM0036,MONOMER
TM0037,MONOMER
TM0038,MONOMER
TM0039,MONOMER
TM0040,MONOMER
TM0041,MONOMER
TM0042,MONOMER
TM0043,MONOMER
TM0045,MONOMER
TM0047,MONOMER
TM0048,MONOMER
TM0049,MONOMER
TM0050,MONOMER
TM0051,MONOMER
TM0052,MONOMER
TM0053,MONOMER
TM0054,MONOMER
TM0055,MONOMER
TM0056,MONOMER
TM0057,MONOMER
TM0058,MONOMER
TM0059,MONOMER
TM0060,MONOMER
TM0061,MONOMER
TM0062,MONOMER
TM0063,MONOMER
TM0064,MONOMER
TM0065,MONOMER
TM0066,MONOMER
TM0067,MONOMER
TM0068,MONOMER
TM0069,MONOMER
TM0070,MONOMER
TM0071,MONOMER
TM0072,MONOMER
TM0073,MONOMER
TM0074,MONOMER
TM0075,MONOMER
TM0076,MONOMER
TM0077,MONOMER
TM0078,MONOMER
TM0079,MONOMER
TM0080,MONOMER
TM0081,MONOMER
TM0082,MONOMER
TM0083,MONOMER
TM0084,MONOMER
TM0085,MONOMER
TM0086,MONOMER
TM0087,MONOMER
TM0088,MONOMER
TM0089,MONOMER
TM0090,MONOMER
TM0091,MONOMER
TM0092,MONOMER
TM0093,MONOMER
TM0094,MONOMER
TM0095,MONOMER
TM0096,MONOMER
TM0097,MONOMER
TM0098,MONOMER
TM0099,MONOMER
TM0100,MONOMER
TM0101,MONOMER
TM0102,MONOMER
TM0103,MONOMER
TM0104,MONOMER
TM0105,MONOMER
TM0106,MONOMER
TM0107,MONOMER
TM0108,MONOMER
TM0109,MONOMER
TM0110,MONOMER
TM0111,MONOMER
TM0112,MONOMER
TM0113,MONOMER
TM0114,MONOMER
TM0115,MONOMER
TM0116,MONOMER
TM0117,MONOMER
TM0118,MONOMER
TM0119,MONOMER
TM0120,MONOMER
TM0121,MONOMER
TM0122,MONOMER
TM0123,MONOMER
TM0124,MONOMER
TM0125,MONOMER
TM0126,MONOMER
TM0127,MONOMER
TM0128,MONOMER
TM0129,MONOMER
TM0130,MONOMER
TM0132,MONOMER
TM0133,MONOMER
TM0134,MONOMER
TM0135,MONOMER
TM0136,MONOMER
TM0137,MONOMER
TM0138,MONOMER
TM0139,MONOMER
TM0140,MONOMER
TM0141,MONOMER
TM0142,MONOMER
TM0143,MONOMER
TM0145,MONOMER
TM0146,MONOMER
TM0147,MONOMER
TM0148,MONOMER
TM0149,MONOMER
TM0150,MONOMER
TM0151,MONOMER
TM0152,MONOMER
TM0153,MONOMER
TM0156,MONOMER
TM0157,MONOMER
TM0158,MONOMER
TM0159,MONOMER
TM0160,MONOMER
TM0161,MONOMER
TM0162,MONOMER
TM0163,MONOMER
TM0164,MONOMER
TM0165,MONOMER
TM0166,MONOMER
TM0167,MONOMER
TM0168,MONOMER
TM0169,MONOMER
TM0170,MONOMER
TM0171,MONOMER
TM0172,MONOMER
TM0173,MONOMER
TM0174,MONOMER
TM0175,MONOMER
TM0176,MONOMER
TM0177,MONOMER
TM0178,MONOMER
TM0179,MONOMER
TM0180,MONOMER
TM0181,MONOMER
TM0182,MONOMER
TM0183,MONOMER
TM0184,MONOMER
TM0185,MONOMER
TM0186,MONOMER
TM0187,MONOMER
TM0188,MONOMER
TM0189,MONOMER
TM0190,MONOMER
TM0191,MONOMER
TM0192,MONOMER
TM0193,MONOMER
TM0194,MONOMER
TM0196,MONOMER
TM0197,MONOMER
TM0198,MONOMER
TM0199,MONOMER
TM0200,MONOMER
TM0201,MONOMER
TM0202,MONOMER
TM0203,MONOMER
TM0204,MONOMER
TM0205,MONOMER
TM0206,MONOMER
TM0207,MONOMER
TM0208,MONOMER
TM0209,MONOMER
TM0210,MONOMER
TM0211,MONOMER
TM0212,MONOMER
TM0213,MONOMER
TM0214,MONOMER
TM0215,MONOMER
TM0216,MONOMER
TM0217,MONOMER
TM0218,MONOMER
