Modified_enzyme,Core_enzyme,Modifications,Source
SufBCD_mod_2fe1s(1),SufBCD,2fe1s(1),Manual
SufBCD_mod_2fe2s(1)_mod_2fe1s(1),SufBCD,2fe2s(1) AND 2fe1s(1),Manual
SufBCD_mod_2fe2s(2),SufBCD,2fe2s(2),Manual
SufBCD_mod_2fe2s(1)_mod_fe2(2),SufBCD,2fe2s(1) AND fe2(2),Manual
SufBCD_mod_4fe4s(1),SufBCD,4fe4s(1),Manual
SufBCD_mod_2fe2s(1)_mod_fe2(1),SufBCD,2fe2s(1) AND fe2(1),Manual
SufBCD_mod_fe2(1),SufBCD,fe2(1),Manual
SufSU_mod_pydx5p(1),SufSU,pydx5p(1),Manual
SufSU_mod_pydx5p(1)_mod_SH(1),SufSU,pydx5p(1) AND SH(1),Manual
TM0017-MONOMER_mod_thmpp(1),TM0017-MONOMER,thmpp(1),Manual
TM0040-MONOMER_mod_mg2(1),TM0040-MONOMER,mg2(1),Manual
TM0041-MONOMER_mod_mg2(1),TM0041-MONOMER,mg2(1),Manual
TM0064-MONOMER_mod_zn2(1),TM0064-MONOMER,zn2(1),Manual
TM0097-MONOMER_mod_mg2(1),TM0097-MONOMER,mg2(1),Manual
TM0100-MONOMER_mod_mg2(1),TM0100-MONOMER,mg2(1),Manual
TM0116-MONOMER_mod_mg2(1),TM0116-MONOMER,mg2(1),Manual
TM0156-MONOMER_mod_zn2(1)_mod_mg2(1),TM0156-MONOMER,zn2(1) AND mg2(1),Manual
TM0159-MONOMER_mod_mg2(1),TM0159-MONOMER,mg2(1),Manual
TM0161-MONOMER_mod_mg2(1),TM0161-MONOMER,mg2(1),Manual
TM0161-MONOMER_mod_mn2(1),TM0161-MONOMER,mn2(1),Manual
TM0167-MONOMER_mod_mn2(1),TM0167-MONOMER,mn2(1),Manual
TM0208-MONOMER_mod_mg2(1)_mod_k(1),TM0208-MONOMER,mg2(1) AND k(1),Manual
TM0208-MONOMER_mod_mn2(1)_mod_k(1),TM0208-MONOMER,mn2(1) AND k(1),Manual
TM0209-MONOMER_mod_mg2(1),TM0209-MONOMER,mg2(1),Manual
TM0225-MONOMER_mod_pydx5p(1),TM0225-MONOMER,pydx5p(1),Manual
