complex_id,name,genes,mod,replace
CLJU_RS15760-MONOMER,,,hmbil(1),
YidC_mono,,CLJU_c42940(1),,
Hyp_CPLX,,,zn2(1) AND ni2(1),
CPLX-1,,,fe2(1) AND zn2(1),
CPLX-1,,,mn2(1) AND zn2(1),
CPLX-1,,,cobalt2(1) AND zn2(1),
CPLX-4,,,mg2(1),
CPLX-4,,,mn2(1),
CPLX-5,,,k(1) AND mg2(1),
CPLX-7,,,fe2(1),
CPLX-9,,,mg2(1),
CPLX-16,,,mg2(1),
GluS_mono,,,mg2(1) AND zn2(1),
CPLX-30,,,mg2(1),
CPLX-35,,,mg2(1),
CPLX-48,,,mn2(1),
CPLX-55,,,nad(1),
CPLX-65,,,pydx5p(6),
CPLX-69,,,mg2(1),
CPLX-72,,,pydx5p(1),
CPLX-92,,,zn2(1),
CPLX-98,,,mg2(1),
CPLX-98,,,mn2(1),
CPLX-98,,,cobalt2(1),
CPLX-105,,,mg2(1),
CPLX-105,,,mn2(1),
CPLX-105,,,cobalt2(1),
CPLX-105,,,cd2(1),
CPLX-105,,,zn2(1),
CPLX-117,,,mg2(1),
CPLX-117,,,mn2(1),
CPLX-123,,,mg2(1),
CPLX-124,,,mg2(1),
CPLX-124,,,mn2(1),
CPLX-124,,,cobalt2(1),
CPLX-134,,,mg2(1) AND pi(1),
CPLX-134,,,mn2(1) AND pi(1),
CPLX-140,,,pydx5p(1),
CPLX-156,,,mg2(1),
CPLX-159,,,mg2(1),
CPLX-178,,,mg2(1),
CPLX-180,,,mg2(1),
CPLX-183,,,mn2(1),
CPLX-183,,,mg2(1),
CPLX-185,,,pydx5p(2),
CPLX-186,,,zn2(1),
CPLX-203,,,k(1) AND mg2(1),
CPLX-218,,,mg2(1),
CPLX-221,,,mg2(1) AND k(1),
CPLX-221,,,mn2(1) AND k(1),
CPLX-224,,,zn2(1),
CPLX-225,,,fe2(1),
CPLX-229,,,mg2(1),
CPLX-232,,,mg2(1),
CPLX-238,,,mg2(1),
CPLX-243,,,pydx5p(1),
CPLX-245,,,mg2(4),
CPLX-248,,,mn2(1),
CPLX-254,,,mg2(1),
CPLX-259,,,mg2(1),
ValS_mono,,,mg2(1),
Ser_RS_dim,,,mg2(1),
CPLX-270,,,mg2(1),
RibBA_mono,,,mg2(1),
CPLX-279,,,mg2(1),
CPLX-279,,,mn2(1),
CPLX-282,,,mn2(1),
CPLX-284,,,mn2(1),
CPLX-290,,,pydx5p(1),
CPLX-296,,,mn2(1),
CPLX-296,,,cobalt2(1),
CPLX-296,,,mg2(1),
CPLX-302,,,zn2(1),
CPLX-318,,,k(1) AND zn2(1),
CPLX-352,,,btn(1),
CPLX-353,,,mn2(1),
CPLX-355,,,fad(1),
CPLX-360,,,mg2(1) AND mn2(1),
CPLX-364,,,k(1) AND mg2(1),
CPLX-377,,,mg2(1),
CPLX-382,,,cobalt2(1) AND nad(1),
CPLX-394,,,mg2(1),
CPLX-403,,,mn2(1),
CPLX-412,,,zn2(1),
CPLX-414,,,mg2(1),
CPLX-418,,,mg2(1),
CPLX-428,,,mg2(1),
CPLX-429,,,mg2(1),
CPLX-436,,,fad(1),
CPLX-446,,,mg2(1),
CPLX-454,,,mg2(1),
GalE_mono,,,nad(1),
CPLX-463,,,thmpp(1),
CPLX-467,,,mn2(1),
CPLX-469,,,mg2(1),
CPLX-471,,,cobalt2(1) AND zn2(1),
CPLX-471,,,mn2(1) AND zn2(1),
CPLX-471,,,ni2(1) AND zn2(1),
CPLX-473,,,fe2(1),
CPLX-474,,,mg2(1),
CPLX-475,,,mg2(1),
CPLX-486,,,zn2(1) AND cbl1(1),
CPLX-493,,,mn2(1),
CPLX-497,,,mg2(1),
CPLX-498,,,mn2(1),
CPLX-498,,,cobalt2(1),
CPLX-498,,,fe2(1),
CPLX-498,,,ca2(1),
CPLX-498,,,k(1),
CPLX-501,,,mg2(1),
CPLX-503,,,fadh2(1),
CPLX-511,,,glycyl(1),
CPLX-515,,,mn2(1),
CPLX-515,,,mg2(1),
CPLX-537,,,mg2(1),
CPLX-542,,,fe2(1) AND fad(1),
CPLX-549,,,cu2(1),
CPLX-550,,,pydx5p(1),
CPLX-559,,,k(4) AND mg2(1),
CPLX-559,,,k(4) AND mn2(1),
CPLX-559,,,k(4) AND cobalt2(1),
CPLX-559,,,k(4) AND zn2(1),
CPLX-559,,,k(4) AND cd2(1),
CPLX-559,,,k(4) AND ni2(1),
CPLX-559,,,k(4) AND ca2(1),
CPLX-559,,,nh4(4) AND mg2(1),
CPLX-559,,,nh4(4) AND mn2(1),
CPLX-559,,,nh4(4) AND cobalt2(1),
CPLX-559,,,nh4(4) AND zn2(1),
CPLX-559,,,nh4(4) AND cd2(1),
CPLX-559,,,nh4(4) AND ni2(1),
CPLX-559,,,nh4(4) AND ca2(1),
CPLX-559,,,tl(4) AND mg2(1),
CPLX-559,,,tl(4) AND mn2(1),
CPLX-559,,,tl(4) AND cobalt2(1),
CPLX-559,,,tl(4) AND zn2(1),
CPLX-559,,,tl(4) AND cd2(1),
