Proteins	Genes of polypeptide, complex, or RNA	Common-Name	Locations
USA300HOU_RS02595-MONOMER	USA300HOU_RS02595	RNA-binding S4 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS05410-MONOMER	USA300HOU_RS05410	cytochrome ubiquinol oxidase subunit I	CCI-PM-BAC-POS-GP
USA300HOU_RS14370-MONOMER	USA300HOU_RS14370	amidase domain-containing protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS07290-MONOMER	USA300HOU_RS07290	dihydrofolate reductase	CCI-CYTOSOL-GP
USA300HOU_RS12495-MONOMER	USA300HOU_RS12495	DUF1641 domain-containing protein	
USA300HOU_RS04035-MONOMER	USA300HOU_RS04035	GGDEF domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS02600-MONOMER	USA300HOU_RS02600	septum formation initiator family protein	CCI-CW-BAC-POS-GP
USA300HOU_RS11365-MONOMER	USA300HOU_RS11365	F0F1 ATP synthase subunit gamma	
CPLX2KSB-61	USA300HOU_RS06710 // USA300HOU_RS06705	ABC transporter	
USA300HOU_RS05215-MONOMER	USA300HOU_RS05215	Glu-specific serine endopeptidase SspA	CCI-EXTRACELLULAR-GP
USA300HOU_RS00100-MONOMER	USA300HOU_RS00100	response regulator YycF	CCI-CYTOSOL-GP
USA300HOU_RS15720-MONOMER	USA300HOU_RS15720	phenol-soluble modulin PSM-alpha-1	
USA300HOU_RS05415-MONOMER	USA300HOU_RS05415	cytochrome d ubiquinol oxidase subunit II	CCI-PM-BAC-POS-GP
USA300HOU_RS04825-MONOMER	USA300HOU_RS04825	metal-sulfur cluster assembly factor	CCI-CYTOSOL-GP
USA300HOU_RS08010-MONOMER	USA300HOU_RS08010	transcriptional repressor	CCI-CYTOSOL-GP
USA300HOU_RS06130-MONOMER	USA300HOU_RS06130	serine/threonine protein kinase Stk1	CCI-PM-BAC-POS-GP
USA300HOU_RS11085-MONOMER	USA300HOU_RS11085	3-isopropylmalate dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS14775-MONOMER	USA300HOU_RS14775	penicillinase repressor BlaI	
USA300HOU_RS11790-MONOMER	USA300HOU_RS11790	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS12875-MONOMER	USA300HOU_RS12875	YbgA family protein	
USA300HOU_RS00900-MONOMER	USA300HOU_RS00900	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS13810-MONOMER	USA300HOU_RS13810	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS08465-MONOMER	USA300HOU_RS08465	DNA internalization-related competence protein ComEC/Rec2	CCI-PM-BAC-POS-GP
USA300HOU_RS06090-MONOMER	USA300HOU_RS06090	primosomal protein N'	CCI-CYTOSOL-GP
USA300HOU_RS04340-MONOMER	USA300HOU_RS04340	LysE/ArgO family amino acid transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS03055-MONOMER	USA300HOU_RS03055	APC family permease	CCI-PM-BAC-POS-GP
USA300HOU_RS14375-MONOMER	USA300HOU_RS14375	cysteine hydrolase	
USA300HOU_RS00645-MONOMER	USA300HOU_RS00645	bifunctional transcriptional regulator/O-phospho-L-serine synthase SbnI	CCI-CYTOSOL-GP
USA300HOU_RS10810-MONOMER	USA300HOU_RS10810	phage antirepressor KilAC domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS07945-MONOMER	USA300HOU_RS07945	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS02605-MONOMER	USA300HOU_RS02605	S1 domain-containing RNA-binding protein	CCI-CYTOSOL-GP
USA300HOU_RS11795-MONOMER	USA300HOU_RS11795	staphyloferrin A biosynthesis protein SfaC	CCI-CYTOSOL-GP
USA300HOU_RS10155-MONOMER	USA300HOU_RS10155	ABC transporter ATP-binding protein	
USA300HOU_RS13355-MONOMER	USA300HOU_RS13355	ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS09560-MONOMER	USA300HOU_RS09560	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS05420-MONOMER	USA300HOU_RS05420	TrkA family potassium uptake protein	CCI-CYTOSOL-GP
USA300HOU_RS05900-MONOMER	USA300HOU_RS05900	beta-class phenol-soluble modulin	
USA300HOU_RS04715-MONOMER	USA300HOU_RS04715	Na+/H+ antiporter Mnh1 subunit B	CCI-PM-BAC-POS-GP
USA300HOU_RS06275-MONOMER	USA300HOU_RS06275	LysM peptidoglycan-binding domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS03505-MONOMER	USA300HOU_RS03505	iron ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS13815-MONOMER	USA300HOU_RS13815	hydroxymethylglutaryl-CoA reductase, degradative	CCI-CYTOSOL-GP
USA300HOU_RS05730-MONOMER	USA300HOU_RS05730	hypothetical protein	
USA300HOU_RS02610-MONOMER	USA300HOU_RS02610	tRNA lysidine(34) synthetase TilS	CCI-CYTOSOL-GP
USA300HOU_RS03415-MONOMER	USA300HOU_RS03415	sodium:proton antiporter	CCI-PM-BAC-POS-GP
USA300HOU_RS08350-MONOMER	USA300HOU_RS08350	glycine--tRNA ligase	CCI-CYTOSOL-GP
USA300HOU_RS14380-MONOMER	USA300HOU_RS14380	cell-wall-anchored protein SasF	CCI-CW-BAC-POS-GP
USA300HOU_RS04535-MONOMER	USA300HOU_RS04535	Fe-S cluster assembly protein SufB	CCI-CYTOSOL-GP
USA300HOU_RS04040-MONOMER	USA300HOU_RS04040	undecaprenyl/decaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase	CCI-PM-BAC-POS-GP
USA300HOU_RS05125-MONOMER	USA300HOU_RS05125	bacteriocin-associated integral membrane family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS11725-MONOMER	USA300HOU_RS11725	hypothetical protein	
CPLX2KSB-60	USA300HOU_RS13635 // USA300HOU_RS13630	ATP-binding cassette domain-containing	
USA300HOU_RS08940-MONOMER	USA300HOU_RS08940	type I glyceraldehyde-3-phosphate dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS06780-MONOMER	USA300HOU_RS06780	amino acid permease	CCI-PM-BAC-POS-GP
USA300HOU_RS00105-MONOMER	USA300HOU_RS00105	cell wall metabolism sensor histidine kinase WalK	CCI-PM-BAC-POS-GP
USA300HOU_RS06570-MONOMER	USA300HOU_RS06570	glutathione peroxidase	
USA300HOU_RS02615-MONOMER	USA300HOU_RS02615	hypoxanthine phosphoribosyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS05480-MONOMER	USA300HOU_RS05480	XRE family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS03710-MONOMER	USA300HOU_RS03710	HTH-type transcriptional regulator MgrA	CCI-CYTOSOL-GP
USA300HOU_RS07090-MONOMER	USA300HOU_RS07090	ATP-binding cassette domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS12640-MONOMER	USA300HOU_RS12640	ribose 5-phosphate isomerase A	CCI-CYTOSOL-GP
USA300HOU_RS12200-MONOMER	USA300HOU_RS12200	hypothetical protein	
USA300HOU_RS12880-MONOMER	USA300HOU_RS12880	AraC family transcriptional regulator Rsp	CCI-CYTOSOL-GP
USA300HOU_RS00905-MONOMER	USA300HOU_RS00905	DUF4242 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS13820-MONOMER	USA300HOU_RS13820	hydroxymethylglutaryl-CoA synthase	CCI-CYTOSOL-GP
USA300HOU_RS12050-MONOMER	USA300HOU_RS12050	30S ribosomal protein S11	CCI-CYTOSOL-GP
USA300HOU_RS04345-MONOMER	USA300HOU_RS04345	GNAT family N-acetyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS05430-MONOMER	USA300HOU_RS05430	ribonuclease J	CCI-CYTOSOL-GP
USA300HOU_RS01930-MONOMER	USA300HOU_RS01930	hypothetical protein	
USA300HOU_RS03060-MONOMER	USA300HOU_RS03060	threonine/serine exporter family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS14385-MONOMER	USA300HOU_RS14385	accessory Sec system glycosylation chaperone GtfB	CCI-CYTOSOL-GP
USA300HOU_RS07295-MONOMER	USA300HOU_RS07295	thymidylate synthase	CCI-CYTOSOL-GP
