,query,evalue
FY484_RS03210,b0451,3.44e-44
FY484_RS05490,b0546,4.23e-24
FY484_RS05920,b1868,2.1700000000000002e-85
FY484_RS06380,b0070,8.65e-67
FY484_RS06610,b1322,2.01e-76
FY484_RS07465,b0955,1.71e-137
FY484_RS07610,b4079,7.03e-77
FY484_RS08275,b3885,7.92e-13
FY484_RS09980,b1780,1.94e-61
FY484_RS11630,b0344,0.0
FY484_RS12310,b2909,6.230000000000001e-32
FY484_RS14245,b4077,6.34e-84
FY484_RS14790,b1159,1.16e-18
FY484_RS15840,b1448,4.31e-24
FY484_RS16710,b3009,5.51e-30
FY484_RS17705,b3927,2.07e-121
FY484_RS19380,b3026,3.07e-41
VC_0002,b3742,4.26e-46
VC_0003,b3706,0.0
VC_0005,b4557,2.33e-34
VC_0006,b3704,3.26e-40
VC_0007,b3703,4.03e-14
VC_0008,b1917,6.8399999999999995e-90
VC_0009,b1918,3.45e-61
VC_0010,b1920,8.05e-49
VC_0014,b3700,2.0400000000000002e-145
VC_0018,b3687,1.7499999999999998e-55
VC_0019,b3572,0.0
VC_0021,b3560,0.0
VC_0024,b3470,7.65e-35
VC_0026,b3253,1.95e-159
VC_0031,b3671,2.3200000000000002e-167
VC_0032,b3765,0.0
VC_0033,b3862,8.47e-115
VC_0034,b3860,2.08e-50
VC_0035,b3859,6.519999999999999e-140
VC_0037,b3858,3.14e-45
VC_0040,b2899,2.77e-110
VC_0044,b3289,0.0
VC_0045,b3288,8.07e-151
VC_0046,b3287,6.55e-88
VC_0048,b4473,4.06e-88
VC_0049,b3284,5.07e-69
VC_0050,b3283,4.810000000000001e-66
VC_0051,b0522,3.6500000000000004e-66
VC_0052,b0523,1.0299999999999999e-55
VC_0054,b3282,1.5599999999999999e-74
VC_0055,b2436,2.5700000000000002e-169
VC_0056,b3281,5.86e-93
VC_0058,b3279,1.6e-84
VC_0060,b0624,2.15e-15
VC_0062,b3993,3.5699999999999996e-68
VC_0063,b3992,1.13e-56
VC_0064,b4407,3.58e-12
VC_0065,b3991,1.3600000000000001e-133
VC_0066,b3990,1.56e-178
VC_0067,b2385,6.38e-17
VC_0068,b3711,6.229999999999999e-45
VC_0069,b3710,3.2999999999999996e-42
VC_0071,b3743,4.26e-74
VC_0072,b2067,2.63e-57
VC_0073,b3497,2.36e-100
VC_0075,b3827,1.17e-98
VC_0076,b3495,6.17e-62
VC_0079,b3494,9.550000000000001e-33
VC_0080,b3492,2.45e-170
VC_0083,b3833,2e-154
VC_0084,b3834,5.35e-44
VC_0086,b3836,6.899999999999999e-30
VC_0087,b3838,1.8199999999999999e-34
VC_0088,b3839,2.13e-125
VC_0089,b3518,1.8999999999999998e-82
VC_0092,b4043,1.43e-109
VC_0093,b4041,0.0
VC_0094,b4040,1.7900000000000002e-124
VC_0095,b4039,1.3099999999999999e-23
VC_0099,b3424,3.42e-70
VC_0100,b3425,1.38e-40
VC_0111,b3865,1.67e-108
VC_0114,b3866,9.53e-19
VC_0116,b3867,0.0
VC_0117,b3802,8.979999999999999e-69
VC_0118,b3803,1.4199999999999998e-61
VC_0119,b3804,1.0300000000000001e-47
VC_0122,b3806,0.0
VC_0123,b3807,9.38e-25
VC_0125,b2838,2.29e-43
VC_0127,b3810,1.13e-17
VC_0128,b3811,1.1700000000000001e-121
VC_0129,b3812,6.159999999999999e-68
VC_0134,b3826,3.1799999999999996e-94
VC_0135,b3825,1.0999999999999999e-67
VC_0136,b3824,3.7300000000000004e-73
VC_0146,b3465,4.33e-79
VC_0147,b3464,1.81e-170
VC_0149,b3462,2.01e-59
VC_0150,b3461,3.04e-148
VC_0152,b3963,3.71e-104
VC_0153,b3964,2.46e-25
VC_0154,b3965,3.0700000000000003e-179
VC_0156,b3966,1.34e-125
VC_0158,b3967,5.59e-71
VC_0161,b3773,3.12e-91
VC_0163,b3042,1.56e-34
VC_0164,b2470,1.54e-162
VC_0186,b3500,0.0
VC_0187,b3499,4.21e-134
VC_0191,b3823,2.18e-34
VC_0192,b3905,2.96e-15
VC_0194,b3447,2.12e-98
VC_0195,b3819,1.92e-126
VC_0196,b3822,0.0
VC_0202,b0152,1.0900000000000001e-29
VC_0203,b0153,4.29e-87
VC_0204,b2427,4.0000000000000004e-66
VC_0207,b2429,0.0
VC_0208,b3002,3.1400000000000002e-77
VC_0209,b3644,1.3e-135
VC_0213,b1054,1.44e-90
VC_0217,b3638,7.100000000000001e-77
VC_0218,b3637,6.06e-46
VC_0219,b3636,2.69e-30
VC_0221,b3635,1.47e-118
VC_0222,b3634,3.7099999999999996e-67
VC_0225,b3632,5.76e-17
VC_0236,b3620,5.06e-124
VC_0239,b0130,1.99e-11
VC_0240,b3619,5.0699999999999995e-172
VC_0242,b2048,0.0
VC_0244,b2253,1.36e-51
VC_0265,b0577,1.39e-160
VC_0267,b1033,2.61e-33
VC_0268,b3999,1.02e-83
VC_0270,b0394,9.41e-99
VC_0273,b4000,1.11e-49
VC_0281,b4131,0.0
VC_0285,b1850,1.06e-51
VC_0286,b2740,1.49e-83
VC_0287,b4268,1.2900000000000001e-59
VC_0289,b3438,1.1e-121
VC_0290,b3261,1.4200000000000001e-58
VC_0293,b3259,1.7899999999999999e-146
VC_0302,b2536,4.2200000000000003e-79
VC_0306,b3781,8.69e-63
VC_0312,b3844,6.44e-78
VC_0315,b2585,3.45e-148
VC_0318,b3972,1.55e-110
VC_0319,b3973,5.49e-121
VC_0323,b3982,7.55e-118
VC_0324,b3983,1.32e-87
VC_0325,b3984,2.65e-144
VC_0326,b3985,2.58e-85
VC_0327,b3986,2.75e-50
VC_0328,b3987,0.0
VC_0329,b3988,0.0
VC_0330,b3995,1e-27
VC_0332,b3997,0.0
VC_0335,b3613,1.48e-66
VC_0339,b4160,4.79e-122
VC_0341,b4162,1.7399999999999998e-94
VC_0346,b4171,1.97e-165
VC_0347,b4172,3.76e-49
VC_0348,b4173,0.0
VC_0349,b4174,2.22e-135
VC_0350,b4175,2.97e-114
VC_0352,b3348,3.05e-16
VC_0354,b3347,5.33e-76
VC_0355,b3346,5.08e-111
VC_0357,b3344,2.75e-39
VC_0359,b3342,9.59e-85
VC_0360,b3341,4.35e-99
VC_0361,b3340,0.0
VC_0362,b3980,0.0
VC_0364,b3337,7.92e-17
VC_0365,b3336,8.450000000000001e-77
VC_0366,b4200,2.71e-66
VC_0367,b4201,2.85e-32
VC_0368,b4202,2.77e-49
VC_0369,b4203,6.6600000000000006e-80
VC_0370,b1722,9.24e-13
VC_0372,b4053,2.96e-159
VC_0373,b4056,3.65e-61
VC_0378,b4046,5.9699999999999996e-46
VC_0386,b2762,1.35e-126
VC_0389,b4065,3.6000000000000003e-22
VC_0395,b1236,8.62e-66
VC_0397,b4059,1.54e-78
VC_0416,b3250,3.5999999999999997e-93
VC_0417,b3249,3.75e-56
VC_0420,b4472,2.15e-142
VC_0421,b0219,1.04e-14
VC_0424,b4255,4.61e-46
VC_0428,b1376,7.4e-15
VC_0432,b3236,0.0
VC_0433,b1605,2.71e-180
VC_0435,b3186,3.57e-58
VC_0436,b3185,5.4e-51
VC_0437,b3183,5.15e-159
VC_0438,b4364,3.39e-88
VC_0439,b4363,1.65e-61
VC_0440,b0048,6.339999999999999e-54
VC_0441,b0049,5.7e-107
VC_0442,b0050,4.89e-45
VC_0443,b0051,4.19e-130
VC_0444,b0052,3.17e-147
VC_0445,b0053,4.49e-135
VC_0447,b0055,2.37e-84
VC_0451,b2962,3.0499999999999995e-54
VC_0452,b2961,2.89e-151
VC_0453,b2960,2.79e-124
VC_0454,b1524,5.09e-151
VC_0456,b2954,4.16e-96
VC_0458,b2953,1.41e-46
VC_0459,b2952,3.18e-62
VC_0460,b0386,5.38e-44
VC_0461,b2951,2.08e-97
VC_0462,b2950,1.1999999999999999e-108
VC_0466,b2949,1.7799999999999998e-61
VC_0467,b2948,5.7599999999999995e-67
VC_0468,b2947,1.18e-180
VC_0469,b2946,9.18e-127
VC_0470,b2945,7.93e-104
VC_0471,b2944,8.07e-51
VC_0475,b2155,5.14e-117
VC_0477,b2926,0.0
VC_0480,b2924,3.9699999999999996e-98
VC_0481,b2923,1.5e-50
VC_0482,b2916,3.9899999999999996e-92
VC_0483,b2922,5.41e-40
VC_0486,b2707,9.89e-66
VC_0494,b0277,2.3500000000000002e-26
VC_0497,b2624,6.24e-12
VC_0503,b1856,1.45e-88
VC_0510,b0247,3.92e-43
VC_0520,b3065,5.92e-41
VC_0523,b3059,5.1699999999999996e-92
VC_0526,b3057,3.77e-38
VC_0527,b2748,4e-26
VC_0528,b2747,4.1e-84
VC_0529,b2746,1.1500000000000001e-73
VC_0530,b2745,8.66e-90
VC_0531,b2744,1.76e-97
VC_0532,b2743,1.21e-96
VC_0533,b2742,9.52e-78
VC_0534,b2741,9.7e-168
VC_0537,b2421,6e-153
VC_0538,b2425,9.98e-139
VC_0539,b2424,4.6e-113
VC_0540,b2423,7.080000000000001e-123
VC_0541,b2422,2.9500000000000003e-123
VC_0542,b2700,1.3399999999999998e-54
VC_0544,b2698,9.049999999999999e-23
VC_0548,b2696,2.8e-34
VC_0552,b4051,2.94e-19
VC_0553,b2689,1.33e-33
VC_0557,b2687,3.53e-96
VC_0558,b4461,0.0
VC_0559,b2611,1.16e-84
VC_0561,b2609,8.24e-45
VC_0562,b2608,3.62e-81
VC_0563,b2607,8.39e-143
VC_0564,b2606,2.8499999999999997e-67
VC_0565,b3235,6.78e-113
VC_0566,b3234,0.0
VC_0567,b3233,7.470000000000001e-31
VC_0568,b3232,1.0199999999999999e-138
VC_0570,b3231,5.53e-82
VC_0571,b3230,3.77e-83
VC_0576,b3229,6.25e-115
VC_0577,b3228,2.23e-62
VC_0578,b3150,1.27e-31
VC_0579,b3149,3.91e-100
VC_0580,b3148,2.46e-28
VC_0582,b3146,2.9800000000000003e-133
VC_0585,b0125,1.9100000000000002e-97
VC_0586,b0126,3.28e-101
VC_0589,b0127,7.0200000000000005e-161
VC_0590,b0128,2.18e-133
VC_0591,b0133,1.0400000000000001e-116
VC_0592,b0134,2.4699999999999998e-138
VC_0593,b0142,1.1299999999999999e-67
VC_0595,b0144,4.35e-114
VC_0596,b0145,2.0599999999999998e-92
VC_0601,b0148,0.0
VC_0603,b1234,2.61e-25
VC_0604,b0118,0.0
VC_0605,b0119,8.54e-19
VC_0623,b4371,4e-92
VC_0624,b1688,3.2600000000000003e-32
VC_0627,b0156,1.0799999999999999e-61
VC_0635,b3180,5.95e-52
VC_0636,b3179,6.9200000000000005e-109
VC_0637,b3178,0.0
VC_0638,b3177,5.12e-115
VC_0640,b3175,1.24e-40
VC_0641,b3170,1.18e-75
VC_0645,b3166,1.98e-152
VC_0646,b3165,2.82e-44
VC_0648,b3163,8.54e-88
VC_0651,b3159,3.5699999999999998e-146
VC_0652,b3158,0.0
VC_0654,b3157,7.32e-60
VC_0655,b3156,2.25e-60
VC_0658,b1285,4.32e-101
VC_0661,b2575,1.2199999999999999e-45
VC_0662,b0401,1.82e-108
VC_0667,b2834,4.7500000000000007e-163
VC_0668,b2831,5.45e-101
VC_0674,b2828,1.03e-124
VC_0675,b2827,4.47e-44
VC_0677,b0020,8.78e-141
VC_0679,b0023,2.62e-36
VC_0680,b1069,2.2000000000000003e-129
VC_0681,b0025,1.5e-125
VC_0683,b0027,4.9800000000000006e-58
VC_0684,b0028,2.12e-49
VC_0685,b0029,1.89e-155
VC_0687,b4354,3.1e-20
VC_0688,b2602,1.46e-14
VC_0691,b1640,3.09e-134
VC_0692,b1107,1.4100000000000002e-132
VC_0693,b2125,3.21e-88
VC_0694,b2126,0.0
VC_0700,b4392,1.2300000000000001e-132
VC_0705,b2599,4.2200000000000004e-148
VC_0706,b2597,2.17e-31
VC_0708,b2595,5.81e-88
VC_0709,b2594,7.11e-167
VC_0710,b2593,1.33e-78
VC_0715,b0851,3.93e-84
VC_0716,b2562,4.2999999999999995e-42
VC_0717,b2081,0.0
VC_0718,b0393,5.690000000000001e-125
VC_0719,b0399,4.79e-144
VC_0720,b0400,3.66e-178
VC_0726,b3725,1.06e-109
VC_0727,b3724,6.899999999999999e-104
VC_0730,b1874,8.39e-46
VC_0734,b4014,0.0
VC_0741,b0406,0.0
VC_0742,b0407,1.18e-44
VC_0743,b0408,0.0
VC_0744,b0409,7.530000000000001e-129
VC_0749,b2529,8.32e-81
VC_0750,b2528,3.12e-56
VC_0751,b2527,9.649999999999999e-52
VC_0754,b2524,5.96e-29
VC_0756,b2518,3.68e-69
VC_0759,b2515,0.0
VC_0760,b2514,0.0
VC_0761,b2513,3.67e-40
