reaction	keff
3HAD100	65
3HAD120	65
3HAD140	65
3HAD160	65
3HAD180	65
3HAD40_2	65
3HAD60	65
3HAD80	65
3OAR100	65
3OAR120	65
3OAR140	65
3OAR160	65
3OAR180	65
3OAR40_2	65
3OAR60	65
3OAR80	65
3OAS100	65
3OAS120	65
3OAS140	65
3OAS160	65
3OAS180	65
3OAS60	65
3OAS80	65
4PCP	65
4PEPTabcpp	65
A5PISO	65
AACPS6	65
ACBIPGT	65
ACCOAC	65
ACGAMK	65
ACGAMT	65
ACGK	65
ACGS	65
ACHBSb	65
ACKr	65
ACLSa	65
ACLSb	65
ACM6PH	65
ACMAMT	65
ACOATA	65
ACODA	65
ACONT	65
ACOTA	65
ACS	65
ADCL	65
ADCPS2	65
ADCS	65
ADCYRS	65
ADK1	65
ADMDC	65
ADOCBLS	65
ADPGLC	65
ADSK	65
ADSL1r	65
ADSL2r	65
ADSS	65
AFAT	65
AGDC	65
AGDI_1	65
AGM3PApp	65
AGM3PH	65
AGM4PA	65
AGM4PApp	65
AGM4PCP	65
AGM4PH	65
AGMH	65
AGPAT160	65
AGPAT161	65
AGPATACP_HDE_PALM	65
AGPATACP_OLE_HDE	65
AGPATACP_OLE_PALM	65
AGPR	65
AGTi	65
AHCi	65
AHSERL2_1	65
AICART	65
AIRC2	65
AIRC3	65
ALAALAD	65
ALAALAabcpp	65
ALAALAr	65
ALAD_L	65
ALAGLUE	65
ALAR	65
ALATRS	65
ALCD1	65
ALCD19	65
ALDD2y	65
ALDDC17	65
ALDR18	65
AM3PA	65
AM4PA	65
AM4PCP	65
AMANAPEr	65
AMAOTr	65
AMPMS3	65
AMPTASECG	65
ANHMK	65
ANPRT	65
ANS	65
ANS2	65
AOXSr2	65
ARD	65
ARGDC	65
ARGDHpp	65
ARGOXRum	65
ARGSL	65
ARGSS	65
ARGTRS	65
ARGabcpp	65
ASAD	65
ASNN	65
ASNS1	65
ASNTRS	65
ASP1DC	65
ASPCT	65
ASPK	65
ASPO5	65
ASPO6	65
ASPOb	65
ASPTA	65
ASPTRS	65
ATPPRT	65
ATPSum	65
BACCL	65
BCAROHX	65
BCAROHX2	65
