,query,evalue
USA300HOU_RS00005,b3702,7.3e-129
USA300HOU_RS00010,b3701,1.63e-43
USA300HOU_RS00020,b3700,1.3e-38
USA300HOU_RS00025,b3699,0.0
USA300HOU_RS00030,b2231,0.0
USA300HOU_RS00035,b4167,1.2500000000000001e-29
USA300HOU_RS00045,b0893,8.45e-153
USA300HOU_RS00050,b2682,5.56e-15
USA300HOU_RS00075,b4203,1.11e-17
USA300HOU_RS00080,b4052,7.640000000000001e-123
USA300HOU_RS00085,b4177,4.8999999999999996e-142
USA300HOU_RS00125,b0480,7.83e-43
USA300HOU_RS00130,b0636,7.91e-23
USA300HOU_RS00150,b3449,1.2200000000000001e-43
USA300HOU_RS00160,b0635,1.13e-39
USA300HOU_RS00195,b1158,1.2e-15
USA300HOU_RS00270,b1584,4.68e-61
USA300HOU_RS00275,b0356,1.04e-69
USA300HOU_RS00320,b1605,6.549999999999999e-128
USA300HOU_RS00455,b2140,3.82e-20
USA300HOU_RS00480,b2577,3.83e-19
USA300HOU_RS00535,b0064,1.96e-12
USA300HOU_RS00550,b4020,2.41e-39
USA300HOU_RS00565,b1439,2.6e-44
USA300HOU_RS00620,b1053,7.149999999999999e-30
USA300HOU_RS00635,b3126,5.52e-31
USA300HOU_RS00675,b0759,4.67e-39
USA300HOU_RS00695,b2037,5.06e-17
USA300HOU_RS00735,b4383,2.24e-98
USA300HOU_RS00750,b4106,2.5700000000000003e-64
USA300HOU_RS00755,b4105,2.04e-16
USA300HOU_RS00765,b4213,6.22e-39
USA300HOU_RS00795,b1241,0.0
USA300HOU_RS00805,b2060,8.31e-41
USA300HOU_RS00860,b2047,8.73e-38
USA300HOU_RS00870,b3787,5.25e-114
USA300HOU_RS00885,b0468,4.47e-22
USA300HOU_RS00890,b3588,3.13e-149
USA300HOU_RS00910,b0933,3.34e-53
USA300HOU_RS00920,b0934,1.15e-39
USA300HOU_RS00940,b1534,2.69e-11
USA300HOU_RS00945,b0586,7.76e-73
USA300HOU_RS00955,b0287,1.9099999999999999e-25
USA300HOU_RS00960,b3959,2.89e-25
USA300HOU_RS00970,b3958,1.01e-64
USA300HOU_RS00975,b3359,2.71e-83
USA300HOU_RS00980,b0401,9.93e-81
USA300HOU_RS00985,b1867,3.6999999999999995e-42
USA300HOU_RS01010,b2428,1.2899999999999998e-91
USA300HOU_RS01015,b2429,1.36e-81
USA300HOU_RS01020,b2561,1.61e-25
