TU_id	replicon	genes	start	stop	tss	strand	rho_dependent	rnapol
TU27KH-736_from_B488_RS06505-MONOMER	CP003789.1	B488_RS06105	1369338	1370402		+	True	B488_RS06505-MONOMER
TU27KH-492_from_B488_RS06505-MONOMER	CP003789.1,CP003789.1	B488_RS04070,B488_RS04065	931784	932540		-	True	B488_RS06505-MONOMER
TU27KH-360_from_B488_RS06505-MONOMER	CP003789.1	B488_RS02955	671282	671935		-	True	B488_RS06505-MONOMER
TU27KH-551_from_B488_RS06505-MONOMER	CP003789.1,CP003789.1,CP003789.1,CP003789.1	B488_RS04595,B488_RS04590,B488_RS04585,B488_RS04580	1028153	1032157		+	True	B488_RS06505-MONOMER
TU27KH-76_from_B488_RS06505-MONOMER	CP003789.1	B488_RS00560	132261	132347		+	True	B488_RS06505-MONOMER
TU27KH-162_from_B488_RS06505-MONOMER	CP003789.1	B488_RS01240	285827	286729		-	True	B488_RS06505-MONOMER
TU27KH-567_from_B488_RS06505-MONOMER	CP003789.1	B488_RS04725	1060848	1061327		+	True	B488_RS06505-MONOMER
TU27KH-887_from_B488_RS06505-MONOMER	CP003789.1	B488_RS02640	589088	589546		+	True	B488_RS06505-MONOMER
TU27KH-598_from_B488_RS06505-MONOMER	CP003789.1	B488_RS04965	1118541	1119083		-	True	B488_RS06505-MONOMER
TU27KH-115_from_B488_RS06505-MONOMER	CP003789.1	B488_RS00860	207815	208090		-	True	B488_RS06505-MONOMER
TU27KH-191_from_B488_RS06505-MONOMER	B488_RS01535,B488_RS07070	B488_RS01535,B488_RS07070	1	975		-	True	B488_RS06505-MONOMER
TU27KH-220_from_B488_RS06505-MONOMER	CP003789.1,CP003789.1	B488_RS01775,B488_RS01770	408740	412737		-	True	B488_RS06505-MONOMER
TU27KH-747_from_B488_RS06505-MONOMER	CP003789.1	B488_RS06195	1387177	1387611		+	True	B488_RS06505-MONOMER
TU27KH-142_from_B488_RS06505-MONOMER	CP003789.1	B488_RS01075	251674	252468		+	True	B488_RS06505-MONOMER
TU27KH-627_from_B488_RS06505-MONOMER	CP003789.1,CP003789.1	B488_RS05180,B488_RS05175	1158267	1161795		-	True	B488_RS06505-MONOMER
TU27KH-246_from_B488_RS06505-MONOMER	CP003789.1	B488_RS01975	470814	471185		+	True	B488_RS06505-MONOMER
TU27KH-290_from_B488_RS06505-MONOMER	B488_RS06800	B488_RS06800	1	435		-	True	B488_RS06505-MONOMER
TU27KH-776_from_B488_RS06505-MONOMER	CP003789.1	B488_RS06470	1442801	1443226		-	True	B488_RS06505-MONOMER
TU27KH-397_from_B488_RS06505-MONOMER	CP003789.1	B488_RS03225	736944	738083		+	True	B488_RS06505-MONOMER
TU27KH-408_from_B488_RS06505-MONOMER	CP003789.1	B488_RS03310	761302	762462		-	True	B488_RS06505-MONOMER
TU27KH-897_from_B488_RS06505-MONOMER	CP003789.1	B488_RS02180	500806	501387		+	True	B488_RS06505-MONOMER
TU27KH-588_from_B488_RS06505-MONOMER	CP003789.1	B488_RS04900	1105210	1106475		-	True	B488_RS06505-MONOMER
TU27KH-261_from_B488_RS06505-MONOMER	CP003789.1	B488_RS02150	494138	495331		+	True	B488_RS06505-MONOMER
TU27KH-805_from_B488_RS06505-MONOMER	CP003789.1	B488_RS06410	1430287	1431363		+	True	B488_RS06505-MONOMER
TU27KH-36_from_B488_RS06505-MONOMER	CP003789.1	B488_RS00265	66568	67701		+	True	B488_RS06505-MONOMER
TU27KH-319_from_B488_RS06505-MONOMER	CP003789.1	B488_RS02635	587971	588780		-	True	B488_RS06505-MONOMER
TU27KH-649_from_B488_RS06505-MONOMER	CP003789.1,CP003789.1,CP003789.1	B488_RS05365,B488_RS05360,B488_RS05355	1199409	1203190		+	True	B488_RS06505-MONOMER
TU27KH-834_from_B488_RS06505-MONOMER	CP003789.1	B488_RS05335	1195589	1196266		-	True	B488_RS06505-MONOMER
TU27KH-692_from_B488_RS06505-MONOMER	CP003789.1	B488_RS05750	1290558	1291349		+	True	B488_RS06505-MONOMER
TU27KH-426_from_B488_RS06505-MONOMER	CP003789.1	B488_RS03515	811402	812325		+	True	B488_RS06505-MONOMER
TU27KH-545_from_B488_RS06505-MONOMER	CP003789.1	B488_RS04505	1013426	1013692		-	True	B488_RS06505-MONOMER
TU27KH-479_from_B488_RS06505-MONOMER	CP003789.1	B488_RS03975	908733	909341		+	True	B488_RS06505-MONOMER
TU27KH-661_from_B488_RS06505-MONOMER	CP003789.1,CP003789.1	B488_RS05475,B488_RS05470	1223892	1225924		-	True	B488_RS06505-MONOMER
TU27KH-863_from_B488_RS06505-MONOMER	B488_RS03285	B488_RS03285	1	378		+	True	B488_RS06505-MONOMER
TU27KH-443_from_B488_RS06505-MONOMER	B488_RS03670	B488_RS03670	1	474		+	True	B488_RS06505-MONOMER
TU27KH-4_from_B488_RS06505-MONOMER	CP003789.1,CP003789.1,CP003789.1	B488_RS00040,B488_RS00035,B488_RS00030	5709	9886		-	True	B488_RS06505-MONOMER
TU27KH-721_from_B488_RS06505-MONOMER	CP003789.1	B488_RS06015	1350948	1352576		-	True	B488_RS06505-MONOMER
TU27KH-86_from_B488_RS06505-MONOMER	CP003789.1	B488_RS00620	150277	153174		-	True	B488_RS06505-MONOMER
TU27KH-396_from_B488_RS06505-MONOMER	CP003789.1	B488_RS03220	735796	736521		+	True	B488_RS06505-MONOMER
TU27KH-61_from_B488_RS06505-MONOMER	CP003789.1	B488_RS00445	105946	108861		+	True	B488_RS06505-MONOMER
TU27KH-470_from_B488_RS06505-MONOMER	CP003789.1	B488_RS03910	889043	890293		-	True	B488_RS06505-MONOMER
TU27KH-359_from_B488_RS06505-MONOMER	CP003789.1	B488_RS02950	670429	671220		-	True	B488_RS06505-MONOMER
TU27KH-100_from_B488_RS06505-MONOMER	CP003789.1	B488_RS00735	181267	181716		-	True	B488_RS06505-MONOMER
TU27KH-161_from_B488_RS06505-MONOMER	CP003789.1	B488_RS01235	285632	285713		+	True	B488_RS06505-MONOMER
TU27KH-886_from_B488_RS06505-MONOMER	CP003789.1	B488_RS02655	593547	593798		+	True	B488_RS06505-MONOMER
TU27KH-558_from_B488_RS06505-MONOMER	CP003789.1	B488_RS04640	1042825	1043628		-	True	B488_RS06505-MONOMER
TU27KH-190_from_B488_RS06505-MONOMER	CP003789.1	B488_RS01530	351563	352918		-	True	B488_RS06505-MONOMER
TU27KH-127_from_B488_RS06505-MONOMER	CP003789.1	B488_RS00940	228554	228934		-	True	B488_RS06505-MONOMER
TU27KH-514_from_B488_RS06505-MONOMER	B488_RS04265	B488_RS04265	1	186		-	True	B488_RS06505-MONOMER
TU27KH-612_from_B488_RS06505-MONOMER	B488_RS05070	B488_RS05070	1	327		+	True	B488_RS06505-MONOMER
TU27KH-219_from_B488_RS06505-MONOMER	CP003789.1	B488_RS01765	408155	408571		+	True	B488_RS06505-MONOMER
TU27KH-746_from_B488_RS06505-MONOMER	CP003789.1,CP003789.1	B488_RS06190,B488_RS06185	1385716	1386997		+	True	B488_RS06505-MONOMER
TU27KH-523_from_B488_RS06505-MONOMER	CP003789.1	B488_RS04315	973208	974212		-	True	B488_RS06505-MONOMER
TU27KH-245_from_B488_RS06505-MONOMER	CP003789.1	B488_RS01965	465810	467150		+	True	B488_RS06505-MONOMER
TU27KH-775_from_B488_RS06505-MONOMER	CP003789.1,CP003789.1,CP003789.1,CP003789.1,CP003789.1	B488_RS06465,B488_RS06460,B488_RS06455,B488_RS06450,B488_RS06445	1437650	1442672		+	True	B488_RS06505-MONOMER
TU27KH-395_from_B488_RS06505-MONOMER	CP003789.1,B488_RS07010	B488_RS03215,B488_RS07010	1	735283		-	True	B488_RS06505-MONOMER
TU27KH-641_from_B488_RS06505-MONOMER	CP003789.1	B488_RS05300	1185273	1186607		-	True	B488_RS06505-MONOMER
TU27KH-804_from_B488_RS06505-MONOMER	CP003789.1	B488_RS06415	1431474	1432547		-	True	B488_RS06505-MONOMER
TU27KH-304_from_B488_RS06505-MONOMER	CP003789.1,CP003789.1	B488_RS02485,B488_RS02480	554865	556948		+	True	B488_RS06505-MONOMER
TU27KH-677_from_B488_RS06505-MONOMER	CP003789.1	B488_RS05610	1251375	1251971		+	True	B488_RS06505-MONOMER
TU27KH-922_from_B488_RS06505-MONOMER	CP003789.1	B488_RS00875	212399	214864		-	True	B488_RS06505-MONOMER
TU27KH-275_from_B488_RS06505-MONOMER	CP003789.1	B488_RS02245	520024	520404		+	True	B488_RS06505-MONOMER
TU27KH-50_from_B488_RS06505-MONOMER	CP003789.1	B488_RS00350	83737	85479		+	True	B488_RS06505-MONOMER
TU27KH-833_from_B488_RS06505-MONOMER	CP003789.1	B488_RS05385	1206489	1207001		-	True	B488_RS06505-MONOMER
TU27KH-619_from_B488_RS06505-MONOMER	CP003789.1,CP003789.1,CP003789.1	B488_RS05130,B488_RS05125,B488_RS05120	1148473	1151011		+	True	B488_RS06505-MONOMER
TU27KH-332_from_B488_RS06505-MONOMER	CP003789.1,CP003789.1,CP003789.1	B488_RS02750,B488_RS02745,B488_RS02740	611277	614485		+	True	B488_RS06505-MONOMER
TU27KH-862_from_B488_RS06505-MONOMER	CP003789.1	B488_RS03305	759054	761155		+	True	B488_RS06505-MONOMER
TU27KH-706_from_B488_RS06505-MONOMER	CP003789.1,CP003789.1	B488_RS05875,B488_RS05870	1317903	1318524		+	True	B488_RS06505-MONOMER
TU27KH-3_from_B488_RS06505-MONOMER	CP003789.1,CP003789.1,CP003789.1,CP003789.1,CP003789.1	B488_RS00025,B488_RS00020,B488_RS00015,B488_RS00010,B488_RS00005	27	5630		+	True	B488_RS06505-MONOMER
TU27KH-456_from_B488_RS06505-MONOMER	CP003789.1,CP003789.1,CP003789.1	B488_RS03795,B488_RS06875,B488_RS03785	866128	868545		-	True	B488_RS06505-MONOMER
TU27KH-20_from_B488_RS06505-MONOMER	CP003789.1,CP003789.1	B488_RS00140,B488_RS00135	38231	39588		+	True	B488_RS06505-MONOMER
TU27KH-394_from_B488_RS06505-MONOMER	CP003789.1	B488_RS03210	732593	733072		-	True	B488_RS06505-MONOMER
TU27KH-735_from_B488_RS06505-MONOMER	CP003789.1,CP003789.1,CP003789.1	B488_RS06100,B488_RS06095,B488_RS06090	1366424	1368748		-	True	B488_RS06505-MONOMER
TU27KH-491_from_B488_RS06505-MONOMER	CP003789.1,CP003789.1	B488_RS04060,B488_RS04055	930573	931700		-	True	B488_RS06505-MONOMER
TU27KH-92_from_B488_RS06505-MONOMER	CP003789.1	B488_RS00675	166429	167658		-	True	B488_RS06505-MONOMER
TU27KH-912_from_B488_RS06505-MONOMER	CP003789.1	B488_RS01415	323817	325583		-	True	B488_RS06505-MONOMER
TU27KH-75_from_B488_RS06505-MONOMER	CP003789.1	B488_RS00555	130405	132111		+	True	B488_RS06505-MONOMER
TU27KH-160_from_B488_RS06505-MONOMER	CP003789.1	B488_RS01230	284348	285502		+	True	B488_RS06505-MONOMER
TU27KH-885_from_B488_RS06505-MONOMER	CP003789.1	B488_RS02710	605667	605737		+	True	B488_RS06505-MONOMER
TU27KH-597_from_B488_RS06505-MONOMER	CP003789.1	B488_RS04960	1117028	1118251		-	True	B488_RS06505-MONOMER
TU27KH-114_from_B488_RS06505-MONOMER	CP003789.1	B488_RS00855	206984	207547		-	True	B488_RS06505-MONOMER
TU27KH-189_from_B488_RS06505-MONOMER	CP003789.1	B488_RS01525	350333	351322		+	True	B488_RS06505-MONOMER
TU27KH-574_from_B488_RS06505-MONOMER	CP003789.1	B488_RS04775	1071786	1072727		+	True	B488_RS06505-MONOMER
TU27KH-218_from_B488_RS06505-MONOMER	CP003789.1	B488_RS01760	407691	408089		+	True	B488_RS06505-MONOMER
TU27KH-745_from_B488_RS06505-MONOMER	CP003789.1	B488_RS06180	1385263	1385628		+	True	B488_RS06505-MONOMER
TU27KH-289_from_B488_RS06505-MONOMER	CP003789.1	B488_RS02340	535090	535980		-	True	B488_RS06505-MONOMER
TU27KH-141_from_B488_RS06505-MONOMER	CP003789.1	B488_RS01070	250509	251402		+	True	B488_RS06505-MONOMER
TU27KH-626_from_B488_RS06505-MONOMER	CP003789.1	B488_RS05170	1157537	1157890		-	True	B488_RS06505-MONOMER
TU27KH-244_from_B488_RS06505-MONOMER	CP003789.1	B488_RS01960	464134	465768		+	True	B488_RS06505-MONOMER
TU27KH-774_from_B488_RS06505-MONOMER	CP003789.1	B488_RS06440	1436421	1437308		+	True	B488_RS06505-MONOMER
TU27KH-407_from_B488_RS06505-MONOMER	CP003789.1,CP003789.1	B488_RS03300,B488_RS03295	755161	758983		-	True	B488_RS06505-MONOMER
TU27KH-393_from_B488_RS06505-MONOMER	CP003789.1	B488_RS03205	729005	732433		+	True	B488_RS06505-MONOMER
TU27KH-530_from_B488_RS06505-MONOMER	CP003789.1,CP003789.1,CP003789.1	B488_RS04365,B488_RS04360,B488_RS04355	980720	983237		+	True	B488_RS06505-MONOMER
TU27KH-260_from_B488_RS06505-MONOMER	CP003789.1	B488_RS07075	493691	493891		+	True	B488_RS06505-MONOMER
TU27KH-803_from_B488_RS06505-MONOMER	CP003789.1	B488_RS06490	1445744	1446844		+	True	B488_RS06505-MONOMER
TU27KH-35_from_B488_RS06505-MONOMER	CP003789.1,CP003789.1,CP003789.1,CP003789.1,CP003789.1	B488_RS00260,B488_RS00255,B488_RS00250,B488_RS00245,B488_RS00240	62106	66500		+	True	B488_RS06505-MONOMER
TU27KH-318_from_B488_RS06505-MONOMER	CP003789.1	B488_RS06990	586982	587803		-	True	B488_RS06505-MONOMER
TU27KH-832_from_B488_RS06505-MONOMER	CP003789.1	B488_RS05440	1217557	1218690		-	True	B488_RS06505-MONOMER
TU27KH-691_from_B488_RS06505-MONOMER	CP003789.1	B488_RS05745	1288042	1290240		-	True	B488_RS06505-MONOMER
