Modified_enzyme,Core_enzyme,Modifications,Source
CPLX2LZ9-38_mod_zn2(1)_mod_mg2(2),CPLX2LZ9-38,zn2(1) AND mg2(2),RNA_Polymerase
GMET_RS00305-MONOMER_mod_pydx5p(1),GMET_RS00305-MONOMER,pydx5p(1),Homology
GMET_RS02740-MONOMER_mod_zn2(1)_mod_cbl1(1),GMET_RS02740-MONOMER,zn2(1) AND cbl1(1),Homology
GMET_RS13475-MONOMER_mod_mg2(1),GMET_RS13475-MONOMER,mg2(1),Homology
GMET_RS13475-MONOMER_mod_mn2(1),GMET_RS13475-MONOMER,mn2(1),Homology
GMET_RS13475-MONOMER_mod_ca2(1),GMET_RS13475-MONOMER,ca2(1),Homology
GMET_RS04410-MONOMER_mod_nh4(1)_mod_mg2(1),GMET_RS04410-MONOMER,nh4(1) AND mg2(1),Homology
GMET_RS00430-MONOMER_mod_mg2(1),GMET_RS00430-MONOMER,mg2(1),Homology
CPLX2LZ9-25_mod_pydx5p(1),CPLX2LZ9-25,pydx5p(1),Homology
GMET_RS16720-MONOMER_mod_4fe4s(1),GMET_RS16720-MONOMER,4fe4s(1),Homology
CPLX2LZ9-23_mod_pheme(1)_mod_hemed(1),CPLX2LZ9-23,pheme(1) AND hemed(1),Homology
CPLX2LZ9-22_mod_mg2(1),CPLX2LZ9-22,mg2(1),Homology
CPLX2LZ9-22_mod_mn2(1),CPLX2LZ9-22,mn2(1),Homology
CPLX2LZ9-22_mod_cobalt2(1),CPLX2LZ9-22,cobalt2(1),Homology
CPLX2LZ9-22_mod_cd2(1),CPLX2LZ9-22,cd2(1),Homology
CPLX2LZ9-22_mod_zn2(1),CPLX2LZ9-22,zn2(1),Homology
GMET_RS12785-MONOMER_mod_zn2(2),GMET_RS12785-MONOMER,zn2(2),Homology
GMET_RS00520-MONOMER_mod_mg2(1),GMET_RS00520-MONOMER,mg2(1),Homology
GMET_RS16730-MONOMER_mod_fe2(1),GMET_RS16730-MONOMER,fe2(1),Homology
CPLX2LZ9-17_mod_mg2(1),CPLX2LZ9-17,mg2(1),Homology
GMET_RS06340-MONOMER_mod_4fe4s(1),GMET_RS06340-MONOMER,4fe4s(1),Homology
GMET_RS06315-MONOMER_mod_mg2(1),GMET_RS06315-MONOMER,mg2(1),Homology
GMET_RS10600-MONOMER_mod_mn2(1),GMET_RS10600-MONOMER,mn2(1),Homology
