Gene Name,Accession-2,Left-End-Position,Right-End-Position,Product,Accession-1,replicon
GMET_RS15340,GMET_RS15340,3454706,3456482,GMET_RS15340-MONOMER,Gmet_3059,CP000148.1
GMET_RS09070,GMET_RS09070,2016834,2017017,GMET_RS09070-MONOMER,Gmet_3652,CP000148.1
GMET_RS02235,GMET_RS02235,490795,493315,GMET_RS02235-MONOMER,Gmet_0447,CP000148.1
GMET_RS05945,GMET_RS05945,1312043,1314999,GMET_RS05945-rRNA,Gmet_R0014,CP000148.1
GMET_RS18760,GMET_RS18760,0,147,GMET_RS18760-MONOMER,GMET_RS18760,GMET_RS18760
GMET_RS00620,GMET_RS00620,149368,150493,GMET_RS00620-MONOMER,Gmet_0123,CP000148.1
GMET_RS00060,GMET_RS00060,18679,20365,GMET_RS00060-MONOMER,Gmet_0012,CP000148.1
GMET_RS18480,GMET_RS18480,3456478,3457696,GMET_RS18480-MONOMER,Gmet_3060,CP000148.1
GMET_RS00700,GMET_RS00700,167906,169037,GMET_RS00700-MONOMER,Gmet_0139,CP000148.1
GMET_RS15345,GMET_RS15345,3457707,3458913,GMET_RS15345-MONOMER,Gmet_3061,CP000148.1
GMET_RS09075,GMET_RS09075,2017050,2019021,GMET_RS09075-MONOMER,Gmet_1802,CP000148.1
GMET_RS15350,GMET_RS15350,3458899,3462322,GMET_RS15350-MONOMER,Gmet_3062,CP000148.1
GMET_RS00855,GMET_RS00855,197987,199778,GMET_RS00855-MONOMER,Gmet_0170,CP000148.1
GMET_RS09080,GMET_RS09080,2019007,2019544,GMET_RS09080-MONOMER,Gmet_1803,CP000148.1
GMET_RS00065,GMET_RS00065,20370,21297,GMET_RS00065-MONOMER,Gmet_0013,CP000148.1
GMET_RS15355,GMET_RS15355,3462318,3462939,GMET_RS15355-MONOMER,Gmet_3063,CP000148.1
GMET_RS05950,GMET_RS05950,1315105,1315217,GMET_RS05950-rRNA,Gmet_R0015,CP000148.1
GMET_RS03335,GMET_RS03335,727383,728853,GMET_RS03335-MONOMER,Gmet_0664,CP000148.1
GMET_RS03995,GMET_RS03995,878242,878863,GMET_RS03995-MONOMER,Gmet_0798,CP000148.1
GMET_RS15360,GMET_RS15360,3462942,3464367,GMET_RS15360-MONOMER,Gmet_3064,CP000148.1
GMET_RS09085,GMET_RS09085,2019653,2020958,GMET_RS09085-MONOMER,Gmet_1804,CP000148.1
GMET_RS15365,GMET_RS15365,3464631,3464946,GMET_RS15365-MONOMER,Gmet_3065,CP000148.1
GMET_RS02240,GMET_RS02240,493333,495313,GMET_RS02240-MONOMER,Gmet_0448,CP000148.1
GMET_RS09090,GMET_RS09090,2020999,2021482,GMET_RS09090-MONOMER,Gmet_1805,CP000148.1
GMET_RS18955,GMET_RS18955,0,125,GMET_RS18955-MONOMER,GMET_RS18955,GMET_RS18955
GMET_RS00070,GMET_RS00070,21296,22052,GMET_RS00070-MONOMER,Gmet_0014,CP000148.1
GMET_RS15370,GMET_RS15370,0,321,GMET_RS15370-MONOMER,Gmet_3066,Gmet_3066
GMET_RS17655,GMET_RS17655,3955547,3956153,GMET_RS17655-MONOMER,Gmet_3522,CP000148.1
GMET_RS09095,GMET_RS09095,2021505,2022192,GMET_RS09095-MONOMER,Gmet_1806,CP000148.1
GMET_RS06140,GMET_RS06140,1376435,1376522,GMET_RS06140-tRNA,Gmet_R0016,CP000148.1
GMET_RS18650,GMET_RS18650,0,279,GMET_RS18650-MONOMER,Gmet_3067,Gmet_3067
GMET_RS09100,GMET_RS09100,2022210,2023608,GMET_RS09100-MONOMER,Gmet_1807,CP000148.1
GMET_RS16860,GMET_RS16860,3779989,3781900,GMET_RS16860-MONOMER,Gmet_3364,CP000148.1
