id	me_id	name	formula	compartment	type
2fe1s_c					REMOVE
3haACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_3ha(1)				REPLACE
3hcddec5eACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_3hcddec5e(1)				REPLACE
3hcmrs7eACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_3hcmrs7e(1)				REPLACE
3hcpalm9eACP_c					CURATE
3hcvac11eACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_3hcvac11e(1)				REPLACE
3hddecACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_3hddec(1)				REPLACE
3hdecACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_3hdec(1)				REPLACE
3hhexACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_3hhex(1)				REPLACE
3hmrsACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_3hmrs(1)				REPLACE
3hoctACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_3hoct(1)				REPLACE
3hoctaACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_3hocta(1)				REPLACE
3hpalmACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_3hpalm(1)				REPLACE
3ocddec5eACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_3ocddec5e(1)				REPLACE
3ocmrs7eACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_3ocmrs7e(1)				REPLACE
3ocpalm9eACP_c					CURATE
3ocvac11eACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_3ocvac11e(1)				REPLACE
3oddecACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_3oddec(1)				REPLACE
3odecACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_3odec(1)				REPLACE
3ohexACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_3ohex(1)				REPLACE
3omrsACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_3omrs(1)				REPLACE
3ooctACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_3ooct(1)				REPLACE
3ooctdACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_3ooctd(1)				REPLACE
3opalmACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_3opalm(1)				REPLACE
ACP_c	EG50003-MONOMER_mod_pan4p(1)				REPLACE
LI_c					CURATE
acACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_ac(1)				REPLACE
actACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_act(1)				REPLACE
alatrna_c					REMOVE
alpp_p	EG10544-MONOMER_mod_palmitate(1)				REPLACE
apoACP_c	EG50003-MONOMER				REPLACE
argtrna_c					REMOVE
asntrna_c					REMOVE
asptrna_c					REMOVE
but2eACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_but2e(1)				REPLACE
butACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_but(1)				REPLACE
bwco1gdp_c					REMOVE
bwco_c					REMOVE
bwcogdp_c					REMOVE
cddec5eACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_cddec5e(1)				REPLACE
cdec3eACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_cdec3e(1)				REPLACE
cystrna_c					REMOVE
dcaACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_dca(1)				REPLACE
ddcaACP_c	EG50003-MONOMER_mod_pan4p(1)_mod_ddca(1)				REPLACE
dsbaox_p					CURATE
dsbard_p	MONOMER0-4152				REPLACE
dsbcox_p	DSBC-MONOMER_mod_Oxidized(1)				REPLACE
dsbcrd_p	DSBC-MONOMER				REPLACE
dsbdox_c	DSBD-MONOMER_mod_Oxidized(1)				REPLACE
dsbdrd_c	DSBD-MONOMER				REPLACE
