Complex	Complex_compartment	Protein	Protein_compartment	translocase_pathway
NARU-MONOMER	Inner_Membrane	b1469()	Inner_Membrane	s
ANSB-CPLX	Periplasm	b2957()	Periplasm	s
EG11009-MONOMER	Periplasm	b3035()	Periplasm	s
DIHYDROOROTOX-MONOMER	Inner_Membrane	b0945()	Inner_Membrane	s
DSBD-MONOMER	Inner_Membrane	b4136()	Inner_Membrane	s
YGFO-MONOMER	Inner_Membrane	b2882()	Inner_Membrane	s
EG10739-MONOMER	Inner_Membrane	b3825()	Inner_Membrane	s
DCUA-MONOMER	Inner_Membrane	b4138()	Inner_Membrane	s
ALPHA-AMYL-PERI-MONOMER	Periplasm	b3571()	Periplasm	s
KUP-MONOMER	Inner_Membrane	b3747()	Inner_Membrane	s
PYRUVFORMLY-MONOMER_EG11784-MONOMER	Membrane	b0903()	Membrane	s
PHOSNACMURPENTATRANS-MONOMER	Inner_Membrane	b0087()	Inner_Membrane	s
YJGT-MONOMER	Inner_Membrane	b4265()	Inner_Membrane	s
DIOHBUTANONEPSYN-CPLX	Inner_Membrane	b3041()	Inner_Membrane	s
DCUB-MONOMER	Inner_Membrane	b4123()	Inner_Membrane	s
G6406-MONOMER	Inner_Membrane	b0789()	Inner_Membrane	s
G7533-MONOMER	Periplasm	b2963()	Periplasm	s
CPLX0-243	Membrane	b4226()	Membrane	s
KDPGALDOL-4OH2OXOGLUTARALDOL-CPLX	Membrane	b1850()	Membrane	s
YDEA-MONOMER	Inner_Membrane	b1528()	Inner_Membrane	s
EG11486-MONOMER	Inner_Membrane	b3792()	Inner_Membrane	s
EG10202-MONOMER	Periplasm	b3182()	Periplasm	s
4OHBENZOATE-OCTAPRENYLTRANSFER-MONOMER	Inner_Membrane	b4040()	Inner_Membrane	s
B0511-MONOMER	Inner_Membrane	b0511()	Inner_Membrane	s
TNAB-MONOMER	Inner_Membrane	b3709()	Inner_Membrane	s
EG10950-MONOMER	Periplasm	b4392()	Periplasm	s
2-OCTAPRENYLPHENOL-HYDROX-MONOMER	Inner_Membrane	b3835()	Inner_Membrane	s
ARAE-MONOMER	Inner_Membrane	b2841()	Inner_Membrane	s
FRUCBISALD-CLASSI	Membrane	b2097()	Membrane	s
TYRP-MONOMER	Inner_Membrane	b1907()	Inner_Membrane	s
MTR-MONOMER	Inner_Membrane	b3161()	Inner_Membrane	s
YJDL-MONOMER	Inner_Membrane	b4130()	Inner_Membrane	s
CPLX0-7654	Inner_Membrane	b3927()	Inner_Membrane	s
EXUT-MONOMER	Inner_Membrane	b3093()	Inner_Membrane	s
EG10780-MONOMER	Periplasm	b1308()	Periplasm	s
TRANSALDOLB-CPLX	Membrane	b0008()	Membrane	s
G6437-MONOMER	Periplasm	b0837()	Periplasm	s
CDPDIGLYSYN-MONOMER	Inner_Membrane	b0175()	Inner_Membrane	s
RpoH_mono	Inner_Membrane	b3461()	Inner_Membrane	s
GPT-CPLX	Inner_Membrane	b0238()	Inner_Membrane	s
BRNQ-MONOMER	Inner_Membrane	b0401()	Inner_Membrane	s
PNUC-MONOMER	Inner_Membrane	b0751()	Inner_Membrane	s
TREHALAPERI-MONOMER	Periplasm	b1197()	Periplasm	s
B2789-MONOMER	Inner_Membrane	b2789()	Inner_Membrane	s
EG11353-MONOMER	Inner_Membrane	b3626()	Inner_Membrane	s
KEFB-MONOMER	Inner_Membrane	b3350()	Inner_Membrane	s
YHHO-MONOMER	Inner_Membrane	b3469()	Inner_Membrane	s
XAPB-MONOMER	Inner_Membrane	b2406()	Inner_Membrane	s
ACYLCOASYN-CPLX	Inner_Membrane	b1805()	Inner_Membrane	s
CPLX0-235	Inner_Membrane	b3553()	Inner_Membrane	s
AAS-MONOMER	Inner_Membrane	b2836()	Inner_Membrane	s
EG12455-MONOMER	Inner_Membrane	b2835()	Inner_Membrane	s
CADB-MONOMER	Inner_Membrane	b4132()	Inner_Membrane	s
CPLX0-7534	Outer_Membrane	b0929()	Outer_Membrane	s
MELB-MONOMER	Inner_Membrane	b4120()	Inner_Membrane	s
ARGDECARBOXBIO-CPLX	Periplasm	b2938()	Periplasm	s
DIACYLGLYKIN-CPLX	Inner_Membrane	b4042()	Inner_Membrane	s
EG11425-MONOMER	Inner_Membrane	b3625()	Inner_Membrane	s
EG10280-MONOMER	Outer_Membrane	b2344()	Outer_Membrane	s
HCAT-MONOMER	Inner_Membrane	b2536()	Inner_Membrane	s
G6714-MONOMER	Inner_Membrane	b1393()	Inner_Membrane	s
PKI-COMPLEX	Membrane	b1676()	Membrane	s
Era_dim	Inner_Membrane	b2566()	Inner_Membrane	s
PD04413	Inner_Membrane	b4390()	Inner_Membrane	s
USHA-MONOMER	Periplasm	b0480()	Periplasm	s
DALADEHYDROGA-MONOMER	Inner_Membrane	b1189()	Inner_Membrane	s
DHHB-METHYLTRANSFER-CPLX	Inner_Membrane	b2232()	Inner_Membrane	s
CORA-MONOMER	Inner_Membrane	b3816()	Inner_Membrane	s
GLUTDECARBOXB-CPLX	Membrane	b1493()	Membrane	s
PUTA-CPLX	Inner_Membrane	b1014()	Inner_Membrane	s
EG11665-MONOMER	Inner_Membrane	b3057()	Inner_Membrane	s
EG11423-MONOMER	Membrane	b3623()	Membrane	s
SUPEROX-DISMUTFE-CPLX	Membrane	b1656()	Membrane	s
G6260-MONOMER	Inner_Membrane	b0484()	Inner_Membrane	s
EG12713-MONOMER	Inner_Membrane	b1473()	Inner_Membrane	s
CPLX0-3932	Periplasm	b3035()	Periplasm	s
CYNX-MONOMER	Inner_Membrane	b0341()	Inner_Membrane	s
KDOTRANS-MONOMER	Inner_Membrane	b3633()	Inner_Membrane	s
CHD-MONOMER	Inner_Membrane	b0311()	Inner_Membrane	s
AROP-MONOMER	Inner_Membrane	b0112()	Inner_Membrane	s
YJCG-MONOMER	Inner_Membrane	b4067()	Inner_Membrane	s
EG12069-MONOMER	Inner_Membrane	b2210()	Inner_Membrane	s
DEOXYRIBOSE-P-ALD-MONOMER	Membrane	b4381()	Membrane	s
MGTA-MONOMER	Inner_Membrane	b4242()	Inner_Membrane	s
GLYCEROL-3-P-ACYLTRANSFER-MONOMER	Inner_Membrane	b4041()	Inner_Membrane	s
KGTP-MONOMER	Inner_Membrane	b2587()	Inner_Membrane	s
RED-THIOREDOXIN-MONOMER	Inner_Membrane	b3781()	Inner_Membrane	s
HEMEOSYN-MONOMER	Inner_Membrane	b0428()	Inner_Membrane	s
DCUC-MONOMER	Inner_Membrane	b0621()	Inner_Membrane	s
YHIP-MONOMER	Inner_Membrane	b3496()	Inner_Membrane	s
B1634-MONOMER	Inner_Membrane	b1634()	Inner_Membrane	s
EG11373-MONOMER	Periplasm	b2558()	Periplasm	s
GroL_14	Membrane	b4143()	Membrane	s
3-METHYL-2-OXOBUT-OHCH3XFER-CPLX	Membrane	b0134()	Membrane	s
LysI_RS_dim	Membrane	b2890()	Membrane	s
GLUTDECARBOXA-CPLX	Membrane	b3517()	Membrane	s
Ala_RS_tetra	Membrane	b2697()	Membrane	s
G6539-MONOMER	Inner_Membrane	b1033()	Inner_Membrane	s
CPLX-722	Periplasm	b0980()	Periplasm	s
YBDA-MONOMER	Inner_Membrane	b0591()	Inner_Membrane	s
AERGLYC3PDEHYDROG-CPLX	Inner_Membrane	b3426()	Inner_Membrane	s
YFEP-MONOMER	Inner_Membrane	b2392()	Inner_Membrane	s
NUPG-MONOMER	Inner_Membrane	b2964()	Inner_Membrane	s
TRYPTOPHAN-CPLX	Membrane	b3708()	Membrane	s
TufA_mono	Inner_Membrane	b3339()	Inner_Membrane	s
YGJU-MONOMER	Inner_Membrane	b3089()	Inner_Membrane	s
RHTB-MONOMER	Inner_Membrane	b3824()	Inner_Membrane	s
Tyr_RS_dim	Membrane	b1637()	Membrane	s
Pnp_trim	Membrane	b3164()	Membrane	s
MnmE_dim	Inner_Membrane	b3706()	Inner_Membrane	s
GLTP-MONOMER	Inner_Membrane	b4077()	Inner_Membrane	s
LAUROYLACYLTRAN-MONOMER	Inner_Membrane	b1054()	Inner_Membrane	s
LysII_RS_dim	Membrane	b4129()	Membrane	s
PGPPHOSPHAA-MONOMER	Inner_Membrane	b0418()	Inner_Membrane	s
EG11167-MONOMER	Inner_Membrane	b3040()	Inner_Membrane	s
GNTU-MONOMER	Inner_Membrane	b4476()	Inner_Membrane	s
EG12013-MONOMER	Periplasm	b2132()	Periplasm	s
B0752-MONOMER	Inner_Membrane	b0752()	Inner_Membrane	s
EG10124-MONOMER	Periplasm	b3551()	Periplasm	s
B1006-MONOMER	Inner_Membrane	b1006()	Inner_Membrane	s
GLYOHMETRANS-CPLX	Membrane	b2551()	Membrane	s
EG11424-MONOMER	Inner_Membrane	b3622()	Inner_Membrane	s
EG11426-MONOMER	Inner_Membrane	b3624()	Inner_Membrane	s
DMK-MONOMER	Inner_Membrane	b3930()	Inner_Membrane	s
G6439-MONOMER	Inner_Membrane	b0841()	Inner_Membrane	s
CPLX0-7415	Inner_Membrane	b0182()	Inner_Membrane	s
EG12666-MONOMER	Inner_Membrane	b0524()	Inner_Membrane	s
URACIL-PRIBOSYLTRANS-CPLX	Membrane	b2498()	Membrane	s
ENTE-CPLX	Membrane	b0594()	Membrane	s
B0612-MONOMER	Inner_Membrane	b0612()	Inner_Membrane	s
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-MONOMER	Inner_Membrane	b3018()	Inner_Membrane	s
NACGLCTRANS-MONOMER	Inner_Membrane	b0090()	Inner_Membrane	s
BETT-MONOMER	Inner_Membrane	b0314()	Inner_Membrane	s
CPLX0-7674	Inner_Membrane	b1250()	Inner_Membrane	s
UHPT-MONOMER	Inner_Membrane	b3666()	Inner_Membrane	s
CPLX0-7906	Inner_Membrane	b0040()	Inner_Membrane	s
DXPREDISOM-CPLX	Inner_Membrane	b0173()	Inner_Membrane	s
PITA-MONOMER	Inner_Membrane	b3493()	Inner_Membrane	s
DSBBPROT-MONOMER	Inner_Membrane	b1185()	Inner_Membrane	s
CPLX0-3201	Periplasm	b2328()	Periplasm	s
RNase_G_dim	Inner_Membrane	b3247()	Inner_Membrane	s
