amino_acid	enzyme
ala__L_c	Ala_RS_tetra_mod_zn2(4)
arg__L_c	ArgS_mono_mod_mg2(1)
asn__L_c	Asn_RS_dim
asp__L_c	Asp_RS_dim
cys__L_c	generic_cys_ligase
gln__L_c	GLNS-MONOMER
glu__L_c	generic_glu_ligase
gly_c	CPLX-tRNA-GLY-LIGASE
his__L_c	His_RS_dim_mod_mg2(4)
ile__L_c	IleS_mono_mod_zn2(2)
leu__L_c	LeuS_mono
lys__L_c	generic_lys_ligase
met__L_c	Met_RS_dim_mod_zn2(2)
phe__L_c	CPLX-tRNA-PHE-LIGASE_mod_mg2(1)
pro__L_c	Pro_RS_dim
ser__L_c	SERS-MONOMER_mod_mg2(1)
thr__L_c	Thr_RS_dim_mod_zn2(1)
trp__L_c	Trp_RS_dim_mod_mg2(1)
tyr__L_c	Tyr_RS_dim
val__L_c	ValS_mono_mod_mg2(1)
