,query,evalue
BSU00010,BSU00010,0.0
BSU00020,BSU00020,0.0
BSU00030,BSU00030,1.8700000000000002e-49
BSU00040,BSU00040,0.0
BSU00050,BSU00050,1.49e-56
BSU00060,BSU00060,0.0
BSU00070,BSU00070,0.0
BSU00080,BSU00080,0.0
BSU00090,BSU00090,0.0
BSU00100,BSU00100,0.0
BSU00110,BSU00110,0.0
BSU00120,BSU00120,6.03e-145
BSU00130,BSU00130,0.0
BSU00140,BSU00140,9.520000000000001e-167
BSU00150,BSU00150,1.26e-155
BSU00160,BSU00160,0.0
BSU00170,BSU00170,3.93e-136
BSU00180,BSU00180,6.27e-118
BSU00190,BSU00190,0.0
BSU00200,BSU00200,1.38e-72
BSU00210,BSU00210,3.8700000000000004e-148
BSU00220,BSU00220,3.2599999999999996e-48
BSU00230,BSU00230,7.78e-54
BSU00240,BSU00240,1.45e-44
BSU00250,BSU00250,1.31e-150
BSU00260,BSU00260,0.0
BSU00270,BSU00270,0.0
BSU00280,BSU00280,6.3e-158
BSU00290,BSU00290,6.18e-79
BSU00300,BSU00300,2.1299999999999997e-104
BSU00310,BSU00310,0.0
BSU00320,BSU00320,0.0
BSU00330,BSU00330,1.36e-85
BSU00340,BSU00340,0.0
BSU00350,BSU00350,1.72e-71
BSU00360,BSU00360,0.0
BSU00370,BSU00370,2.92e-66
BSU00380,BSU00380,0.0
BSU00390,BSU00390,0.0
BSU00400,BSU00400,0.0
BSU00410,BSU00410,9.819999999999999e-138
BSU00420,BSU00420,0.0
BSU00430,BSU00430,0.0
BSU00440,BSU00440,7.66e-60
BSU00450,BSU00450,3.88e-41
BSU00460,BSU00460,0.0
BSU00470,BSU00470,0.0
BSU00480,BSU00480,8.77e-92
BSU00490,BSU00490,4.37e-69
BSU00500,BSU00500,0.0
BSU00510,BSU00510,0.0
BSU00520,BSU00520,4.54e-150
BSU00530,BSU00530,3.0599999999999997e-140
BSU00540,BSU00540,6.6e-55
BSU00550,BSU00550,0.0
BSU00560,BSU00560,2.4e-130
BSU00570,BSU00570,0.0
BSU00580,BSU00580,0.0
BSU00590,BSU00590,5.35e-59
BSU00600,BSU00600,1.29e-70
BSU00610,BSU00610,1.15e-150
BSU00620,BSU00620,3.07e-87
BSU00630,BSU00630,3.36e-91
BSU00640,BSU00640,0.0
BSU00650,BSU00650,0.0
BSU00660,BSU00660,0.0
BSU00670,BSU00670,0.0
BSU00680,BSU00680,5.6600000000000006e-129
BSU00690,BSU00690,0.0
BSU00700,BSU00700,0.0
BSU00710,BSU00710,0.0
BSU00720,BSU00720,0.0
BSU00730,BSU00730,0.0
BSU00740,BSU00740,0.0
BSU00750,BSU00750,1.34e-145
BSU00760,BSU00760,0.0
BSU00770,BSU00770,0.0
BSU00780,BSU00780,2.11e-87
BSU00790,BSU00790,4.28e-125
BSU00800,BSU00800,4.0399999999999996e-46
BSU00810,BSU00810,0.0
BSU00820,BSU00820,0.0
BSU00830,BSU00830,3.01e-111
BSU00840,BSU00840,1.81e-139
BSU00850,BSU00850,0.0
BSU00860,BSU00860,0.0
BSU00870,BSU00870,0.0
BSU00880,BSU00880,0.0
BSU00890,BSU00890,0.0
BSU00900,BSU00900,2.32e-174
BSU00910,BSU00910,7.530000000000001e-116
BSU00920,BSU00920,0.0
BSU00930,BSU00930,9.4e-162
BSU00940,BSU00940,0.0
BSU00950,BSU00950,1.5899999999999997e-104
BSU00960,BSU00960,0.0
BSU00970,BSU00970,1.6400000000000002e-125
BSU00980,BSU00980,1.37e-161
BSU00990,BSU00990,5.8e-31
BSU01000,BSU01000,1.02e-37
BSU01010,BSU01010,1.84e-128
BSU01020,BSU01020,1.54e-100
BSU01030,BSU01030,8.640000000000001e-169
BSU01040,BSU01040,1.55e-117
BSU01050,BSU01050,7.890000000000001e-79
BSU01060,BSU01060,4.2099999999999997e-150
BSU01070,BSU01070,0.0
BSU01080,BSU01080,0.0
BSU01090,BSU01090,1.91e-52
BSU01100,BSU01100,6.510000000000001e-100
