Transcription-Units	Genes of transcription unit	Direction
TU1R65-5567	STM3806	+
TU1R65-3311	STM0411	+
TU1R65-5932	STM0467	+
TU1R65-4793	STM3256 // STM3255 // STM3254 // STM3253	+
TU1R65-3676	STM1109 // STM1108 // STM1107 // STM1106 // STM1105 // STM1104 // STM1103 // STM1102 // STM1101	+
TU1R65-5183	STM4042 // STM4041	-
TU1R65-4044	STM1756 // STM1755	+
TU1R65-4409	STM2509	-
TU1R65-5551	STM3964	-
TU1R65-3295	STM0384	+
TU1R65-5916	STM0602	-
TU1R65-4777	STM3223	+
TU1R65-3660	STM1076	-
TU1R65-5167	STM4002	+
TU1R65-4028	STM1721 // STM1720	-
TU1R65-4393	STM2480	+
TU1R65-5535	STM4126	-
TU1R65-3279	STM0349	+
TU1R65-5900	STM0801	-
TU1R65-4761	STM3194 // STM3193 // STM3192 // STM3191	+
TU1R65-3644	STM1050 // STM1049	+
TU1R65-5151	STM3976 // STM3975 // STM3974 // STM3973	+
TU1R65-4012	STM1698	-
TU1R65-4377	STM2444 // STM2443 // STM2442 // STM2441	-
TU1R65-5519	STM4309	-
TU1R65-3263	STM0319	+
TU1R65-5884	STM0904	-
TU1R65-4745	STM3162	+
TU1R65-3631	STM1026	-
TU1R65-5135	STM3942 // STM3941	+
TU1R65-3996	STM1667	-
TU1R65-4361	STM2407	+
TU1R65-5503	STM4406	+
TU1R65-3247	STM0297	+
TU1R65-5868	STM1089	+
TU1R65-4729	STM3137 // STM3136 // STM3135	+
TU1R65-3615	STM1002	+
TU1R65-5119	STM3900	+
TU1R65-3980	STM1641	-
TU1R65-5487	STM4552	+
TU1R65-4348	STM2378	-
TU1R65-3231	STM0264	+
TU1R65-5852	STM1299	-
TU1R65-4713	STM3104	+
TU1R65-3599	STM0978	+
TU1R65-5081	STM3808	-
TU1R65-5103	STM3862 // STM3861	-
TU1R65-3964	STM1607	-
TU1R65-5471	STM4578	+
TU1R65-4332	STM2354 // STM2353 // STM2352 // STM2351	-
TU1R65-3215	STM0241 // STM0240 // STM0239	+
TU1R65-5836	STM1462	+
TU1R65-4697	STM3070 // STM3069 // STM3068	-
TU1R65-3583	STM0953	-
TU1R65-5065	STM3785 // STM3784 // STM3783	-
TU1R65-5087	STM3830 // STM3829 // STM3828 // STM3827	-
TU1R65-3948	STM1583	-
TU1R65-5455	STM4549	-
TU1R65-4316	STM2329	-
TU1R65-3199	STM0214 // STM0213	-
TU1R65-5820	STM1592	-
TU1R65-4681	STM3041 // STM3040	-
TU1R65-3567	STM0923	+
TU1R65-5049	STM3756	+
TU1R65-3932	STM1560 // STM1559 // STM1558	-
TU1R65-5439	STM4525 // STM4524	-
TU1R65-4300	STM2283 // STM2282	-
TU1R65-3183	STM0180	-
TU1R65-4665	STM3017	-
TU1R65-3551	STM0896	-
TU1R65-5033	STM3726	-
TU1R65-3916	STM1527	+
TU1R65-5423	STM4501 // STM4500	-
TU1R65-4284	STM2240 // STM2239	-
TU1R65-3167	STM0147 // STM0146	+
TU1R65-4649	STM2990 // STM2989	+
TU1R65-5791	STM1749	+
TU1R65-3535	STM0860	-
TU1R65-5017	STM3691 // STM3690	+
TU1R65-3900	STM1500	-
TU1R65-5407	STM4467 // STM4466 // STM4465	-
TU1R65-4268	STM2213 // STM2212	+
TU1R65-3151	STM0114	-
TU1R65-4633	STM2968	+
TU1R65-5775	STM1841	+
TU1R65-3519	STM0830 // STM0829 // STM0828	-
TU1R65-5001	STM3654	-
TU1R65-3884	STM1473	-
TU1R65-5391	STM4436	+
TU1R65-4252	STM2184	+
TU1R65-3135	STM0084	+
TU1R65-4617	STM2926	-
TU1R65-5759	STM1983	-
TU1R65-3503	STM0792	-
TU1R65-4985	STM3630 // STM3629 // STM3628 // STM3627 // STM3626	-
TU1R65-3868	STM1447	+
TU1R65-5375	STM4411 // STM4410 // STM4409	+
TU1R65-4236	STM2156A	+
TU1R65-3119	STM0051 // STM0050	+
TU1R65-4601	STM2877 // STM2876	+
TU1R65-5743	STM2170	+
TU1R65-3487	STM0758	-
TU1R65-4969	STM3599	-
TU1R65-3852	STM1422 // STM1421 // STM1420 // STM1419	+
TU1R65-5359	STM4377	+
TU1R65-4220	STM2122	-
TU1R65-3103	STM0019	+
TU1R65-4585	STM2838 // STM2837	+
TU1R65-5727	STM2371	+
TU1R65-3471	STM0723 // STM0722	+
TU1R65-4953	STM3576	+
TU1R65-3836	STM1378	-
TU1R65-5343	STM4339	-
TU1R65-4204	STM2066	+
TU1R65-3087	STM4599	+
TU1R65-4569	STM2813	+
TU1R65-5711	STM2478	+
TU1R65-3455	STM0695	-
TU1R65-4937	STM3545	-
TU1R65-3820	STM1350	-
TU1R65-5327	STM4311	+
TU1R65-4188	STM2007	+
TU1R65-3071	PSLT064	+
TU1R65-4553	STM2779	-
TU1R65-5695	STM2646	-
TU1R65-3439	STM0668	-
TU1R65-4921	STM3517 // STM3516	-
TU1R65-3804	STM1324	-
TU1R65-5311	STM4284	-
TU1R65-4172	STM1982	+
TU1R65-3055	PSLT040	-
TU1R65-4537	STM2753 // STM2752 // STM2751 // STM2750	+
TU1R65-5679	STM2839	-
TU1R65-3423	STM0633	-
TU1R65-4905	STM3487 // STM3486	-
TU1R65-3788	STM1294 // STM1293	-
TU1R65-5295	STM4253 // STM4252	-
TU1R65-4156	STM1951	-
TU1R65-3039	PSLT014	-
TU1R65-4521	STM2718 // STM2717 // STM2716	-
TU1R65-5663	STM3013	-
TU1R65-3407	STM0599 // STM0598 // STM0597 // STM0596 // STM0595	+
TU1R65-4889	STM3455	-
TU1R65-3772	STM1272 // STM1271	+
TU1R65-5279	STM4226	+
TU1R65-4140	STM1925 // STM1924	-
TU1R65-4505	STM2686	-
TU1R65-5647	STM3129	+
TU1R65-3391	STM0559 // STM0558 // STM0557	-
TU1R65-4873	STM3407 // STM3406	+
TU1R65-3756	STM1248	+
