Modified_enzyme,Core_enzyme,Modifications,Source
RNAP-CPLX_mod_zn2(1)_mod_mg2(2),RNAP-CPLX,zn2(1) AND mg2(2),RNA_Polymerase
G185E-6363-MONOMER_mod_k(1)_mod_mg2(1),G185E-6363-MONOMER,k(1) AND mg2(1),Homology
G185E-7013-MONOMER_mod_mg2(1),G185E-7013-MONOMER,mg2(1),Homology
G185E-4476-MONOMER_mod_zn2(4),G185E-4476-MONOMER,zn2(4),Homology
G185E-6360-MONOMER_mod_mg2(1),G185E-6360-MONOMER,mg2(1),Homology
G185E-6330-MONOMER_mod_zn2(1)_mod_cbl1(1),G185E-6330-MONOMER,zn2(1) AND cbl1(1),Homology
G185E-5182-MONOMER_mod_mg2(4),G185E-5182-MONOMER,mg2(4),Homology
G185E-6981-MONOMER_mod_4fe4s(1),G185E-6981-MONOMER,4fe4s(1),Homology
G185E-8138-MONOMER_mod_mg2(1),G185E-8138-MONOMER,mg2(1),Homology
G185E-4146-MONOMER_mod_pydx5p(1),G185E-4146-MONOMER,pydx5p(1),Homology
G185E-7741-MONOMER_mod_nad(1),G185E-7741-MONOMER,nad(1),Homology
G185E-5564-MONOMER_mod_cobalt2(1)_mod_zn2(1),G185E-5564-MONOMER,cobalt2(1) AND zn2(1),Homology
G185E-5564-MONOMER_mod_mn2(1)_mod_zn2(1),G185E-5564-MONOMER,mn2(1) AND zn2(1),Homology
G185E-5564-MONOMER_mod_ni2(1)_mod_zn2(1),G185E-5564-MONOMER,ni2(1) AND zn2(1),Homology
G185E-6949-MONOMER_mod_mg2(1),G185E-6949-MONOMER,mg2(1),Homology
G185E-5165-MONOMER_mod_zn2(2),G185E-5165-MONOMER,zn2(2),Homology
G185E-7709-MONOMER_mod_pydx5p(1),G185E-7709-MONOMER,pydx5p(1),Homology
G185E-6930-MONOMER_mod_thmpp(1),G185E-6930-MONOMER,thmpp(1),Homology
G185E-5886-MONOMER_mod_mg2(1),G185E-5886-MONOMER,mg2(1),Homology
G185E-7272-MONOMER_mod_mg2(1),G185E-7272-MONOMER,mg2(1),Homology
G185E-7648-MONOMER_mod_mg2(1),G185E-7648-MONOMER,mg2(1),Homology
G185E-4688-MONOMER_mod_mg2(1)_mod_mn2(1)_mod_thmpp(1),G185E-4688-MONOMER,mg2(1) AND mn2(1) AND thmpp(1),Homology
G185E-5444-MONOMER_mod_mg2(1),G185E-5444-MONOMER,mg2(1),Homology
G185E-4656-MONOMER_mod_pydx5p(1),G185E-4656-MONOMER,pydx5p(1),Homology
G185E-7219-MONOMER_mod_mg2(1),G185E-7219-MONOMER,mg2(1),Homology
G185E-5788-MONOMER_mod_pydx5p(1),G185E-5788-MONOMER,pydx5p(1),Homology
G185E-4618-MONOMER_mod_23bpg(1),G185E-4618-MONOMER,23bpg(1),Homology
G185E-6777-MONOMER_mod_cobalt2(1)_mod_nad(1),G185E-6777-MONOMER,cobalt2(1) AND nad(1),Homology
G185E-4332-MONOMER_mod_mg2(1),G185E-4332-MONOMER,mg2(1),Homology
G185E-4332-MONOMER_mod_mn2(1),G185E-4332-MONOMER,mn2(1),Homology
G185E-4332-MONOMER_mod_ca2(1),G185E-4332-MONOMER,ca2(1),Homology
G185E-4332-MONOMER_mod_zn2(1),G185E-4332-MONOMER,zn2(1),Homology
G185E-4332-MONOMER_mod_cu2(1),G185E-4332-MONOMER,cu2(1),Homology
