Gene Name,Accession-1,Left-End-Position,Right-End-Position,Product,replicon
HP_RS01075,HP0219,227703,228165,HP_RS01075-MONOMER,NC_000915.1
HP_RS03515,HP0722,774451,776341,HP_RS03515-MONOMER,NC_000915.1
HP_RS05960,HP1207,1284323,1284992,HP_RS05960-MONOMER,NC_000915.1
HP_RS00960,HP0197,203617,204775,HP_RS00960-MONOMER,NC_000915.1
HP_RS03405,HP0696,747953,750251,HP_RS03405-MONOMER,NC_000915.1
HP_RS05850,HP1190,1260645,1261974,HP_RS05850-MONOMER,NC_000915.1
HP_RS00870,HP0178,184797,185820,HP_RS00870-MONOMER,NC_000915.1
HP_RS03275,HP0664,711826,712342,HP_RS03275-MONOMER,NC_000915.1
HP_RS05745,HP1169,1236571,1237225,HP_RS05745-MONOMER,NC_000915.1
HP_RS00775,HP0157,166149,166638,HP_RS00775-MONOMER,NC_000915.1
HP_RS03180,HP0645,690363,692046,HP_RS03180-MONOMER,NC_000915.1
HP_RS07780,HP1572,1652650,1653769,HP_RS07780-MONOMER,NC_000915.1
HP_RS05660,HP1152,1213521,1214868,HP_RS05660-MONOMER,NC_000915.1
HP_RS00670,HP0136,146812,147271,HP_RS00670-MONOMER,NC_000915.1
HP_RS03080,HP0625,671609,672689,HP_RS03080-MONOMER,NC_000915.1
HP_RS07680,HP1553,1632599,1635437,HP_RS07680-MONOMER,NC_000915.1
HP_RS05565,HP1133,1195704,1196610,HP_RS05565-MONOMER,NC_000915.1
HP_RS00580,HP0114,121001,122885,HP_RS00580-MONOMER,NC_000915.1
HP_RS02980,HP0604,640270,641290,HP_RS02980-MONOMER,NC_000915.1
HP_RS07575,HP1532,1609974,1611768,HP_RS07575-MONOMER,NC_000915.1
HP_RS05455,HP1111,1172351,1173296,HP_RS05455-MONOMER,NC_000915.1
HP_RS00470,HP0092,98082,98916,HP_RS00470-MONOMER,NC_000915.1
HP_RS02890,HP0586,616193,619127,HP_RS02890-MONOMER,NC_000915.1
HP_RS07445,HP1504,1577238,1577955,HP_RS07445-MONOMER,NC_000915.1
HP_RS05350,HP1088,1146593,1148519,HP_RS05350-MONOMER,NC_000915.1
HP_RS00370,HP0073,77239,77956,HP_RS00370-MONOMER,NC_000915.1
HP_RS02800,HP0569,601078,602179,HP_RS02800-MONOMER,NC_000915.1
HP_RS07355,HP1485,1557742,1558315,HP_RS07355-MONOMER,NC_000915.1
HP_RS05250,HP1067,1126267,1126642,HP_RS05250-MONOMER,NC_000915.1
HP_RS00245,HP0048,46041,48294,HP_RS00245-MONOMER,NC_000915.1
HP_RS02695,HP0547,579920,583481,HP_RS02695-MONOMER,NC_000915.1
HP_RS07260,HP1466,1536793,1537927,HP_RS07260-MONOMER,NC_000915.1
HP_RS05145,HP1047,1109611,1109947,HP_RS05145-MONOMER,NC_000915.1
HP_RS00145,HP0026,26077,27358,HP_RS00145-MONOMER,NC_000915.1
HP_RS02615,HP0531,564380,565037,HP_RS02615-MONOMER,NC_000915.1
HP_RS07170,HP1448,1517074,1517560,HP_RS07170-MONOMER,NC_000915.1
HP_RS05060,HP1030,1091742,1092606,HP_RS05060-MONOMER,NC_000915.1
HP_RS00020,HP0004,1931,2597,HP_RS00020-MONOMER,NC_000915.1
HP_RS02535,HP0514,542012,542462,HP_RS02535-MONOMER,NC_000915.1
HP_RS07060,HP1427,0,183,HP_RS07060-MONOMER,HP1427
HP_RS04965,HP1010,1072428,1074456,HP_RS04965-MONOMER,NC_000915.1
HP_RS02440,HP0493,519533,520595,HP_RS02440-MONOMER,NC_000915.1
HP_RS06945,HP1406,1471118,1471967,HP_RS06945-MONOMER,NC_000915.1
HP_RS04775,HP0976,1037709,1039020,HP_RS04775-MONOMER,NC_000915.1
HP_RS02340,HP0473,495164,495905,HP_RS02340-MONOMER,NC_000915.1
HP_RS06810,HP1379,1442397,1444905,HP_RS06810-MONOMER,NC_000915.1
HP_RS04680,HP0956,1015045,1015774,HP_RS04680-MONOMER,NC_000915.1
HP_RS02110,HP0426,442478,444212,HP_RS02110-MONOMER,NC_000915.1
HP_RS06725,HP1361,1421604,1422918,HP_RS06725-MONOMER,NC_000915.1
HP_RS04555,HP0935,995543,996029,HP_RS04555-MONOMER,NC_000915.1
HP_RS01985,HP0403,415634,416621,HP_RS01985-MONOMER,NC_000915.1
HP_RS06615,HP1340,1399532,1399922,HP_RS06615-MONOMER,NC_000915.1
HP_RS04460,HP0913,966745,968335,HP_RS04460-MONOMER,NC_000915.1
HP_RS01890,HP0384,394336,395089,HP_RS01890-MONOMER,NC_000915.1
HP_RS06520,HP1321,1381425,1382514,HP_RS06520-MONOMER,NC_000915.1
HP_RS04340,HP0890,944086,944935,HP_RS04340-MONOMER,NC_000915.1
HP_RS01775,HP0361,371187,371916,HP_RS01775-MONOMER,NC_000915.1
HP_RS06440,HP1305,1374459,1374855,HP_RS06440-MONOMER,NC_000915.1
HP_RS04225,HP0866,917922,918417,HP_RS04225-MONOMER,NC_000915.1
HP_RS01635,HP0331,346570,347377,HP_RS01635-MONOMER,NC_000915.1
HP_RS06350,HP1287,1363130,1363784,HP_RS06350-MONOMER,NC_000915.1
HP_RS04120,HP0844,895170,895980,HP_RS04120-MONOMER,NC_000915.1
HP_RS01530,HP0310,326680,327562,HP_RS01530-MONOMER,NC_000915.1
HP_RS06265,HP1270,1342664,1342967,HP_RS06265-MONOMER,NC_000915.1
HP_RS04005,HP0821,873392,875177,HP_RS04005-MONOMER,NC_000915.1
HP_RS01445,HP0293,309150,310830,HP_RS01445-MONOMER,NC_000915.1
HP_RS03900,HP0801,856323,856545,HP_RS03900-MONOMER,NC_000915.1
HP_RS01380,HP0280,287765,288752,HP_RS01380-MONOMER,NC_000915.1
HP_RS03805,HP0781,835101,836391,HP_RS03805-MONOMER,NC_000915.1
HP_RS01270,HP0258,267020,268067,HP_RS01270-MONOMER,NC_000915.1
HP_RS03695,HP0758,811423,812737,HP_RS03695-MONOMER,NC_000915.1
HP_RS03680,HP0754,809302,809542,HP_RS03680-MONOMER,NC_000915.1
HP_RS06130,HP1243,1317837,1320039,HP_RS06130-MONOMER,NC_000915.1
HP_RS01145,HP0233,242676,243849,HP_RS01145-MONOMER,NC_000915.1
HP_RS03595,HP0739,794020,794746,HP_RS03595-MONOMER,NC_000915.1
HP_RS06045,HP1225,1301103,1301496,HP_RS06045-MONOMER,NC_000915.1
HP_RS01055,HP0215,223890,224691,HP_RS01055-MONOMER,NC_000915.1
HP_RS03495,HP0717,770468,772205,HP_RS03495-MONOMER,NC_000915.1
HP_RS05925,HP1204,1280484,1280643,HP_RS05925-MONOMER,NC_000915.1
HP_RS00945,HP0194,200991,201696,HP_RS00945-MONOMER,NC_000915.1
HP_RS03385,HP0692,742439,743063,HP_RS03385-MONOMER,NC_000915.1
HP_RS05825,HP1185,1254324,1255500,HP_RS05825-MONOMER,NC_000915.1
HP_RS00855,HP0175,181864,182764,HP_RS00855-MONOMER,NC_000915.1
HP_RS03260,HP0661,709532,709964,HP_RS03260-MONOMER,NC_000915.1
HP_RS07860,HP1588,1666028,1666790,HP_RS07860-MONOMER,NC_000915.1
HP_RS05730,HP1166,1230659,1232297,HP_RS05730-MONOMER,NC_000915.1
HP_RS00755,HP0153,162927,163971,HP_RS00755-MONOMER,NC_000915.1
HP_RS03165,HP0642,687927,688581,HP_RS03165-MONOMER,NC_000915.1
HP_RS07760,HP1568,1650093,1650645,HP_RS07760-MONOMER,NC_000915.1
HP_RS05645,HP1149,1212298,1212853,HP_RS05645-MONOMER,NC_000915.1
HP_RS00655,HP0132,142226,143594,HP_RS00655-MONOMER,NC_000915.1
HP_RS03060,HP0621,666409,668659,HP_RS03060-MONOMER,NC_000915.1
HP_RS07665,HP1550,1629254,1630832,HP_RS07665-MONOMER,NC_000915.1
HP_RS05550,HP1130,1193310,1193880,HP_RS05550-MONOMER,NC_000915.1
HP_RS00560,HP0110,118253,118823,HP_RS00560-MONOMER,NC_000915.1
HP_RS02960,HP0600,635336,637118,HP_RS02960-MONOMER,NC_000915.1
HP_RS07545,HP1526,1605023,1605776,HP_RS07545-MONOMER,NC_000915.1
HP_RS05440,HP1108,1170137,1170698,HP_RS05440-MONOMER,NC_000915.1
HP_RS00450,HP0089,95190,95886,HP_RS00450-MONOMER,NC_000915.1
HP_RS02875,HP0584,614855,615227,HP_RS02875-MONOMER,NC_000915.1
HP_RS07430,HP1501,1573067,1574231,HP_RS07430-MONOMER,NC_000915.1
HP_RS05330,HP1084,1143526,1144450,HP_RS05330-MONOMER,NC_000915.1
HP_RS00355,HP0070,74232,74745,HP_RS00355-MONOMER,NC_000915.1
HP_RS02785,HP0566,598046,598868,HP_RS02785-MONOMER,NC_000915.1
HP_RS07340,HP1482,1556248,1556509,HP_RS07340-MONOMER,NC_000915.1
HP_RS05215,HP1061,1122275,1123037,HP_RS05215-MONOMER,NC_000915.1
HP_RS00230,HP0044,42104,43250,HP_RS00230-MONOMER,NC_000915.1
HP_RS02680,HP0545,578114,578738,HP_RS02680-MONOMER,NC_000915.1
HP_RS07240,HP1462,1533922,1534510,HP_RS07240-MONOMER,NC_000915.1
HP_RS05130,HP1044,1105772,1106885,HP_RS05130-MONOMER,NC_000915.1
HP_RS00125,HP0021,20568,21141,HP_RS00125-MONOMER,NC_000915.1
HP_RS02600,HP0528,560003,561572,HP_RS02600-MONOMER,NC_000915.1
HP_RS07155,HP1445,1516044,1516497,HP_RS07155-MONOMER,NC_000915.1
HP_RS05045,HP1027,1090211,1090664,HP_RS05045-MONOMER,NC_000915.1
HP_RS00005,HP0001,216,633,HP_RS00005-MONOMER,NC_000915.1
HP_RS02510,HP0509,535210,536590,HP_RS02510-MONOMER,NC_000915.1
HP_RS07035,HP1421,1490989,1491904,HP_RS07035-MONOMER,NC_000915.1
HP_RS04910,HP1000,1062686,1063343,HP_RS04910-MONOMER,NC_000915.1
HP_RS02425,HP0490,516999,518136,HP_RS02425-MONOMER,NC_000915.1
HP_RS06920,HP1401,1464047,1464755,HP_RS06920-MONOMER,NC_000915.1
HP_RS04755,HP0972,1032527,1034633,HP_RS04755-MONOMER,NC_000915.1
HP_RS02325,HP0470,490974,492711,HP_RS02325-MONOMER,NC_000915.1
HP_RS06795,HP1376,1440244,1440724,HP_RS06795-MONOMER,NC_000915.1
HP_RS04660,HP0952,1012262,1012919,HP_RS04660-MONOMER,NC_000915.1
HP_RS02085,HP0421,435097,436267,HP_RS02085-MONOMER,NC_000915.1
