,value
TU2DNV-1603,['HP_RS06600']
TU2DNV-1604,"['HP_RS00365', 'HP_RS00370']"
TU2DNV-2027,['HP_RS07850']
TU2DNV-2028,['HP_RS07855']
TU2DNV-2029,['HP_RS07910']
TU2DNV-2030,['HP_RS07860']
TU2DNV-2031,['HP_RS07865']
TU2DNV-2032,"['HP_RS00020', 'HP_RS00015', 'HP_RS00010', 'HP_RS00005']"
TU2DNV-2033,"['HP_RS00030', 'HP_RS00025']"
TU2DNV-2034,"['HP_RS00055', 'HP_RS00050', 'HP_RS00045', 'HP_RS00040', 'HP_RS00035']"
TU2DNV-2035,['HP_RS00060']
TU2DNV-2036,"['HP_RS00070', 'HP_RS00065']"
TU2DNV-2037,"['HP_RS00080', 'HP_RS00075']"
TU2DNV-2038,['HP_RS00085']
TU2DNV-2039,"['HP_RS00100', 'HP_RS00095', 'HP_RS00090']"
TU2DNV-2040,['HP_RS00110']
TU2DNV-2041,"['HP_RS00120', 'HP_RS00115']"
TU2DNV-2042,"['HP_RS00130', 'HP_RS00125']"
TU2DNV-2043,['HP_RS00135']
TU2DNV-2044,['HP_RS00140']
TU2DNV-2045,['HP_RS00145']
TU2DNV-2046,['HP_RS00150']
TU2DNV-2047,['HP_RS00155']
TU2DNV-2048,"['HP_RS00165', 'HP_RS00160']"
TU2DNV-2049,"['HP_RS00200', 'HP_RS00195', 'HP_RS00190', 'HP_RS00185', 'HP_RS00180', 'HP_RS00175', 'HP_RS00170']"
TU2DNV-2050,"['HP_RS00220', 'HP_RS00215', 'HP_RS00210']"
TU2DNV-2051,['HP_RS00225']
TU2DNV-2052,"['HP_RS00235', 'HP_RS00230']"
TU2DNV-2053,"['HP_RS00250', 'HP_RS00245', 'HP_RS00240']"
TU2DNV-2054,"['HP_RS00265', 'HP_RS00260', 'HP_RS00255']"
TU2DNV-2055,"['HP_RS00285', 'HP_RS00280', 'HP_RS00275', 'HP_RS00270']"
TU2DNV-2056,['HP_RS00290']
TU2DNV-2057,"['HP_RS00335', 'HP_RS00330', 'HP_RS00325', 'HP_RS00320', 'HP_RS00315', 'HP_RS00310', 'HP_RS00305', 'HP_RS00300', 'HP_RS00295']"
TU2DNV-2058,"['HP_RS00360', 'HP_RS00355', 'HP_RS00350', 'HP_RS00345', 'HP_RS00340']"
TU2DNV-2059,"['HP_RS00385', 'HP_RS00380', 'HP_RS00375']"
TU2DNV-2060,['HP_RS00390']
TU2DNV-2061,['HP_RS00395']
TU2DNV-2062,"['HP_RS00405', 'HP_RS00400']"
TU2DNV-2063,['HP_RS00410']
TU2DNV-2064,['HP_RS00415']
TU2DNV-2065,"['HP_RS00425', 'HP_RS00420']"
TU2DNV-2066,"['HP_RS00435', 'HP_RS00430']"
TU2DNV-2067,"['HP_RS00445', 'HP_RS00440']"
TU2DNV-2068,"['HP_RS00455', 'HP_RS00450']"
TU2DNV-2069,['HP_RS00460']
TU2DNV-2070,"['HP_RS00470', 'HP_RS00465']"
TU2DNV-2071,['HP_RS00480']
TU2DNV-2072,['HP_RS00485']
TU2DNV-2073,['HP_RS00495']
TU2DNV-2074,['HP_RS00500']
TU2DNV-2075,"['HP_RS00510', 'HP_RS00505']"
TU2DNV-2076,['HP_RS00515']
TU2DNV-2077,"['HP_RS00525', 'HP_RS00520']"
TU2DNV-2078,['HP_RS00530']
TU2DNV-2079,"['HP_RS00545', 'HP_RS00540', 'HP_RS00535']"
TU2DNV-2080,"['HP_RS00565', 'HP_RS00560', 'HP_RS00555']"
TU2DNV-2081,"['HP_RS00575', 'HP_RS00570']"
TU2DNV-2082,['HP_RS00580']
TU2DNV-2083,['HP_RS00585']
TU2DNV-2084,"['HP_RS00595', 'HP_RS00590']"
TU2DNV-2085,['HP_RS00600']
TU2DNV-2086,['HP_RS00605']
TU2DNV-2087,['HP_RS00610']
TU2DNV-2088,['HP_RS00615']
TU2DNV-2089,"['HP_RS00630', 'HP_RS00625', 'HP_RS00620']"
TU2DNV-2090,['HP_RS00635']
TU2DNV-2091,['HP_RS00640']
TU2DNV-2092,['HP_RS00645']
TU2DNV-2093,['HP_RS00650']
TU2DNV-2094,"['HP_RS00660', 'HP_RS00655']"
TU2DNV-2095,"['HP_RS00685', 'HP_RS00680', 'HP_RS00675', 'HP_RS00670']"
TU2DNV-2096,['HP_RS00690']
TU2DNV-2097,['HP_RS00695']
TU2DNV-2098,"['HP_RS00705', 'HP_RS00700']"
TU2DNV-2099,"['HP_RS00730', 'HP_RS00725', 'HP_RS00720', 'HP_RS00715', 'HP_RS00710']"
TU2DNV-2100,"['HP_RS00740', 'HP_RS00735']"
TU2DNV-2101,['HP_RS00745']
TU2DNV-2102,"['HP_RS00780', 'HP_RS00775', 'HP_RS00770', 'HP_RS00765', 'HP_RS00760', 'HP_RS00755']"
TU2DNV-2103,"['HP_RS00810', 'HP_RS00805', 'HP_RS00800', 'HP_RS00795']"
TU2DNV-2104,"['HP_RS00820', 'HP_RS00815']"
TU2DNV-2105,"['HP_RS00830', 'HP_RS00825']"
TU2DNV-2106,['HP_RS00835']
TU2DNV-2107,"['HP_RS00850', 'HP_RS00845', 'HP_RS00840']"
TU2DNV-2108,"['HP_RS00865', 'HP_RS00860', 'HP_RS00855']"
TU2DNV-2109,"['HP_RS00880', 'HP_RS00875', 'HP_RS00870']"
TU2DNV-2110,"['HP_RS00905', 'HP_RS00900', 'HP_RS00895', 'HP_RS00890', 'HP_RS00885']"
TU2DNV-2111,"['HP_RS00915', 'HP_RS00910']"
TU2DNV-2112,"['HP_RS00940', 'HP_RS00935', 'HP_RS00930', 'HP_RS00925']"
TU2DNV-2113,"['HP_RS00955', 'HP_RS00950', 'HP_RS00945']"
TU2DNV-2114,['HP_RS00960']
TU2DNV-2115,"['HP_RS00975', 'HP_RS00970', 'HP_RS00965']"
TU2DNV-2116,"['HP_RS00990', 'HP_RS00985', 'HP_RS00980']"
TU2DNV-2117,['HP_RS00995']
TU2DNV-2118,"['HP_RS01005', 'HP_RS01000']"
TU2DNV-2119,['HP_RS01010']
TU2DNV-2120,['HP_RS01025']
TU2DNV-2121,['HP_RS01030']
TU2DNV-2123,"['HP_RS01035', 'HP_RS01045', 'HP_RS01040']"
TU2DNV-2124,"['HP_RS01060', 'HP_RS01055', 'HP_RS01050']"
TU2DNV-2125,['HP_RS01065']
TU2DNV-2126,['HP_RS01075']
TU2DNV-2127,"['HP_RS01085', 'HP_RS01080']"
TU2DNV-2128,['HP_RS01090']
TU2DNV-2129,['HP_RS01095']
TU2DNV-2130,['HP_RS01100']
TU2DNV-2131,['HP_RS01105']
TU2DNV-2132,['HP_RS01110']
TU2DNV-2133,['HP_RS01120']
TU2DNV-2134,['HP_RS01125']
TU2DNV-2135,['HP_RS01130']
TU2DNV-2136,"['HP_RS01150', 'HP_RS01145', 'HP_RS01140', 'HP_RS01135']"
TU2DNV-2137,['HP_RS01155']
TU2DNV-2138,"['HP_RS01195', 'HP_RS01190', 'HP_RS01185', 'HP_RS01180', 'HP_RS01175', 'HP_RS01170', 'HP_RS01165', 'HP_RS01160']"
TU2DNV-2139,"['HP_RS01210', 'HP_RS01205', 'HP_RS01200']"
TU2DNV-2140,"['HP_RS01225', 'HP_RS01220', 'HP_RS01215']"
TU2DNV-2141,"['HP_RS01235', 'HP_RS01230']"
TU2DNV-2142,['HP_RS01240']
TU2DNV-2143,"['HP_RS01250', 'HP_RS01245']"
TU2DNV-2144,"['HP_RS01275', 'HP_RS01270', 'HP_RS01265', 'HP_RS01260', 'HP_RS01255']"
TU2DNV-2145,"['HP_RS01285', 'HP_RS01280']"
TU2DNV-2146,['HP_RS01290']
TU2DNV-2147,['HP_RS01295']
TU2DNV-2148,['HP_RS01300']
TU2DNV-2149,"['HP_RS01315', 'HP_RS01310', 'HP_RS01305']"
TU2DNV-2150,"['HP_RS01360', 'HP_RS01355', 'HP_RS01350', 'HP_RS01345', 'HP_RS01340', 'HP_RS01335', 'HP_RS01330', 'HP_RS01325', 'HP_RS01320']"
TU2DNV-2151,"['HP_RS01380', 'HP_RS01375', 'HP_RS01370', 'HP_RS01365']"
TU2DNV-2152,"['HP_RS01420', 'HP_RS01415', 'HP_RS01410', 'HP_RS01405', 'HP_RS01400', 'HP_RS01395', 'HP_RS01390']"
TU2DNV-2153,['HP_RS01425']
TU2DNV-2154,"['HP_RS01445', 'HP_RS01440', 'HP_RS01435', 'HP_RS01430']"
TU2DNV-2155,['HP_RS01450']
TU2DNV-2156,"['HP_RS01465', 'HP_RS01460']"
TU2DNV-2157,"['HP_RS01495', 'HP_RS01490', 'HP_RS01485', 'HP_RS01480', 'HP_RS01475', 'HP_RS01470']"
TU2DNV-2158,['HP_RS01500']
TU2DNV-2159,"['HP_RS01520', 'HP_RS01515', 'HP_RS01510', 'HP_RS01505']"
TU2DNV-2160,"['HP_RS01530', 'HP_RS01525']"
TU2DNV-2161,"['HP_RS01540', 'HP_RS01535']"
TU2DNV-2162,['HP_RS01545']
TU2DNV-2163,"['HP_RS01555', 'HP_RS01550']"
TU2DNV-2164,['HP_RS01560']
TU2DNV-2165,['HP_RS01565']
TU2DNV-2166,"['HP_RS01575', 'HP_RS01570']"
TU2DNV-2167,"['HP_RS01585', 'HP_RS01580']"
TU2DNV-2168,"['G2DNV-42', 'HP_RS01610', 'HP_RS01605', 'HP_RS01600']"
TU2DNV-2169,"['HP_RS01620', 'HP_RS01615']"
TU2DNV-2170,['HP_RS01625']
TU2DNV-2171,"['HP_RS01650', 'HP_RS01645', 'HP_RS01640', 'HP_RS01635', 'HP_RS01630']"
TU2DNV-2172,['HP_RS01655']
TU2DNV-2173,"['HP_RS01675', 'HP_RS01670', 'HP_RS01665', 'HP_RS01660']"
TU2DNV-2174,"['HP_RS01690', 'HP_RS01685', 'HP_RS01680']"
TU2DNV-2175,['HP_RS01695']
TU2DNV-2176,"['HP_RS01710', 'HP_RS01705', 'HP_RS01700']"
TU2DNV-2177,['HP_RS01715']
TU2DNV-2178,"['HP_RS01745', 'HP_RS01740', 'HP_RS01735', 'HP_RS01730', 'HP_RS01725', 'HP_RS01720']"
TU2DNV-2179,"['HP_RS01755', 'HP_RS01750']"
TU2DNV-2180,"['HP_RS01765', 'HP_RS01760']"
TU2DNV-2181,"['HP_RS01790', 'HP_RS01785', 'HP_RS01780', 'HP_RS01775']"
TU2DNV-2182,"['HP_RS01805', 'HP_RS01800']"
TU2DNV-2183,['HP_RS01810']
TU2DNV-2184,['HP_RS01815']
TU2DNV-2185,"['HP_RS01825', 'HP_RS01820']"
TU2DNV-2186,['HP_RS01830']
TU2DNV-2187,['HP_RS01835']
TU2DNV-2188,"['HP_RS01845', 'HP_RS01840']"
TU2DNV-2189,['HP_RS01850']
TU2DNV-2190,"['HP_RS01865', 'HP_RS01860', 'HP_RS01855']"
TU2DNV-2191,['HP_RS01870']
TU2DNV-2192,"['HP_RS01880', 'HP_RS01875']"
TU2DNV-2193,"['HP_RS01905', 'HP_RS01900', 'HP_RS01895']"
