Modified_enzyme,Core_enzyme,Modifications,Source
CPLX2DNV-976_mod_zn2(1)_mod_mg2(2),CPLX2DNV-976,zn2(1) AND mg2(2),RNA_Polymerase
HP_RS03040-MONOMER_mod_mg2(1),HP_RS03040-MONOMER,mg2(1),Homology
HP_RS05090-MONOMER_mod_mg2(1),HP_RS05090-MONOMER,mg2(1),Homology
HP_RS07065-MONOMER_mod_4fe4s(1),HP_RS07065-MONOMER,4fe4s(1),Homology
HP_RS05010-MONOMER_mod_mn2(1),HP_RS05010-MONOMER,mn2(1),Homology
HP_RS02710-MONOMER_mod_mg2(3),HP_RS02710-MONOMER,mg2(3),Homology
HP_RS02060-MONOMER_mod_hco3(1),HP_RS02060-MONOMER,hco3(1),Homology
HP_RS06120-MONOMER_mod_zn2(4),HP_RS06120-MONOMER,zn2(4),Homology
HP_RS03795-MONOMER_mod_4fe4s(1),HP_RS03795-MONOMER,4fe4s(1),Homology
HP_RS03270-MONOMER_mod_fmnh2(1),HP_RS03270-MONOMER,fmnh2(1),Homology
HP_RS03270-MONOMER_mod_fadh2(1),HP_RS03270-MONOMER,fadh2(1),Homology
HP_RS05320-MONOMER_mod_mg2(1),HP_RS05320-MONOMER,mg2(1),Homology
HP_RS07300-MONOMER_mod_mg2(1),HP_RS07300-MONOMER,mg2(1),Homology
HP_RS03105-MONOMER_mod_fad(1),HP_RS03105-MONOMER,fad(1),Homology
HP_RS03025-MONOMER_mod_mg2(1),HP_RS03025-MONOMER,mg2(1),Homology
HP_RS06700-MONOMER_mod_4fe4s(1),HP_RS06700-MONOMER,4fe4s(1),Homology
HP_RS01770-MONOMER_mod_nad(1),HP_RS01770-MONOMER,nad(1),Homology
HP_RS05810-MONOMER_mod_4fe4s(1),HP_RS05810-MONOMER,4fe4s(1),Homology
HP_RS03610-MONOMER_mod_mg2(1)_mod_pi(1),HP_RS03610-MONOMER,mg2(1) AND pi(1),Homology
HP_RS03610-MONOMER_mod_mn2(1)_mod_pi(1),HP_RS03610-MONOMER,mn2(1) AND pi(1),Homology
HP_RS07620-MONOMER_mod_mg2(1),HP_RS07620-MONOMER,mg2(1),Homology
HP_RS03350-MONOMER_mod_mg2(1),HP_RS03350-MONOMER,mg2(1),Homology
HP_RS01080-MONOMER_mod_pydx5p(2),HP_RS01080-MONOMER,pydx5p(2),Homology
HP_RS00655-MONOMER_mod_4fe4s(1),HP_RS00655-MONOMER,4fe4s(1),Homology
HP_RS04195-MONOMER_mod_mg2(1),HP_RS04195-MONOMER,mg2(1),Homology
HP_RS04020-MONOMER_mod_Oxidized(1),HP_RS04020-MONOMER,Oxidized(1),Homology
HP_RS05790-MONOMER_mod_mn2(1),HP_RS05790-MONOMER,mn2(1),Homology
HP_RS01570-MONOMER_mod_mg2(1),HP_RS01570-MONOMER,mg2(1),Homology
HP_RS03420-MONOMER_mod_cd2(1)_mod_zn2(1)_mod_mg2(1)_mod_mn2(1)_mod_cobalt2(1),HP_RS03420-MONOMER,cd2(1) AND zn2(1) AND mg2(1) AND mn2(1) AND cobalt2(1),Homology
HP_RS05450-MONOMER_mod_thmpp(1),HP_RS05450-MONOMER,thmpp(1),Homology
HP_RS07270-MONOMER_mod_pydx5p(6),HP_RS07270-MONOMER,pydx5p(6),Homology
HP_RS07270-MONOMER_mod_pydx5p(1),HP_RS07270-MONOMER,pydx5p(1),Homology
HP_RS00150-MONOMER_mod_mn2(1),HP_RS00150-MONOMER,mn2(1),Homology
HP_RS00150-MONOMER_mod_mg2(1),HP_RS00150-MONOMER,mg2(1),Homology
HP_RS06575-MONOMER_mod_zn2(4),HP_RS06575-MONOMER,zn2(4),Homology
HP_RS01395-MONOMER_mod_cobalt2(1)_mod_nad(1),HP_RS01395-MONOMER,cobalt2(1) AND nad(1),Homology
HP_RS07000-MONOMER_mod_mg2(2),HP_RS07000-MONOMER,mg2(2),Homology
HP_RS00540-MONOMER_mod_pydx5p(1),HP_RS00540-MONOMER,pydx5p(1),Homology
HP_RS04535-MONOMER_mod_cobalt2(1),HP_RS04535-MONOMER,cobalt2(1),Homology
HP_RS03905-MONOMER_mod_mg2(1),HP_RS03905-MONOMER,mg2(1),Homology
HP_RS05850-MONOMER_mod_mg2(4),HP_RS05850-MONOMER,mg2(4),Homology
HP_RS01620-MONOMER_mod_mg2(1),HP_RS01620-MONOMER,mg2(1),Homology
HP_RS01620-MONOMER_mod_mn2(1),HP_RS01620-MONOMER,mn2(1),Homology
HP_RS00775-MONOMER_mod_mg2(1),HP_RS00775-MONOMER,mg2(1),Homology
HP_RS00775-MONOMER_mod_mn2(1),HP_RS00775-MONOMER,mn2(1),Homology
HP_RS00775-MONOMER_mod_cobalt2(1),HP_RS00775-MONOMER,cobalt2(1),Homology
HP_RS00775-MONOMER_mod_fe2(1),HP_RS00775-MONOMER,fe2(1),Homology
HP_RS00775-MONOMER_mod_ca2(1),HP_RS00775-MONOMER,ca2(1),Homology
HP_RS00775-MONOMER_mod_k(1),HP_RS00775-MONOMER,k(1),Homology
HP_RS00285-MONOMER_mod_fad(1),HP_RS00285-MONOMER,fad(1),Homology
HP_RS06720-MONOMER_mod_mg2(1),HP_RS06720-MONOMER,mg2(1),Homology
HP_RS00435-MONOMER_mod_fad(1),HP_RS00435-MONOMER,fad(1),Homology
HP_RS02065-MONOMER_mod_zn2(2),HP_RS02065-MONOMER,zn2(2),Homology
HP_RS03635-MONOMER_mod_mg2(1),HP_RS03635-MONOMER,mg2(1),Homology
HP_RS05665-MONOMER_mod_mg2(1),HP_RS05665-MONOMER,mg2(1),Homology
HP_RS07305-MONOMER_mod_mg2(1),HP_RS07305-MONOMER,mg2(1),Homology
HP_RS05160-MONOMER_mod_k(1)_mod_mg2(1),HP_RS05160-MONOMER,k(1) AND mg2(1),Homology
HP_RS04995-MONOMER_mod_mg2(1),HP_RS04995-MONOMER,mg2(1),Homology
HP_RS02860-MONOMER_mod_zn2(2),HP_RS02860-MONOMER,zn2(2),Homology
HP_RS00760-MONOMER_mod_mg2(4),HP_RS00760-MONOMER,mg2(4),Homology
HP_RS02525-MONOMER_mod_mn2(1),HP_RS02525-MONOMER,mn2(1),Homology
HP_RS06025-MONOMER_mod_mg2(1),HP_RS06025-MONOMER,mg2(1),Homology
HP_RS01510-MONOMER_mod_pydx5p(1),HP_RS01510-MONOMER,pydx5p(1),Homology
HP_RS01430-MONOMER_mod_pydx5p(1),HP_RS01430-MONOMER,pydx5p(1),Homology
HP_RS01085-MONOMER_mod_fe2(1),HP_RS01085-MONOMER,fe2(1),Homology
HP_RS01085-MONOMER_mod_fe2(2),HP_RS01085-MONOMER,fe2(2),Homology
HP_RS06945-MONOMER_mod_4fe4s(1)_mod_2fe2s(1),HP_RS06945-MONOMER,4fe4s(1) AND 2fe2s(1),Homology
HP_RS04775-MONOMER_mod_pydx5p(1),HP_RS04775-MONOMER,pydx5p(1),Homology
HP_RS04270-MONOMER_mod_hemed(6),HP_RS04270-MONOMER,hemed(6),Homology
HP_RS04115-MONOMER_mod_mg2(1),HP_RS04115-MONOMER,mg2(1),Homology
HP_RS03860-MONOMER_mod_fe2(1),HP_RS03860-MONOMER,fe2(1),Homology
HP_RS07770-MONOMER_mod_mg2(1),HP_RS07770-MONOMER,mg2(1),Homology
HP_RS03080-MONOMER_mod_mn2(1),HP_RS03080-MONOMER,mn2(1),Homology
HP_RS06840-MONOMER_mod_mg2(1),HP_RS06840-MONOMER,mg2(1),Homology
HP_RS04670-MONOMER_mod_fad(1),HP_RS04670-MONOMER,fad(1),Homology
HP_RS06080-MONOMER_mod_mg2(1),HP_RS06080-MONOMER,mg2(1),Homology
HP_RS01915-MONOMER_mod_fe3(1),HP_RS01915-MONOMER,fe3(1),Homology
HP_RS01735-MONOMER_mod_thmpp(1),HP_RS01735-MONOMER,thmpp(1),Homology
HP_RS03585-MONOMER_mod_mg2(1),HP_RS03585-MONOMER,mg2(1),Homology
HP_RS05605-MONOMER_mod_mg2(1)_mod_k(1),HP_RS05605-MONOMER,mg2(1) AND k(1),Homology
HP_RS01055-MONOMER_mod_mg2(1)_mod_k(1),HP_RS01055-MONOMER,mg2(1) AND k(1),Homology
HP_RS00960-MONOMER_mod_k(4)_mod_mg2(1),HP_RS00960-MONOMER,k(4) AND mg2(1),Homology
HP_RS00960-MONOMER_mod_k(4)_mod_mn2(1),HP_RS00960-MONOMER,k(4) AND mn2(1),Homology
HP_RS00960-MONOMER_mod_k(4)_mod_cobalt2(1),HP_RS00960-MONOMER,k(4) AND cobalt2(1),Homology
HP_RS00960-MONOMER_mod_k(4)_mod_zn2(1),HP_RS00960-MONOMER,k(4) AND zn2(1),Homology
HP_RS00960-MONOMER_mod_k(4)_mod_cd2(1),HP_RS00960-MONOMER,k(4) AND cd2(1),Homology
HP_RS00960-MONOMER_mod_k(4)_mod_ni2(1),HP_RS00960-MONOMER,k(4) AND ni2(1),Homology
HP_RS00960-MONOMER_mod_k(4)_mod_ca2(1),HP_RS00960-MONOMER,k(4) AND ca2(1),Homology
HP_RS00960-MONOMER_mod_nh4(4)_mod_mg2(1),HP_RS00960-MONOMER,nh4(4) AND mg2(1),Homology
HP_RS00960-MONOMER_mod_nh4(4)_mod_mn2(1),HP_RS00960-MONOMER,nh4(4) AND mn2(1),Homology
HP_RS00960-MONOMER_mod_nh4(4)_mod_cobalt2(1),HP_RS00960-MONOMER,nh4(4) AND cobalt2(1),Homology
HP_RS00960-MONOMER_mod_nh4(4)_mod_zn2(1),HP_RS00960-MONOMER,nh4(4) AND zn2(1),Homology
HP_RS00960-MONOMER_mod_nh4(4)_mod_cd2(1),HP_RS00960-MONOMER,nh4(4) AND cd2(1),Homology
HP_RS00960-MONOMER_mod_nh4(4)_mod_ni2(1),HP_RS00960-MONOMER,nh4(4) AND ni2(1),Homology
HP_RS00960-MONOMER_mod_nh4(4)_mod_ca2(1),HP_RS00960-MONOMER,nh4(4) AND ca2(1),Homology
HP_RS00960-MONOMER_mod_tl(4)_mod_mg2(1),HP_RS00960-MONOMER,tl(4) AND mg2(1),Homology
HP_RS00960-MONOMER_mod_tl(4)_mod_mn2(1),HP_RS00960-MONOMER,tl(4) AND mn2(1),Homology
HP_RS00960-MONOMER_mod_tl(4)_mod_cobalt2(1),HP_RS00960-MONOMER,tl(4) AND cobalt2(1),Homology
HP_RS00960-MONOMER_mod_tl(4)_mod_zn2(1),HP_RS00960-MONOMER,tl(4) AND zn2(1),Homology
HP_RS00960-MONOMER_mod_tl(4)_mod_cd2(1),HP_RS00960-MONOMER,tl(4) AND cd2(1),Homology
HP_RS00960-MONOMER_mod_tl(4)_mod_ni2(1),HP_RS00960-MONOMER,tl(4) AND ni2(1),Homology
HP_RS00960-MONOMER_mod_tl(4)_mod_ca2(1),HP_RS00960-MONOMER,tl(4) AND ca2(1),Homology
HP_RS00960-MONOMER_mod_cs(4)_mod_mg2(1),HP_RS00960-MONOMER,cs(4) AND mg2(1),Homology
HP_RS00960-MONOMER_mod_cs(4)_mod_mn2(1),HP_RS00960-MONOMER,cs(4) AND mn2(1),Homology
HP_RS00960-MONOMER_mod_cs(4)_mod_cobalt2(1),HP_RS00960-MONOMER,cs(4) AND cobalt2(1),Homology
HP_RS00960-MONOMER_mod_cs(4)_mod_zn2(1),HP_RS00960-MONOMER,cs(4) AND zn2(1),Homology
HP_RS00960-MONOMER_mod_cs(4)_mod_cd2(1),HP_RS00960-MONOMER,cs(4) AND cd2(1),Homology
HP_RS00960-MONOMER_mod_cs(4)_mod_ni2(1),HP_RS00960-MONOMER,cs(4) AND ni2(1),Homology
HP_RS00960-MONOMER_mod_cs(4)_mod_ca2(1),HP_RS00960-MONOMER,cs(4) AND ca2(1),Homology
HP_RS00960-MONOMER_mod_LI(4)_mod_mg2(1),HP_RS00960-MONOMER,LI(4) AND mg2(1),Homology
HP_RS00960-MONOMER_mod_LI(4)_mod_mn2(1),HP_RS00960-MONOMER,LI(4) AND mn2(1),Homology
HP_RS00960-MONOMER_mod_LI(4)_mod_cobalt2(1),HP_RS00960-MONOMER,LI(4) AND cobalt2(1),Homology
HP_RS00960-MONOMER_mod_LI(4)_mod_zn2(1),HP_RS00960-MONOMER,LI(4) AND zn2(1),Homology
HP_RS00960-MONOMER_mod_LI(4)_mod_cd2(1),HP_RS00960-MONOMER,LI(4) AND cd2(1),Homology
HP_RS00960-MONOMER_mod_LI(4)_mod_ni2(1),HP_RS00960-MONOMER,LI(4) AND ni2(1),Homology
HP_RS00960-MONOMER_mod_LI(4)_mod_ca2(1),HP_RS00960-MONOMER,LI(4) AND ca2(1),Homology
HP_RS00960-MONOMER_mod_na1(4)_mod_mg2(1),HP_RS00960-MONOMER,na1(4) AND mg2(1),Homology
HP_RS00960-MONOMER_mod_na1(4)_mod_mn2(1),HP_RS00960-MONOMER,na1(4) AND mn2(1),Homology
