complex_id,name,genes,mod,replace
CPLX_ACCOAC-0,Acetyl-CoA carboxylase,B488_RS04355(2) AND B488_RS06690(2) AND B488_RS05525(2) AND B488_RS04360(2),,
CPLX_ACOATA-0,Acetyl-CoA ACP transacylase,B488_RS04905() AND B488_RS01805(),,
CPLX_AIRCr-0,Phosphoribosylaminoimidazole carboxylase,B488_RS04135() AND B488_RS04130(),,
CPLX_AKGDH-0,2-Oxogluterate dehydrogenase,B488_RS03585(12) AND B488_RS03575(2) AND B488_RS03580(24),,
CPLX_ANS-0,Anthranilate synthase,B488_RS06375(2) AND B488_RS06385(2),,
CPLX_ARGabcpp-0,L-arginine transport via ABC system (periplasm),B488_RS02975() AND B488_RS02955(),,
CPLX_ARGabcpp-1,L-arginine transport via ABC system (periplasm),B488_RS05120() AND B488_RS02975(),,
CPLX_ARGabcpp-2,L-arginine transport via ABC system (periplasm),B488_RS02980() AND B488_RS02975() AND B488_RS02955(),,
CPLX_ARGabcpp-3,L-arginine transport via ABC system (periplasm),B488_RS04240() AND B488_RS04235(),,
CPLX_ASPabcpp-0,L-aspartate transport via ABC system (periplasm),B488_RS04235() AND B488_RS04230() AND B488_RS04225() AND B488_RS04225(),,
CPLX_ASPabcpp-1,L-aspartate transport via ABC system (periplasm),B488_RS02975() AND B488_RS02945(),,
CPLX_ATPS4rpp-0,ATP synthase (four protons for one ATP) (periplasm),B488_RS05735() AND B488_RS05720() AND B488_RS03550() AND B488_RS05730() AND B488_RS05740(),,
CPLX_CHLabcpp-0,Choline transport via ABC system (periplasm),B488_RS05250() AND B488_RS01615(),,
CPLX_CHORS-0,Chorismate synthase,B488_RS00830(2) AND B488_RS00655(2),,
CPLX_CRNabcpp-0,L-carnitine transport via ABC system (periplasm),B488_RS05245() AND B488_RS05120() AND B488_RS05250(),,
CPLX_CS-0,Citrate synthase,B488_RS05590() AND B488_RS05250(),,
CPLX_CYO1b-0,CYO1b,B488_RS00400() AND B488_RS00395(),,
CPLX_CYSS-0,Cysteine synthase,B488_RS02875() AND B488_RS01480(),,
CPLX_CYSTL-0,Cystathionine b-lyase,B488_RS05620() AND B488_RS00315(),,
CPLX_DHDPRy-0,Dihydrodipicolinate reductase (NADPH),B488_RS00720(1) AND B488_RS00725(1),,
CPLX_DHQS-0,3-dehydroquinate synthase,B488_RS02770() AND B488_RS02935() AND B488_RS06655() AND B488_RS01390(),,
CPLX_EAR100y-0,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C10:0),B488_RS01490() AND B488_RS00520(),,
CPLX_EAR120y-0,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:0),B488_RS00470(1) AND B488_RS04990(1) AND B488_RS04995(1) AND B488_RS04980(1) AND B488_RS04985(1),,
CPLX_EAR121y-0,Enoyl-[acyl-carrier-protein] reductase (NADPH) (n-C12:1),B488_RS04985() AND B488_RS04995() AND B488_RS04980(),,
CPLX_ETHSO3abcpp-0,Ethanesulfonate transport via ABC system (periplasm),B488_RS05590() AND B488_RS05125() AND B488_RS02915(),,
CPLX_FDH-0,Formate dehydrogenase,B488_RS01315() AND B488_RS01310() AND B488_RS01305(),,
CPLX_GALUi-0,UTP-glucose-1-phosphate uridylyltransferase (irreversible),B488_RS06360(2) AND B488_RS06365(2),,
CPLX_GLNTRAT-0,Glutamyl-tRNA(Gln) amidotransferase,B488_RS04705() AND B488_RS04710(),,
CPLX_GLYCTO1-0,Glycolate oxidase,B488_RS00300() AND B488_RS03615(),,
CPLX_GLYabcpp-0,Glycine transport via ABC system,B488_RS04235() AND B488_RS02945(),,
CPLX_GLYabcpp-1,Glycine transport via ABC system,B488_RS04225() AND B488_RS04230() AND B488_RS01375(),,
CPLX_HISabcpp-0,L-histidine transport via ABC system (periplasm),B488_RS04235() AND B488_RS05125() AND B488_RS04230(),,
CPLX_HXAtex-0,Hexanoate transport via diffusion (extracellular to periplasm),B488_RS04785() AND B488_RS06515() AND B488_RS04830() AND B488_RS06270(),,
CPLX_ICITtex-0,Citrate transport via diffusion extracellular to periplasm ,B488_RS00585() AND B488_RS02555(),,
CPLX_LYSabcpp-0,L-lysine transport via ABC system (periplasm),B488_RS03565() AND B488_RS06850(),,
CPLX_METabcpp-0,L-methionine transport via ABC system (periplasm),B488_RS05130() AND B488_RS05125() AND B488_RS05120(2),,
CPLX_NADH16pp-0,NADH dehydrogenase (ubiquinone-8 & 3 protons) (periplasm),B488_RS01285() AND B488_RS01290() AND B488_RS01295() AND B488_RS01300() AND B488_RS01305() AND B488_RS01310() AND B488_RS01315() AND B488_RS01320() AND B488_RS01325() AND B488_RS01330() AND B488_RS01335() AND B488_02680() AND B488_RS01345() AND B488_RS01350(),,
CPLX_PDX5PS-0,Pyridoxine 5'-phosphate synthase,B488_RS00685() AND B488_RS01180(),,
CPLX_SUCD1-0,Succinate dehydrogenase,B488_RS03620() AND B488_RS03615() AND B488_RS03625(),,
CPLX_3PEPTabcpp-0,Tripeptide (LalaDgluMdap) transport via ABC system (periplasm),B488_RS01625(1) AND B488_RS01620(1) AND B488_RS01615(2) AND B488_RS01630(1),,
CPLX_3PEPTabcpp-1,Tripeptide (LalaDgluMdap) transport via ABC system (periplasm),B488_RS05590() AND B488_RS04240(),,
CPLX_4PEPTabcpp-0,Tetrapeptide (LalaDgluMdapDala) transport via ABC system (periplasm),B488_RS05120() AND B488_RS04240(),,
CPLX_ACOLIPAabctex-0,Arabinose modified core oligosaccharide lipid A transport via ABC system (periplasm to extracellular),B488_RS01195() AND B488_RS01200() AND B488_RS03350() AND B488_RS06325() AND B488_RS06330() AND B488_RS01190() AND B488_RS05670(),,
CPLX_ADCS-0,4-amino-4-deoxychorismate synthase,B488_RS02835() AND B488_10810(),,
CPLX_ALAALAabcpp-0,D-alanyl-D-alanine (DalaDala) transport via ABC system (periplasm),B488_RS01625() AND B488_RS05120(),,
CPLX_ALAabcpp-0,L-alanine transport via ABC system (periplasm),B488_RS04980() AND B488_RS04990() AND B488_RS04985() AND B488_RS00470(),,
CPLX_ALAabcpp-1,L-alanine transport via ABC system (periplasm),B488_RS02605() AND B488_RS04995(),,
CPLX_ASCBptspp-0,L-ascorbate transport via PEP:Pyr PTS (periplasm),B488_RS06655() AND B488_RS01390() AND B488_RS02935(),,
