Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
ALW85_RS04595	ALW85_RS04595	958232	959398	ALW85_RS04595-MONOMER
ALW85_RS06015	ALW85_RS06015	1258686	1258761	ALW85_RS06015-tRNA
ALW85_RS04600	ALW85_RS04600	959532	961472	ALW85_RS04600-MONOMER
ALW85_RS04605	ALW85_RS04605	961684	963855	ALW85_RS04605-MONOMER
ALW85_RS08390	ALW85_RS08390	1733058	1733903	ALW85_RS08390-MONOMER
ALW85_RS00310	ALW85_RS00310	71083	73968	ALW85_RS00310-rRNA
ALW85_RS10655	ALW85_RS10655	2220094	2224167	ALW85_RS10655-MONOMER
ALW85_RS04610	ALW85_RS04610	963855	965201	ALW85_RS04610-MONOMER
ALW85_RS04615	ALW85_RS04615	965254	966264	ALW85_RS04615-MONOMER
ALW85_RS10660	ALW85_RS10660	2224503	2224877	ALW85_RS10660-MONOMER
ALW85_RS04620	ALW85_RS04620	966331	967104	ALW85_RS04620-MONOMER
ALW85_RS04625	ALW85_RS04625	967127	967618	ALW85_RS04625-MONOMER
ALW85_RS08395	ALW85_RS08395	1733884	1735575	ALW85_RS08395-MONOMER
ALW85_RS10665	ALW85_RS10665	2224948	2225463	ALW85_RS10665-MONOMER
ALW85_RS04630	ALW85_RS04630	967814	968191	ALW85_RS04630-MONOMER
ALW85_RS04635	ALW85_RS04635	968320	968658	ALW85_RS04635-MONOMER
ALW85_RS10670	ALW85_RS10670	2225768	2226460	ALW85_RS10670-MONOMER
ALW85_RS04640	ALW85_RS04640	968661	969668	ALW85_RS04640-MONOMER
ALW85_RS04645	ALW85_RS04645	969733	970038	ALW85_RS04645-MONOMER
ALW85_RS08400	ALW85_RS08400	1735575	1736759	ALW85_RS08400-MONOMER
ALW85_RS10675	ALW85_RS10675	2226462	2226893	ALW85_RS10675-MONOMER
ALW85_RS04650	ALW85_RS04650	970118	970321	ALW85_RS04650-MONOMER
ALW85_RS04660	ALW85_RS04660	970704	972029	ALW85_RS04660-MONOMER
ALW85_RS04665	ALW85_RS04665	972078	972377	ALW85_RS04665-MONOMER
ALW85_RS04670	ALW85_RS04670	972374	973360	ALW85_RS04670-MONOMER
ALW85_RS08405	ALW85_RS08405	1736778	1737215	ALW85_RS08405-MONOMER
ALW85_RS04675	ALW85_RS04675	973599	974033	ALW85_RS04675-MONOMER
ALW85_RS10680	ALW85_RS10680	2227018	2227551	ALW85_RS10680-MONOMER
ALW85_RS04680	ALW85_RS04680	974278	974487	ALW85_RS04680-MONOMER
ALW85_RS04690	ALW85_RS04690	974697	975419	ALW85_RS04690-MONOMER
ALW85_RS04695	ALW85_RS04695	976038	976595	ALW85_RS04695-MONOMER
ALW85_RS04700	ALW85_RS04700	976669	977811	ALW85_RS04700-MONOMER
ALW85_RS10685	ALW85_RS10685	2227570	2227914	ALW85_RS10685-MONOMER
ALW85_RS04705	ALW85_RS04705	977894	978886	ALW85_RS04705-MONOMER
ALW85_RS04710	ALW85_RS04710	978889	979326	ALW85_RS04710-MONOMER
ALW85_RS04715	ALW85_RS04715	979354	982770	ALW85_RS04715-MONOMER
ALW85_RS08415	ALW85_RS08415	1737613	1738440	ALW85_RS08415-MONOMER
