	cobrame/ecolime fluxes	coralme fluxes
transcription_TU0_13350_from_RpoD_mono	0.0	0.0
transcription_TU0_7622_from_RpoD_mono	0.0	0.0
transcription_TU00158_from_RpoD_mono	0.0	0.0
transcription_TU0_1002_from_RpoD_mono	0.0	0.0
transcription_TU0_4702_with_TERM0223_from_RpoD_mono	0.0	0.0
transcription_TU0_4702_with_TERM0222_from_RpoD_mono	0.0	0.0
transcription_TU0_3421_from_RPOE_MONOMER	0.0	0.0
transcription_TU0_14474_from_RPOH_MONOMER	0.0	0.0
transcription_TU0_12820_from_RpoD_mono	0.0	0.0
transcription_TU0_14822_from_RpoD_mono	0.0	0.0
transcription_TU0_14253_with_TERM0_1039_from_RpoD_mono	0.0	0.0
transcription_TU0_8529_from_RpoD_mono	1.1525536067837666e-11	1.1039167015692324e-11
transcription_TU423_with_TERM141_from_RpoD_mono	0.0	0.0
transcription_TU0_14574_with_TERM0_1066_from_RpoD_mono	0.0	0.0
transcription_TU0_14121_from_RpoD_mono	0.0	0.0
transcription_TU00497_from_RpoD_mono	0.0	0.0
transcription_TU0_13075_from_RpoD_mono	0.0	0.0
transcription_TU0_8464_from_RpoD_mono	2.321489911893737e-06	2.268118614987368e-06
transcription_TU00088_from_RpoD_mono	0.0	0.0
transcription_TU0_13006_from_RpoD_mono	3.299370735726746e-14	0.0
transcription_TU0_4703_with_TERM0223_from_RpoD_mono	0.0	0.0
transcription_TU0_4703_with_TERM0222_from_RpoD_mono	0.0	0.0
transcription_TU0_12942_from_RpoD_mono	0.0	0.0
transcription_TU0_6514_from_RpoD_mono	0.0	0.0
transcription_TU0_13538_from_RpoD_mono	0.0	0.0
transcription_TU0_13300_from_RpoD_mono	0.0	0.0
transcription_TU00159_with_TERM64_from_RpoD_mono	0.0	0.0
transcription_TU0_5003_from_RpoD_mono	0.0	0.0
transcription_TU0_5003_from_RPOH_MONOMER	2.77389357790709e-10	2.615533250795244e-10
transcription_TU00368_from_RpoD_mono	0.0	0.0
transcription_TU0_13996_from_RpoD_mono	0.0	0.0
transcription_TU0_1003_from_RPON_MONOMER	0.0	0.0
transcription_TU0_4742_from_RpoD_mono	0.0	0.0
transcription_TU0_12821_from_RpoD_mono	0.0	0.0
transcription_TU0_3423_from_RPOE_MONOMER	3.50741429658048e-08	3.3632494690566055e-08
transcription_TU00498_from_RpoD_mono	0.0	0.0
transcription_TU00243_with_TERM70_from_RpoD_mono	0.0	0.0
transcription_TU0_8343_from_RpoD_mono	0.0	0.0
transcription_TU0_5021_from_RpoD_mono	0.0	0.0
transcription_TU0_14254_with_AROH_TERMINATOR_from_RpoD_mono	0.0	0.0
transcription_TU0_14496_from_RpoD_mono	0.0	0.0
transcription_TU355_from_RpoD_mono	0.0	0.0
transcription_TU0_8469_from_RPOS_MONOMER	0.0	0.0
transcription_TU00160_with_TERM66_from_RpoD_mono	0.0	0.0
transcription_TU00429_from_RpoD_mono	1.7254749434667322e-08	1.6711291695644224e-08
transcription_TU0_14052_from_RpoD_mono	0.0	0.0
transcription_TU00293_from_RpoD_mono	9.019122587204905e-11	8.744081421605489e-11
transcription_TU00023_with_TERM69_from_RpoD_mono	0.0	0.0
transcription_TU0_3424_from_RPOE_MONOMER	6.586791824559761e-08	6.386647782150534e-08
transcription_TU0_13783_from_RpoD_mono	0.0	0.0
transcription_TU0_12809_with_TERM0_1064_from_RpoD_mono	0.0	0.0
