	cobrame/ecolime fluxes	coralme fluxes
biomass_dilution	0.8332967758178711	0.8186724185943604
protein_biomass_to_biomass	0.329497431442728	0.3243732815848867
mRNA_biomass_to_biomass	0.0027581719567489	0.0026825051785298
tRNA_biomass_to_biomass	0.0167452482993689	0.0162861425748317
rRNA_biomass_to_biomass	0.1196234404130918	0.116342311734413
ncRNA_biomass_to_biomass	0.0001883305971802	0.0001913780260209
DNA_biomass_to_biomass	0.0235538678165524	0.0234856035664739
lipid_biomass_to_biomass	0.1117833326333696	0.1098213407189368
constituent_biomass_to_biomass	0.0213074147561031	0.0209334696576153
prosthetic_group_biomass_to_biomass	0.0005823846364804	0.0005661721338882
peptidoglycan_biomass_to_biomass	0.0219148480797128	0.0215302425272647
DM_4CRSOL	2.7578983896738797e-05	2.5900136974389804e-05
DM_5DRIB	0.0001024666579067	9.891029525535834e-05
DM_AACALD	0.0	0.0
DM_AMOB	5.446176962147155e-07	5.256690291508122e-07
DM_MTHTHF	0.0040562069125462	0.0039449163249154
DM_OXAM	0.0	0.0
EX_12ppd__R_e	0.0	0.0
EX_12ppd__S_e	0.0	0.0
EX_14glucan_e	0.0	0.0
EX_15dap_e	0.0	0.0
EX_23camp_e	0.0	0.0
EX_23ccmp_e	0.0	0.0
EX_23cgmp_e	0.0	0.0
EX_23cump_e	0.0	0.0
EX_23dappa_e	0.0	0.0
EX_26dap__M_e	0.0	0.0
EX_2ddglcn_e	0.0	0.0
EX_34dhpac_e	0.0	0.0
EX_3amp_e	0.0	0.0
EX_3cmp_e	0.0	0.0
EX_3gmp_e	0.0	0.0
EX_3hcinnm_e	0.0	0.0
EX_3hpp_e	0.0	0.0
EX_3hpppn_e	0.0	0.0
EX_3ump_e	0.0	0.0
EX_4abut_e	0.0	0.0
EX_4hoxpacd_e	0.0	0.0
EX_5dglcn_e	0.0	0.0
EX_5mtr_e	0.0001772852329622	0.0001724866535701
EX_LalaDglu_e	0.0	0.0
EX_LalaDgluMdap_e	0.0	0.0
EX_LalaDgluMdapDala_e	0.0	0.0
EX_LalaLglu_e	0.0	0.0
EX_ac_e	0.4772981331207668	0.4699219124871723
EX_acac_e	0.0	0.0
EX_acald_e	0.0	0.0
EX_acgal_e	0.0	0.0
EX_acgal1p_e	0.0	0.0
EX_acgam_e	0.0	0.0
EX_acgam1p_e	0.0	0.0
EX_acmana_e	0.0	0.0
EX_acmum_e	0.0	0.0
EX_acnam_e	0.0	0.0
EX_acolipa_e	0.0	0.0
EX_acser_e	0.0	0.0
EX_ade_e	0.0	0.0
EX_adn_e	0.0	0.0
EX_adocbl_e	0.0	0.0
EX_ag_e	0.0	0.0
EX_agm_e	0.0	0.0
EX_akg_e	0.0	0.0
EX_ala__B_e	0.0	0.0
EX_ala__D_e	0.0	0.0
EX_ala__L_e	0.0	0.0
EX_alaala_e	0.0	0.0
EX_all__D_e	0.0	0.0
EX_alltn_e	0.0	0.0
EX_amp_e	0.0	0.0
EX_anhgm_e	0.0	0.0
EX_arab__L_e	0.0	0.0
EX_arbt_e	0.0	0.0
EX_arbtn_e	0.0	0.0
EX_arbtn__fe3_e	0.0	0.0
EX_arg__L_e	0.0	0.0
EX_ascb__L_e	0.0	0.0
EX_asn__L_e	0.0	0.0
EX_aso3_e	0.0	0.0
EX_asp__L_e	0.0	0.0
EX_btn_e	0.0	0.0
EX_but_e	0.0	0.0
EX_butso3_e	0.0	0.0
EX_ca2_e	0.0	0.0
EX_cbi_e	0.0	0.0
EX_cbl1_e	0.0	0.0
EX_cd2_e	0.0	0.0
EX_cgly_e	0.0	0.0
EX_chol_e	0.0	0.0
EX_chtbs_e	0.0	0.0
EX_cit_e	0.0	0.0
EX_cl_e	0.0	0.0
EX_cm_e	0.0	0.0
EX_cmp_e	0.0	0.0
EX_co2_e	18.7074308357352	18.582792123715883
EX_cobalt2_e	-0.0001074997864464	-0.0001038604152153
EX_colipa_e	0.0	0.0
EX_colipap_e	0.0	0.0
EX_cpgn_e	0.0	0.0
EX_cpgn__un_e	0.0	0.0
EX_crn_e	0.0	0.0
EX_crn__D_e	0.0	0.0
EX_csn_e	0.0	0.0
EX_cu_e	0.0	0.0
EX_cu2_e	-2.581877135526391e-06	-2.520804569095356e-06
EX_cyan_e	0.0	0.0
EX_cynt_e	0.0	0.0
EX_cys__D_e	0.0	0.0
EX_cys__L_e	0.0	0.0
EX_cytd_e	0.0	0.0
EX_dad__2_e	0.0	0.0
EX_damp_e	0.0	0.0
EX_dca_e	0.0	0.0
EX_dcmp_e	0.0	0.0
EX_dcyt_e	0.0	0.0
EX_ddca_e	0.0	0.0
EX_dgmp_e	0.0	0.0
EX_dgsn_e	0.0	0.0
EX_dha_e	0.0	0.0
EX_dimp_e	0.0	0.0
EX_din_e	0.0	0.0
EX_dms_e	0.0	0.0
EX_dmso_e	0.0	0.0
EX_dopa_e	0.0	0.0
EX_doxrbcn_e	0.0	0.0
EX_dtmp_e	0.0	0.0
EX_dump_e	0.0	0.0
EX_duri_e	0.0	0.0
EX_eca4colipa_e	0.0	0.0
EX_enlipa_e	0.0	0.0
EX_enter_e	0.0	0.0
EX_etha_e	0.0	0.0
EX_ethso3_e	0.0	0.0
EX_etoh_e	0.0	0.0
EX_f6p_e	0.0	0.0
EX_fald_e	0.0	0.0
EX_fe2_e	-0.0005537101170448	-0.0005426010182195
EX_fe3_e	0.0	0.0
EX_fe3dcit_e	0.0	0.0
EX_fe3dhbzs_e	0.0	0.0
EX_fe3hox_e	0.0	0.0
EX_fe3hox__un_e	0.0	0.0
EX_fecrm_e	0.0	0.0
EX_fecrm__un_e	0.0	0.0
EX_feenter_e	0.0	0.0
EX_feoxam_e	0.0	0.0
EX_feoxam__un_e	0.0	0.0
EX_for_e	0.0	0.0
EX_fru_e	0.0	0.0
EX_frulys_e	0.0	0.0
EX_fruur_e	0.0	0.0
EX_fuc__L_e	0.0	0.0
EX_fum_e	0.0	0.0
EX_fusa_e	0.0	0.0
EX_g1p_e	0.0	0.0
EX_g3pc_e	0.0	0.0
EX_g3pe_e	0.0	0.0
EX_g3pg_e	0.0	0.0
EX_g3pi_e	0.0	0.0
EX_g3ps_e	0.0	0.0
EX_g6p_e	0.0	0.0
EX_gal_e	0.0	0.0
EX_gal__bD_e	0.0	0.0
EX_gal1p_e	0.0	0.0
EX_galct__D_e	0.0	0.0
EX_galctn__D_e	0.0	0.0
EX_galctn__L_e	0.0	0.0
EX_galt_e	0.0	0.0
EX_galur_e	0.0	0.0
EX_gam_e	0.0	0.0
EX_gam6p_e	0.0	0.0
EX_gbbtn_e	0.0	0.0
EX_gdp_e	0.0	0.0
EX_glc__D_e	-9.380408473139925	-9.252004416665272
EX_glcn_e	0.0	0.0
EX_glcr_e	0.0	0.0
EX_glcur_e	0.0	0.0
EX_glcur1p_e	0.0	0.0
EX_gln__L_e	0.0	0.0
EX_glu__L_e	0.0	0.0
EX_gly_e	0.0	0.0
EX_glyald_e	0.0	0.0
EX_glyb_e	0.0	0.0
EX_glyc_e	0.0	0.0
EX_glyc__R_e	0.0	0.0
EX_glyc2p_e	0.0	0.0
EX_glyc3p_e	0.0	0.0
EX_glyclt_e	0.0	0.0
EX_gmp_e	0.0	0.0
EX_gsn_e	0.0	0.0
EX_gthox_e	0.0	0.0
EX_gthrd_e	0.0	0.0
EX_gtp_e	0.0	0.0
EX_gua_e	0.0	0.0
EX_h_e	8.298908464404196	8.15295570951534
EX_h2_e	0.0	0.0
EX_h2o_e	41.45928563350562	40.9233502245697
EX_h2o2_e	0.0	0.0
EX_h2s_e	0.0	0.0
EX_hacolipa_e	0.0	0.0
EX_halipa_e	0.0	0.0
EX_hdca_e	0.0	0.0
EX_hdcea_e	0.0	0.0
EX_hg2_e	0.0	0.0
EX_his__L_e	0.0	0.0
EX_hom__L_e	0.0	0.0
EX_hxa_e	0.0	0.0
EX_hxan_e	0.0	0.0
EX_idon__L_e	0.0	0.0
EX_ile__L_e	0.0	0.0
EX_imp_e	0.0	0.0
EX_indole_e	0.0	0.0
EX_inost_e	0.0	0.0
EX_ins_e	0.0	0.0
EX_isetac_e	0.0	0.0
EX_k_e	-4.347737947538313e-05	-4.1930614238002976e-05
EX_kdo2lipid4_e	0.0	0.0
EX_lac__D_e	0.0	0.0
EX_lac__L_e	0.0	0.0
EX_lcts_e	0.0	0.0
EX_leu__L_e	0.0	0.0
EX_lipa_e	0.0	0.0
EX_lipa_cold_e	0.0	0.0
EX_lipoate_e	0.0	0.0
EX_lys__L_e	0.0	0.0
EX_lyx__L_e	0.0	0.0
EX_mal__D_e	0.0	0.0
EX_mal__L_e	0.0	0.0
EX_malt_e	0.0	0.0
EX_malthx_e	0.0	0.0
EX_maltpt_e	0.0	0.0
EX_malttr_e	0.0	0.0
EX_maltttr_e	0.0	0.0
EX_man_e	0.0	0.0
EX_man6p_e	0.0	0.0
EX_manglyc_e	0.0	0.0
EX_melib_e	0.0	0.0
EX_meoh_e	5.446196356513408e-07	5.256708682565194e-07
EX_met__D_e	0.0	0.0
EX_met__L_e	0.0	0.0
EX_metsox__R__L_e	0.0	0.0
EX_metsox__S__L_e	0.0	0.0
