reaction	lb	ub
EX_ca2_e	-1000.0	1000.0
EX_cl_e	-1000.0	1000.0
EX_co2_e	-1000.0	1000.0
EX_cobalt2_e	-1000.0	1000.0
EX_cu2_e	-1000.0	1000.0
EX_fe2_e	-1000.0	1000.0
EX_fe3_e	-1000.0	1000.0
EX_glc__D_e	-1000.0	1000.0
EX_h_e	-1000.0	1000.0
EX_h2o_e	-1000.0	1000.0
EX_k_e	-1000.0	1000.0
EX_mg2_e	-1000.0	1000.0
EX_mn2_e	-1000.0	1000.0
EX_mobd_e	-1000.0	1000.0
EX_na1_e	-1000.0	1000.0
EX_nh4_e	-1000.0	1000.0
EX_ni2_e	-1000.0	1000.0
EX_o2_e	-1000.0	1000.0
EX_pi_e	-1000.0	1000.0
EX_sel_e	-1000.0	1000.0
EX_slnt_e	-1000.0	1000.0
EX_so4_e	-1000.0	1000.0
EX_tungs_e	-1000.0	1000.0
EX_zn2_e	-1000.0	1000.0
EX_LI_c	-1000.0	1000.0
EX_cs_e	-1000.0	1000.0
EX_tl_c	-1000.0	1000.0
EX_RNase_m5	-1000.0	1000.0
EX_RNase_m16	-1000.0	1000.0
EX_RNase_m23	-1000.0	1000.0
EX_pqq_e	0.0	0.0
EX_12ppd__R_e	0.0	1000.0
EX_12ppd__S_e	0.0	1000.0
EX_14glucan_e	0.0	1000.0
EX_15dap_e	0.0	1000.0
EX_23camp_e	0.0	1000.0
EX_23ccmp_e	0.0	1000.0
EX_23cgmp_e	0.0	1000.0
EX_23cump_e	0.0	1000.0
EX_23dappa_e	0.0	1000.0
EX_26dap__M_e	0.0	1000.0
EX_2ddglcn_e	0.0	1000.0
EX_34dhpac_e	0.0	1000.0
EX_3amp_e	0.0	1000.0
EX_3cmp_e	0.0	1000.0
EX_3gmp_e	0.0	1000.0
EX_3hcinnm_e	0.0	1000.0
EX_3hpp_e	0.0	1000.0
EX_3hpppn_e	0.0	1000.0
EX_3ump_e	0.0	1000.0
EX_4abut_e	0.0	1000.0
EX_4hoxpacd_e	0.0	1000.0
EX_5dglcn_e	0.0	1000.0
EX_5mtr_e	0.0	1000.0
EX_LalaDglu_e	0.0	1000.0
EX_LalaDgluMdap_e	0.0	1000.0
EX_LalaDgluMdapDala_e	0.0	1000.0
EX_LalaLglu_e	0.0	1000.0
EX_ac_e	0.0	1000.0
EX_acac_e	0.0	1000.0
EX_acald_e	0.0	1000.0
EX_acgal_e	0.0	1000.0
EX_acgal1p_e	0.0	1000.0
EX_acgam_e	0.0	1000.0
EX_acgam1p_e	0.0	1000.0
EX_acmana_e	0.0	1000.0
EX_acmum_e	0.0	1000.0
EX_acnam_e	0.0	1000.0
EX_acolipa_e	0.0	1000.0
EX_acser_e	0.0	1000.0
EX_ade_e	0.0	1000.0
EX_adn_e	0.0	1000.0
EX_adocbl_e	0.0	1000.0
EX_ag_e	0.0	1000.0
EX_agm_e	0.0	1000.0
EX_akg_e	0.0	1000.0
EX_ala__B_e	0.0	1000.0
EX_ala__D_e	0.0	1000.0
EX_ala__L_e	0.0	1000.0
EX_alaala_e	0.0	1000.0
EX_all__D_e	0.0	1000.0
EX_alltn_e	0.0	1000.0
EX_amp_e	0.0	1000.0
EX_anhgm_e	0.0	1000.0
EX_arab__L_e	0.0	1000.0
EX_arbt_e	0.0	1000.0
EX_arbtn_e	0.0	1000.0
EX_arbtn__fe3_e	0.0	1000.0
EX_arg__L_e	0.0	1000.0
EX_ascb__L_e	0.0	1000.0
EX_asn__L_e	0.0	1000.0
EX_aso3_e	0.0	1000.0
EX_asp__L_e	0.0	1000.0
EX_btn_e	0.0	1000.0
EX_but_e	0.0	1000.0
EX_butso3_e	0.0	1000.0
EX_cbi_e	0.0	1000.0
EX_cbl1_e	0.0	1000.0
EX_cd2_e	0.0	1000.0
EX_cgly_e	0.0	1000.0
EX_chol_e	0.0	1000.0
EX_chtbs_e	0.0	1000.0
EX_cit_e	0.0	1000.0
EX_cm_e	0.0	1000.0
EX_cmp_e	0.0	1000.0
EX_colipa_e	0.0	1000.0
EX_colipap_e	0.0	1000.0
EX_cpgn_e	0.0	1000.0
EX_cpgn__un_e	0.0	1000.0
EX_crn_e	0.0	1000.0
EX_crn__D_e	0.0	1000.0
EX_csn_e	0.0	1000.0
EX_cu_e	0.0	1000.0
EX_cyan_e	0.0	1000.0
EX_cynt_e	0.0	1000.0
EX_cys__D_e	0.0	1000.0
EX_cys__L_e	0.0	1000.0
EX_cytd_e	0.0	1000.0
EX_dad__2_e	0.0	1000.0
EX_damp_e	0.0	1000.0
EX_dca_e	0.0	1000.0
EX_dcmp_e	0.0	1000.0
EX_dcyt_e	0.0	1000.0
EX_ddca_e	0.0	1000.0
EX_dgmp_e	0.0	1000.0
EX_dgsn_e	0.0	1000.0
EX_dha_e	0.0	1000.0
EX_dimp_e	0.0	1000.0
EX_din_e	0.0	1000.0
EX_dms_e	0.0	1000.0
EX_dmso_e	0.0	1000.0
EX_dopa_e	0.0	1000.0
EX_doxrbcn_e	0.0	1000.0
EX_dtmp_e	0.0	1000.0
EX_dump_e	0.0	1000.0
EX_duri_e	0.0	1000.0
EX_eca4colipa_e	0.0	1000.0
EX_enlipa_e	0.0	1000.0
EX_enter_e	0.0	1000.0
EX_etha_e	0.0	1000.0
EX_ethso3_e	0.0	1000.0
EX_etoh_e	0.0	1000.0
EX_f6p_e	0.0	1000.0
EX_fald_e	0.0	1000.0
EX_fe3dcit_e	0.0	1000.0
EX_fe3dhbzs_e	0.0	1000.0
EX_fe3hox_e	0.0	1000.0
EX_fe3hox__un_e	0.0	1000.0
EX_fecrm_e	0.0	1000.0
EX_fecrm__un_e	0.0	1000.0
EX_feenter_e	0.0	1000.0
EX_feoxam_e	0.0	1000.0
EX_feoxam__un_e	0.0	1000.0
EX_for_e	0.0	1000.0
EX_fru_e	0.0	1000.0
EX_frulys_e	0.0	1000.0
EX_fruur_e	0.0	1000.0
EX_fuc__L_e	0.0	1000.0
EX_fum_e	0.0	1000.0
EX_fusa_e	0.0	1000.0
