TU_id	start	stop	tss	strand	rho_dependent	rnapol	replicon	genes
TU0_7622_from_RpoD_mono	542485	545635	545635.0	-	True	RpoD_mono	NC_000913.2	b0516,b0517
TU00158_from_RpoD_mono	1165215	1166612	1165215.0	+	True	RpoD_mono	NC_000913.2	b1109
TU0_1002_from_RpoD_mono	1823979	1830037	1830037.0	-	True	RpoD_mono	NC_000913.2	b1748,b1745,b1746,b1747
TU0_4702_with_TERM0223_from_RpoD_mono	360364	365589	365589.0	-	False	RpoD_mono	NC_000913.2	b0342,b0343,b0344
TU0_4702_with_TERM0222_from_RpoD_mono	360436	365589	365589.0	-	False	RpoD_mono	NC_000913.2	b0342,b0343,b0344
TU0_6513_from_RpoD_mono	2080752	2082207	2080752.0	+	True	RpoD_mono	NC_000913.2	b2011
TU0_3421_from_RPOE_MONOMER	2493600	2494587	2493600.0	+	True	RpoE_mono	NC_000913.2	b2378
TU0_13236_from_RpoD_mono	1426838	1431010		+	True	RpoD_mono	NC_000913.2	b1373,b1372
TU0_12820_from_RpoD_mono	164721	167264	164721.0	+	True	RpoD_mono	NC_000913.2	b0149
TU0_14822_from_RpoD_mono	1753641	1755134	1753641.0	+	True	RpoD_mono	NC_000913.2	b1676
TU0_14253_with_TERM0_1039_from_RpoD_mono	25014	27279	25014.0	+	False	RpoD_mono	NC_000913.2	b0029,b0028,b0027
TU0_14682_with_TERM0_1074_from_RPOS_MONOMER	4374532	4374754	4374532.0	+	False	RpoS_mono	NC_000913.2	b4411
TU423_with_TERM141_from_RpoD_mono	882872	884161	882872.0	+	False	RpoD_mono	NC_000913.2	b0842
TU0_14574_with_TERM0_1066_from_RpoD_mono	3320057	3320612	3320612.0	-	False	RpoD_mono	NC_000913.2	b3174,b3175
TU0_14387_from_RpoD_mono	3396409	3399378	3399378.0	-	True	RpoD_mono	NC_000913.2	b3251,b3250
TU00175_from_RPOS_MONOMER	962972	963335	962972.0	+	True	RpoS_mono	NC_000913.2	b0912
TU00497_from_RpoD_mono	2042565	2042648	2042565.0	+	True	RpoD_mono	NC_000913.2	b1977
TU0_13075_from_RpoD_mono	906075	910272		-	True	RpoD_mono	NC_000913.2	b0871,b0870
TU0_13767_from_RpoD_mono	2993336	2995667		-	True	RpoD_mono	NC_000913.2	b2861,b2859,b2860
TU00088_from_RpoD_mono	1987669	1988916	1987669.0	+	True	RpoD_mono	NC_000913.2	b1907
TU0_7662_from_RpoD_mono	3579134	3579649	3579134.0	+	True	RpoD_mono	NC_000913.2	b3441
TU0_4703_with_TERM0223_from_RpoD_mono	360364	365601	365601.0	-	False	RpoD_mono	NC_000913.2	b0342,b0343,b0344
TU0_4703_with_TERM0222_from_RpoD_mono	360436	365601	365601.0	-	False	RpoD_mono	NC_000913.2	b0342,b0343,b0344
TU0_3422_from_RPOE_MONOMER	492933	494234	492933.0	+	True	RpoE_mono	NC_000913.2	b0472,b0471
TU354_with_ARCAT1_from_RpoD_mono	4637562	4638704	4638704.0	-	False	RpoD_mono	NC_000913.2	b4401,b4402
TU00292_from_RpoD_mono	720279	723637		-	True	RpoD_mono	NC_000913.2	b0695
TU0_6514_from_RpoD_mono	4622879	4625317	4622879.0	+	True	RpoD_mono	NC_000913.2	b4389,b4388
TU0_13538_from_RpoD_mono	2232011	2234522	2232011.0	+	True	RpoD_mono	NC_000913.2	b2147,b2146
TU00159_with_TERM64_from_RpoD_mono	4343654	4345371	4345371.0	-	False	RpoD_mono	NC_000913.2	b4122
TU0_13782_from_RpoD_mono	3018562	3022208		+	True	RpoD_mono	NC_000913.2	b2881
TU0_5003_from_RpoD_mono	4368639	4370694	4368639.0	+	True	RpoD_mono	NC_000913.2	b4142,b4143
TU0_5003_from_RPOH_MONOMER	4368639	4370694	4368639.0	+	True	RpoH_mono	NC_000913.2	b4142,b4143
TU0_13480_from_RpoD_mono	2066976	2068249		-	True	RpoD_mono	NC_000913.2	b1997
TU00368_from_RpoD_mono	3204446	3207509	3204446.0	+	True	RpoD_mono	NC_000913.2	b3062,b3061,b3063
TU0_1501_from_EG11355_MONOMER	1644412	1644761	1644412.0	+	True	FliA_mono	NC_000913.2	b1566
TU0_8689_from_RpoD_mono	1257961	1258292	1257961.0	+	True	RpoD_mono	NC_000913.2	b1205
TU0_1003_from_RPON_MONOMER	1823979	1830068	1830068.0	-	True	RpoN_mono	NC_000913.2	b1748,b1745,b1746,b1747
TU0_13884_from_RpoD_mono	3328604	3330757		-	True	RpoD_mono	NC_000913.2	b3184
TU783_from_RPON_MONOMER	4199928	4202668	4199928.0	+	True	RpoN_mono	NC_000913.2	b4004,b4003
TU0_13351_from_RpoD_mono	1702536	1702700	1702536.0	+	True	RpoD_mono	NC_000913.2	b4409
TU0_12878_from_RpoD_mono	303719	309343	309343.0	-	True	RpoD_mono	NC_000913.2	b0291,b0290,b0292
TU0_14683_with_TERM89_from_RpoD_mono	4636183	4637595	4636183.0	+	False	RpoD_mono	NC_000913.2	b4400
TU0_14475_from_RPOH_MONOMER	4633266	4636143	4633266.0	+	True	RpoH_mono	NC_000913.2	b4399,b4397,b4398
TU424_from_RPON_MONOMER	2833195	2836154	2836154.0	-	True	RpoN_mono	NC_000913.2	b2713
TU0_3423_from_RPOE_MONOMER	2751508	2751968	2751508.0	+	True	RpoE_mono	NC_000913.2	b2617
TU0_7681_from_RpoD_mono	1632334	1634627	1634627.0	-	True	RpoD_mono	NC_000913.2	b1547,b1548
TU00498_from_RpoD_mono	2057869	2057950	2057869.0	+	True	RpoD_mono	NC_000913.2	b1986
TU00243_with_TERM70_from_RpoD_mono	3913531	3920548	3920548.0	-	False	RpoD_mono	NC_000913.2	b3737,b3736,b3732,b3735,b3734,b3738,b3733,b3731,b3739
TU0_8343_from_RpoD_mono	3058872	3064302		+	True	RpoD_mono	NC_000913.2	b2918,b2920,b2919
TU0_5021_from_RpoD_mono	3239849	3242879	3242879.0	-	True	RpoD_mono	NC_000913.2	b3092
TU0_14388_with_TERM0_1036_from_RpoD_mono	3398027	3399151	3399151.0	-	False	RpoD_mono	NC_000913.2	b3251
TU0_6515_from_RpoD_mono	2714760	2715465	2714760.0	+	True	RpoD_mono	NC_000913.2	b2580
TU0_14122_from_RpoD_mono	4268237	4269037	4268237.0	+	True	RpoD_mono	NC_000913.2	b4056,b4057
TU0_14254_with_AROH_TERMINATOR_from_RpoD_mono	1786408	1787534	1786408.0	+	False	RpoD_mono	NC_000913.2	b1704
TU0_13147_from_RpoD_mono	1196090	1197460		-	True	RpoD_mono	NC_000913.2	b1138
TU0_13466_from_RpoD_mono	2033804	2034710	2033804.0	+	True	RpoD_mono	NC_000913.2	b1967
TU0_14576_from_RpoD_mono	656370	656724	656370.0	+	True	RpoD_mono	NC_000913.2	b0623
TU00160_with_TERM66_from_RpoD_mono	4364867	4366455	4366455.0	-	False	RpoD_mono	NC_000913.2	b4139
TU0_14052_from_RpoD_mono	4019968	4022359		+	True	RpoD_mono	NC_000913.2	b3838,b3839,b4483
TU00293_from_RpoD_mono	3806539	3808327	3806539.0	+	True	RpoD_mono	NC_000913.2	b3633,b3634
TU00023_with_TERM69_from_RpoD_mono	4376989	4380435	4380435.0	-	False	RpoD_mono	NC_000913.2	b4153,b4152,b4151,b4154
TU0_14137_from_RpoD_mono	4349866	4350380		+	True	RpoD_mono	NC_000913.2	b4127
TU0_3424_from_RPOE_MONOMER	4384070	4388661	4388661.0	-	True	RpoE_mono	NC_000913.2	b4160
TU0_13783_from_RpoD_mono	3022373	3026510		+	True	RpoD_mono	NC_000913.2	b2883,b4464
TU0_13843_from_RpoD_mono	3184164	3189718		+	True	RpoD_mono	NC_000913.2	b3045,b3044,b3047,b3048
TU0_12943_from_RpoD_mono	479314	480018	480018.0	-	True	RpoD_mono	NC_000913.2	b0461
TU0_12809_with_TERM0_1064_from_RpoD_mono	106508	107544	106508.0	+	False	RpoD_mono	NC_000913.2	b0096
TU0_14195_from_RpoD_mono	4531262	4532076		-	True	RpoD_mono	NC_000913.2	b4566
TU00369_from_RpoD_mono	4250466	4251911	4250466.0	+	True	RpoD_mono	NC_000913.2	b4040,b4039
TU0_14687_from_RpoD_mono	1724045	1725780	1724045.0	+	True	RpoD_mono	NC_000913.2	b1650,b1649
TU0_5041_from_RpoD_mono	4552481	4553372	4552481.0	+	True	RpoD_mono	NC_000913.2	b4324
TU0_13539_from_RpoD_mono	2239832	2241870	2241870.0	-	True	RpoD_mono	NC_000913.2	b2153
TU0_8344_from_RPON_MONOMER	2848649	2854438	2848649.0	+	True	RpoN_mono	NC_000913.2	b2731,b2729,b2726,b2727,b2728,b2730
TU441_from_RpoD_mono	1150797	1152403	1150797.0	+	True	RpoD_mono	NC_000913.2	b1095,b1094
TU0_1004_from_RPOS_MONOMER	1823979	1830063	1830063.0	-	True	RpoS_mono	NC_000913.2	b1748,b1745,b1746,b1747
TU00177_from_RpoD_mono	3532538	3534707	3534707.0	-	True	RpoD_mono	NC_000913.2	b3405
TU00499_from_RpoD_mono	2060276	2060359	2060276.0	+	True	RpoD_mono	NC_000913.2	b1989
TU0_14478_from_RPOH_MONOMER	3543480	3544221	3543480.0	+	True	RpoH_mono	NC_000913.2	b3414
TU0_12822_from_RPOS_MONOMER	177001	179183	179183.0	-	True	RpoS_mono	NC_000913.2	b0159,b0158
TU0_12822_from_RpoD_mono	177001	179183	179183.0	-	True	RpoD_mono	NC_000913.2	b0159,b0158
TU00090_from_RpoD_mono	3955935	3957468	3955935.0	+	True	RpoD_mono	NC_000913.2	b3774
TU0_1541_from_EG11355_MONOMER	4589656	4591335	4589656.0	+	True	FliA_mono	NC_000913.2	b4355
TU0_13648_from_RpoD_mono	2627814	2628887		+	True	RpoD_mono	NC_000913.2	b2506
TU00244_from_RpoD_mono	2160900	2163022		+	True	RpoD_mono	NC_000913.2	b2079
TU0_4782_with_TERM0322_from_RpoD_mono	2533632	2534402	2533632.0	+	False	RpoD_mono	NC_000913.2	b2417
TU0_13148_from_RpoD_mono	1198902	1200603		-	True	RpoD_mono	NC_000913.2	b1141
TU0_14389_with_TERM0_1036_from_RpoD_mono	3398027	3399215	3399215.0	-	False	RpoD_mono	NC_000913.2	b3251
TU00161_from_RpoD_mono	2257741	2261619	2261619.0	-	True	RpoD_mono	NC_000913.2	b2169,b2168
TU0_5042_from_RPOH_MONOMER	3244530	3245450	3244530.0	+	True	RpoH_mono	NC_000913.2	b3094
TU0_8471_from_RpoD_mono	1085329	1091746	1091746.0	-	True	RpoD_mono	NC_000913.2	b1024,b1022,b1023
TU0_13467_from_RpoD_mono	2034818	2036847		-	True	RpoD_mono	NC_000913.2	b1969
TU0_8691_from_RpoD_mono	1272983	1274401	1272983.0	+	True	RpoD_mono	NC_000913.2	b1220
TU0_7722_with_TERM0_1145_from_RPOS_MONOMER	1978120	1980466	1980466.0	-	False	RpoS_mono	NC_000913.2	b1896,b1897
TU00430_with_TERM0_1045_from_RPOH_MONOMER	4160160	4161318	4161318.0	-	False	RpoH_mono	NC_000913.2	b3965
TU0_8345_from_RpoD_mono	2848861	2854438	2848861.0	+	True	RpoD_mono	NC_000913.2	b2731,b2729,b2727,b2728,b2730
TU0_14255_with_RPLT_T2_from_RpoD_mono	1797387	1798451	1798451.0	-	False	RpoD_mono	NC_000913.2	b1716,b1717
TU00295_from_RpoD_mono	2962383	2964059		-	True	RpoD_mono	NC_000913.2	b2828
TU0_14688_with_TERM0_1087_from_RpoD_mono	849432	850232	849432.0	+	False	RpoD_mono	NC_000913.2	b0814
TU0_14606_from_RpoD_mono	106530	107474	106530.0	+	True	RpoD_mono	NC_000913.2	b0096
TU0_13600_from_RpoD_mono	2464537	2465724	2464537.0	+	True	RpoD_mono	NC_000913.2	b2349
TU0_14138_from_RpoD_mono	4350607	4351104		+	True	RpoD_mono	NC_000913.2	b4559
TU0_13784_from_RpoD_mono	3026546	3028953		-	True	RpoD_mono	NC_000913.2	b2887
TU442_from_RpoD_mono	1148951	1151074		+	True	RpoD_mono	NC_000913.2	b1093,b1094
TU0_12944_from_RpoD_mono	485716	489122	485716.0	+	True	RpoD_mono	NC_000913.2	b0465
TU0_4783_from_RpoD_mono	4457923	4460861	4460861.0	-	True	RpoD_mono	NC_000913.2	b4238
TU0_1341_with_TERM0_1067_from_RpoD_mono	3057752	3058702	3057752.0	+	False	RpoD_mono	NC_000913.2	b2916
TU0_1281_with_TERM3_from_RpoD_mono	709385	710052	710052.0	-	False	RpoD_mono	NC_000913.2	b4637,b0683
TU0_1281_with_TERM73_from_RpoD_mono	709341	710052	710052.0	-	False	RpoD_mono	NC_000913.2	b4637,b0683
TU0_3426_from_RPOE_MONOMER	395777	398190	395777.0	+	True	RpoE_mono	NC_000913.2	b0377,b0378
TU00370_from_RpoD_mono	2139658	2140972		-	True	RpoD_mono	NC_000913.2	b2066
TU0_1544_from_EG11355_MONOMER	1128637	1129388	1129388.0	-	True	FliA_mono	NC_000913.2	b1071
TU00178_from_RpoD_mono	148	5020	148.0	+	True	RpoD_mono	NC_000913.2	b0001,b0003,b0004,b0002
TU00500_from_RpoD_mono	2464330	2464405	2464330.0	+	True	RpoD_mono	NC_000913.2	b2348
TU0_13844_from_RpoD_mono	3190230	3192547		+	True	RpoD_mono	NC_000913.2	b3051
TU00091_with_TERM0881_from_RpoD_mono	3551046	3553842	3551046.0	+	False	RpoD_mono	NC_000913.2	b3418
TU0_5061_from_RpoD_mono	4212182	4213232	4212182.0	+	True	RpoD_mono	NC_000913.2	b4013
TU0_1021_from_RpoD_mono	191812	192580	191812.0	+	True	RpoD_mono	NC_000913.2	b0171
TU0_14479_from_RPOH_MONOMER	3527132	3528674	3527132.0	+	True	RpoH_mono	NC_000913.2	b3400,b3401
TU358_from_RpoD_mono	770507	773404	770507.0	+	True	RpoD_mono	NC_000913.2	b0734,b0733
TU0_12823_from_RpoD_mono	179196	180754	179196.0	+	True	RpoD_mono	NC_000913.2	b0160
TU0_8532_from_RpoD_mono	1671914	1672971	1671914.0	+	True	RpoD_mono	NC_000913.2	b1601
TU00245_from_RpoD_mono	4330204	4331973		-	True	RpoD_mono	NC_000913.2	b4113
TU0_8346_from_RpoD_mono	3497932	3502805		+	True	RpoD_mono	NC_000913.2	b4474,b3371,b3375,b3374
TU0_13998_from_RpoD_mono	3783258	3787083	3783258.0	+	True	RpoD_mono	NC_000913.2	b3613,b3614,b3612
TU0_4786_with_TERM0322_from_RpoD_mono	2533502	2534402	2533502.0	+	False	RpoD_mono	NC_000913.2	b2417
TU0_14390_with_TERM0_1036_from_RpoD_mono	3398027	3399378	3399378.0	-	False	RpoD_mono	NC_000913.2	b3251
TU0_3463_from_RPOH_MONOMER	1920337	1921409	1921409.0	-	True	RpoH_mono	NC_000913.2	b4433,b4432
TU0_13353_from_RpoD_mono	1712351	1713006	1712351.0	+	True	RpoD_mono	NC_000913.2	b1635
