	cobrame/ecolime fluxes	coralme fluxes
translocation_b0007	0.0	0.0
translocation_b0019	0.0	0.0
translocation_b0027	1.0729824143537738e-08	1.0355007862596755e-08
translocation_b0040	0.0	0.0
translocation_b0047	0.0	0.0
translocation_b0053	3.730841357040885e-06	3.561239867886512e-06
translocation_b0067	0.0	0.0
translocation_b0068	0.0	0.0
translocation_b0070	0.0	0.0
translocation_b0084	5.6386773795752287e-08	5.4424965461316985e-08
translocation_b0087	3.344684327525367e-09	3.2283160881655053e-09
translocation_b0112	0.0	0.0
translocation_b0123	0.0	0.0
translocation_b0123_alt	0.0	0.0
translocation_b0124	0.0	0.0
translocation_b0149	0.0	0.0
translocation_b0150	0.0	0.0
translocation_b0152	0.0	0.0
translocation_b0152_alt	0.0	0.0
translocation_b0153	0.0	0.0
translocation_b0155	0.0	0.0
translocation_b0158	0.0	0.0
translocation_b0175	4.7385067890715636e-08	4.573297295036548e-08
translocation_b0177	3.730841357040885e-06	3.561239867886512e-06
translocation_b0197	0.0	0.0
translocation_b0198	0.0	0.0
translocation_b0221	3.710415826847852e-06	3.5813128606488103e-06
translocation_b0241	0.0	0.0
translocation_b0260	0.0	0.0
translocation_b0314	0.0	0.0
translocation_b0336	0.0	0.0
translocation_b0341	0.0	0.0
translocation_b0343	0.0	0.0
translocation_b0353	0.0	0.0
translocation_b0365	0.0	0.0
translocation_b0367	0.0	0.0
translocation_b0383	0.0	0.0
translocation_b0401	0.0	0.0
translocation_b0408	1.476835181635031e-05	2.974280763163918e-05
translocation_b0409	1.476835181635031e-05	2.974280763163918e-05
translocation_b0411	0.0	0.0
translocation_b0418	3.58691879370432e-08	3.461619856432987e-08
translocation_b0428	2.0999057238816288e-11	2.0142522654686632e-11
translocation_b0429	2.581877135526391e-06	2.520804569095356e-06
translocation_b0430	2.581877135526391e-06	2.520804569095356e-06
translocation_b0431	2.581877135526391e-06	2.520804569095356e-06
translocation_b0432	2.581877135526391e-06	2.520804569095356e-06
translocation_b0433	0.0	0.0
translocation_b0451	0.0	0.0
translocation_b0462	0.0	0.0
translocation_b0463	0.0	0.0
translocation_b0480	0.0	0.0
translocation_b0484	0.0	0.0
translocation_b0494	0.0	0.0
translocation_b0511	0.0	0.0
translocation_b0572	0.0	0.0
translocation_b0573	0.0	0.0
translocation_b0574	0.0	0.0
translocation_b0575	0.0	0.0
translocation_b0576	0.0	0.0
translocation_b0584	0.0	0.0
translocation_b0589	0.0	0.0
translocation_b0590	0.0	0.0
translocation_b0591	0.0	0.0
translocation_b0592	0.0	0.0
translocation_b0604	0.0	0.0
translocation_b0612	0.0	0.0
translocation_b0621	0.0	0.0
translocation_b0622	0.0	0.0
translocation_b0627	0.0	0.0
translocation_b0632	0.0	0.0
translocation_b0635	0.0	0.0
translocation_b0653	0.0	0.0
translocation_b0654	0.0	0.0
translocation_b0655	0.0	0.0
translocation_b0657	1.0729824143537738e-08	1.0355007862596755e-08
translocation_b0679	0.0	0.0
translocation_b0692	0.0	0.0
translocation_b0697	0.0	0.0
translocation_b0698	0.0	0.0
translocation_b4513	0.0	0.0
translocation_b0709	0.0	0.0
translocation_b0721	1.34320301838697e-05	1.3656229347303831e-05
translocation_b0722	1.34320301838697e-05	1.3656229347303831e-05
translocation_b0731	0.0	0.0
translocation_b0733	0.0	0.0
translocation_b0734	0.0	0.0
translocation_b0751	0.0	0.0
translocation_b0752	0.0	0.0
translocation_b0756	0.0	0.0
translocation_b0763	0.0	0.0
translocation_b0764	0.0	0.0
translocation_b0789	0.0	0.0
translocation_b0805	0.0	0.0
translocation_b0810	0.0	0.0
translocation_b0811	0.0	0.0
translocation_b0813	0.0	0.0
translocation_b0831	0.0	0.0
translocation_b0832	0.0	0.0
translocation_b0837	0.0	0.0
translocation_b0839	0.0	0.0
translocation_b0841	2.4762210116365295e-07	2.390068343350721e-07
translocation_b0842	0.0	0.0
translocation_b0854	0.0	0.0
translocation_b0856	0.0	0.0
translocation_b0857	0.0	0.0
translocation_b0860	0.0	0.0
translocation_b0861	0.0	0.0
translocation_b0862	0.0	0.0
translocation_b0863	0.0	0.0
translocation_b0875	0.0	0.0
translocation_b0886	0.0	0.0
translocation_b0887	0.0	0.0
translocation_b0891	7.749317436999485e-07	7.478616789653219e-07
translocation_b0894	0.0	0.0
translocation_b0894_alt	0.0	0.0
translocation_b0896	0.0	0.0
translocation_b0904	0.0	0.0
translocation_b0914	3.825925040264955e-08	3.69256255823504e-08
translocation_b0915	2.362910814171618e-09	2.2807004336742253e-09
translocation_b0929	0.0	0.0
translocation_b0934	0.0	0.0
translocation_b0936	0.0	0.0
translocation_b0957	0.0	0.0
translocation_b0972	0.0	0.0
translocation_b0972_alt	0.0	0.0
translocation_b0973	0.0	0.0
translocation_b0973_alt	0.0	0.0
translocation_b0974	0.0	0.0
translocation_b0978	0.0	0.0
translocation_b0979	0.0	0.0
translocation_b0980	0.0	0.0
translocation_b0996	0.0	0.0
translocation_b0997	0.0	0.0
translocation_b0997_alt	0.0	0.0
translocation_b1002	0.0	0.0
translocation_b1006	0.0	0.0
translocation_b1015	0.0	0.0
translocation_b1069	3.124781755675698e-08	3.0160643654277435e-08
translocation_b1101	2.722067650002279e-05	2.4435386224916943e-05
translocation_b1102	0.0	0.0
translocation_b1116	1.549863487399897e-06	1.4957233579306438e-06
translocation_b1118	7.749317436999485e-07	7.478616789653219e-07
translocation_b1123	0.0	0.0
translocation_b1124	0.0	0.0
translocation_b1125	0.0	0.0
translocation_b1185	0.0	0.0
translocation_b1186	0.0	0.0
translocation_b1193	0.0	0.0
translocation_b1197	0.0	0.0
translocation_b1206	1.8057854587812664e-08	1.7495319808022667e-08
translocation_b1209	7.749317436999485e-07	7.478616789653219e-07
translocation_b1216	0.0	0.0
translocation_b1223	0.0	0.0
translocation_b1227	0.0	0.0
translocation_b1243	0.0	0.0
translocation_b1244	0.0	0.0
translocation_b1245	0.0	0.0
translocation_b1249	0.0	0.0
translocation_b1250	0.0	0.0
translocation_b1252	0.0	0.0
translocation_b1278	0.0	0.0
translocation_b1296	0.0	0.0
translocation_b1308	0.0	0.0
translocation_b1319	0.0	0.0
translocation_b1329	0.0	0.0
translocation_b1363	0.0	0.0
translocation_b1377	0.0004314535856419	0.0004192605228988
translocation_b1386	0.0	0.0
translocation_b1440	0.0	0.0
translocation_b1442	0.0	0.0
translocation_b1443	0.0	0.0
translocation_b1453	0.0	0.0
translocation_b1465	0.0	0.0
translocation_b1469	0.0	0.0
translocation_b1473	0.0	0.0
translocation_b1474	0.0	0.0
translocation_b1474_alt	0.0	0.0
translocation_b1475	0.0	0.0
translocation_b1475_alt	0.0	0.0
translocation_b1476	0.0	0.0
translocation_b1485	0.0	0.0
