TU_id	start	stop	tss	strand	rho_dependent	rnapol	replicon	genes
TU00178_from_RpoD_mono	148	5020	148	+	True	RpoD_mono	NC_000913.2	b0001,b0002,b0003,b0004
TU0_12789_from_RpoD_mono	6529	7959		-	True	RpoD_mono	NC_000913.2	b0007
TU0_8121_with_TERM0941_from_RpoD_mono	8191	9226	8191	+	False	RpoD_mono	NC_000913.2	b0008
TU0_12790_from_RpoD_mono	9306	9893		+	True	RpoD_mono	NC_000913.2	b0009
TU00260_from_RPOH_MONOMER	12048	15298	12048	+	True	RpoH_mono	NC_000913.2	b0014,b0015
TU00417_from_RPOH_MONOMER	12123	15298	12123	+	True	RpoH_mono	NC_000913.2	b0014,b0015
TU00418_from_RPOH_MONOMER	12144	15298	12144	+	True	RpoH_mono	NC_000913.2	b0014,b0015
TU0_3862_from_RPOS_MONOMER	17317	19620	17317	+	True	RpoS_mono	NC_000913.2	b0019,b0020
TU00200_from_RpoD_mono	17458	19620	17458	+	True	RpoD_mono	NC_000913.2	b0019,b0020
TU0_12796_from_RpoD_mono	19810	20508		-	True	RpoD_mono	NC_000913.2	b0021,b0022
TU0_7842_with_TERM_RPST_from_RpoD_mono	20771	21210	21210	-	False	RpoD_mono	NC_000913.2	b0023
TU0_7844_with_TERM_RPST_from_RpoD_mono	20771	21120	21120	-	False	RpoD_mono	NC_000913.2	b0023
TU00291_with_TERM0_1039_from_RpoD_mono	21383	27279	21383	+	False	RpoD_mono	NC_000913.2	b0025,b0026,b0027,b0028,b0029
TU0_14394_with_TERM0_1039_from_RpoD_mono	21833	27279	21833	+	False	RpoD_mono	NC_000913.2	b0026,b0027,b0028,b0029
TU0_14395_with_TERM0_1039_from_RpoD_mono	22034	27279	22034	+	False	RpoD_mono	NC_000913.2	b0026,b0027,b0028,b0029
TU0_14465_with_TERM0_1039_from_RPOH_MONOMER	22229	27279	22229	+	False	RpoH_mono	NC_000913.2	b0026,b0027,b0028,b0029
TU0_14253_with_TERM0_1039_from_RpoD_mono	25014	27279	25014	+	False	RpoD_mono	NC_000913.2	b0027,b0028,b0029
TU0_12797_from_RpoD_mono	27293	28207		+	True	RpoD_mono	NC_000913.2	b0030
TU0_14399_with_TERM0_1041_from_RpoD_mono	28288	29272	28288	+	False	RpoD_mono	NC_000913.2	b0031
TU0_6403_with_TERM0_1041_from_RpoD_mono	28343	29272	28343	+	False	RpoD_mono	NC_000913.2	b0031
TU00110_from_RpoD_mono	29551	34038	29551	+	True	RpoD_mono	NC_000913.2	b0032,b0033
TU00109_from_RpoD_mono	29619	34038	29619	+	True	RpoD_mono	NC_000913.2	b0032,b0033
TU0_6884_from_RpoD_mono	30775	34038	30775	+	True	RpoD_mono	NC_000913.2	b0033
TU141_from_RpoD_mono	34218	34695	34218	+	True	RpoD_mono	NC_000913.2	b0034
TU00247_from_RpoD_mono	34781	42037	42037	-	True	RpoD_mono	NC_000913.2	b0036,b0037,b0038,b0039,b0040
TU0_14529_from_RpoD_mono	34781	37824		-	True	RpoD_mono	NC_000913.2	b0036,b0037
TU142_from_RpoD_mono	42325	45750	42325	+	True	RpoD_mono	NC_000913.2	b0041,b0042,b0043,b0044
TU0_12799_from_RPON_MONOMER	45592	47138	45592	+	True	RpoN_mono	NC_000913.2	b0045
TU0_12800_from_RpoD_mono	47246	49631		+	True	RpoD_mono	NC_000913.2	b0047
TU0_6401_from_RpoD_mono	49799	50302	49799	+	True	RpoD_mono	NC_000913.2	b0048
TU00362_from_RPOE_MONOMER	50380	54702		-	True	RpoE_mono	NC_000913.2	b0050,b0051,b0052,b0053
TU0_5186_from_RpoD_mono	50380	52588	52588	-	True	RpoD_mono	NC_000913.2	b0050,b0051
TU0_5201_from_RpoD_mono	50380	53416		-	True	RpoD_mono	NC_000913.2	b0050,b0051,b0052
TU0_5202_from_RpoD_mono	50380	52034	52034	-	True	RpoD_mono	NC_000913.2	b0049,b0050
TU0_5221_from_RpoD_mono	51609	53416		-	True	RpoD_mono	NC_000913.2	b0052
TU0_4287_from_RPOE_MONOMER	52427	57336	57336	-	True	RpoE_mono	NC_000913.2	b0053,b0054
TU0_3841_from_RpoD_mono	59687	63358	63358	-	True	RpoD_mono	NC_000913.2	b0058,b0059
TU00214_with_TERM68_from_RpoD_mono	65800	70075	70075	-	False	RpoD_mono	NC_000913.2	b0061,b0062,b0063
TU00003_from_RpoD_mono	70241	71265	70241	+	True	RpoD_mono	NC_000913.2	b0064
TU0_12804_from_RpoD_mono	71271	72115	71271	+	True	RpoD_mono	NC_000913.2	b0065
TU0_12805_from_RpoD_mono	72229	77338	77338	-	True	RpoD_mono	NC_000913.2	b0067,b0068,b0069
TU0_12806_from_RpoD_mono	77367	78799	77367	+	True	RpoD_mono	NC_000913.2	b0070,b4662
TU00179_from_RpoD_mono	78848	83735	83735	-	True	RpoD_mono	NC_000913.2	b0071,b0072,b0073,b0074,b0075
TU0_12807_from_RpoD_mono	84188	85312	84188	+	True	RpoD_mono	NC_000913.2	b0076
TU0_6881_from_RpoD_mono	85394	87848	85394	+	True	RpoD_mono	NC_000913.2	b0077,b0078
