Reaction,Complexes
DTMPK,SYNPCC7942_0093-MONOMER_mod_mg2(1)
ACOATA,SYNPCC7942_1455-MONOMER
3HAD160,SYNPCC7942_0930-MONOMER
RNDR3,SYNPCC7942_1609-MONOMER
G5SD,SYNPCC7942_2243-MONOMER OR SYNPCC7942_2265-MONOMER
HISTDa,SYNPCC7942_1519-MONOMER_mod_mn2(1)
TRPS3,CPLX490-55_mod_pydx5p(1)
DMBZIDS2,SYNPCC7942_2008-MONOMER OR SYNPCC7942_1659-MONOMER_mod_fad(1)
HSTPT,SYNPCC7942_1030-MONOMER_mod_pydx5p(1)
ZCAROTDH2,CPLX_ZCAROTDH2-0
ORNDC,SYNPCC7942_0707-MONOMER_mod_pydx5p(1)
GND,SYNPCC7942_0039-MONOMER
CMPA_1,SYNPCC7942_2145-MONOMER
U23GAAT2,SYNPCC7942_1449-MONOMER
HOXGfx,SYNPCC7942_1858-MONOMER
PGK,SYNPCC7942_1116-MONOMER
IMPD,SYNPCC7942_1831-MONOMER
LPOR,SYNPCC7942_2503-MONOMER
CHRPL,SYNPCC7942_0091-MONOMER
GCALDDy,SYNPCC7942_0489-MONOMER_mod_mg2(1)
MSBENZMT,SYNPCC7942_0596-MONOMER
DESAT18a,SYNPCC7942_2561-MONOMER
FUM,SYNPCC7942_1007-MONOMER
PHYFXOR,SYNPCC7942_1225-MONOMER
TMPPP_1,SYNPCC7942_1057-MONOMER_mod_mg2(1)
VPAMTr,SYNPCC7942_2258-MONOMER_mod_pydx5p(1)
RNDR1,SYNPCC7942_1609-MONOMER
TALA,SYNPCC7942_2297-MONOMER
GLYCL,CPLX490-3614
ACONT,SYNPCC7942_0903-MONOMER_mod_4fe4s(1)
NDPK7,SYNPCC7942_2497-MONOMER_mod_mg2(1) OR SYNPCC7942_2497-MONOMER_mod_mn2(1) OR SYNPCC7942_2497-MONOMER_mod_ca2(1)
GTPCI,SYNPCC7942_1597-MONOMER_mod_zn2(1)
AIRC2,SYNPCC7942_1428-MONOMER
IGPS,SYNPCC7942_1197-MONOMER
MTAP,SYNPCC7942_0923-MONOMER
HEMEAS_1,SYNPCC7942_2601-MONOMER
DHORD3um,SYNPCC7942_0290-MONOMER_mod_fmn(1)
MTHFC,SYNPCC7942_0777-MONOMER
HBZNPT,SYNPCC7942_1964-MONOMER_mod_mg2(1)
GCATENEC,SYNPCC7942_2062-MONOMER
COCHL_1,CPLX_COCHL_1-0
HSDy,SYNPCC7942_2090-MONOMER
TRPS1,CPLX490-55_mod_pydx5p(1)
HISTDb,SYNPCC7942_1519-MONOMER_mod_mn2(1)
UPPDC1,SYNPCC7942_1086-MONOMER
GARFT,SYNPCC7942_0958-MONOMER
H4THDPR,SYNPCC7942_2136-MONOMER
UDPG4E,SYNPCC7942_0320-MONOMER_mod_nad(1)
GLCS3,SYNPCC7942_2518-MONOMER
AICART,SYNPCC7942_0396-MONOMER
ASPTA,SYNPCC7942_2545-MONOMER
GLYOX,SYNPCC7942_0937-MONOMER OR SYNPCC7942_1403-MONOMER_mod_zn2(1)
PRAGSr,SYNPCC7942_0925-MONOMER_mod_mg2(1)
SQD1,SYNPCC7942_0578-MONOMER
ACKr,SYNPCC7942_2079-MONOMER
UDCPDPS,SYNPCC7942_0264-MONOMER_mod_mg2(1)
GK1,SYNPCC7942_1191-MONOMER_mod_mg2(1)
SHKK,SYNPCC7942_0894-MONOMER_mod_mg2(1) OR SYNPCC7942_0894-MONOMER_mod_mn2(1) OR SYNPCC7942_0894-MONOMER_mod_cobalt2(1) OR SYNPCC7942_0894-MONOMER_mod_fe2(1) OR SYNPCC7942_0894-MONOMER_mod_ca2(1) OR SYNPCC7942_0894-MONOMER_mod_k(1)
OXADC,SYNPCC7942_2388-MONOMER
G1PACT,SYNPCC7942_0288-MONOMER_mod_mg2(1)
3HAD60,SYNPCC7942_0930-MONOMER
