Gene Name,Left-End-Position,Right-End-Position,Product,Accession-1,replicon
G490-7,0,243,G490-7-RNA,G490-7,G490-7
SYNPCC7942_0845,0,207,SYNPCC7942_0845-MONOMER,SYNPCC7942_0845,SYNPCC7942_0845
SYNPCC7942_1832,1901151,1901601,SYNPCC7942_1832-MONOMER,SYNPCC7942_RS09295,NC_007604.1
SYNPCC7942_0807,799839,800679,SYNPCC7942_0807-MONOMER,SYNPCC7942_RS04175,NC_007604.1
SYNPCC7942_1788,1855203,1859910,SYNPCC7942_1788-MONOMER,SYNPCC7942_RS09085,NC_007604.1
SYNPCC7942_0770,762152,763643,SYNPCC7942_0770-MONOMER,SYNPCC7942_RS03995,NC_007604.1
SYNPCC7942_1757,0,288,SYNPCC7942_1757-MONOMER,SYNPCC7942_1757,SYNPCC7942_1757
SYNPCC7942_0747,741395,742820,SYNPCC7942_0747-MONOMER,SYNPCC7942_RS03870,NC_007604.1
SYNPCC7942_1711,1780274,1780847,SYNPCC7942_1711-MONOMER,SYNPCC7942_RS08705,NC_007604.1
SYNPCC7942_0724,718003,718447,SYNPCC7942_0724-MONOMER,SYNPCC7942_RS03745,NC_007604.1
SYNPCC7942_0721,715591,715882,SYNPCC7942_0721-MONOMER,SYNPCC7942_RS03725,NC_007604.1
SYNPCC7942_1670,0,147,SYNPCC7942_1670-MONOMER,SYNPCC7942_1670,SYNPCC7942_1670
SYNPCC7942_B2656,0,915,SYNPCC7942_B2656-MONOMER,SYNPCC7942_RS13495,SYNPCC7942_RS13495
SYNPCC7942_0689,684050,684884,SYNPCC7942_0689-MONOMER,SYNPCC7942_RS03535,NC_007604.1
SYNPCC7942_1634,1702112,1702652,SYNPCC7942_1634-MONOMER,SYNPCC7942_RS08335,NC_007604.1
SYNPCC7942_B2632,0,573,SYNPCC7942_B2632-MONOMER,SYNPCC7942_RS13485,SYNPCC7942_RS13485
SYNPCC7942_0648,0,852,SYNPCC7942_0648-MONOMER,SYNPCC7942_0648,SYNPCC7942_0648
SYNPCC7942_1590,1657273,1658131,SYNPCC7942_1590-MONOMER,SYNPCC7942_RS08120,NC_007604.1
