Transcription-Units,Genes of transcription unit,Direction
TU490-1523,SYNPCC7942_B2651,-
TU490-3888,SYNPCC7942_0690 // SYNPCC7942_0689,-
TU490-5186,SYNPCC7942_1621,-
TU490-5371,SYNPCC7942_0313,+
TU490-4071,SYNPCC7942_0987,-
TU490-4256,SYNPCC7942_1310,+
TU490-4436,SYNPCC7942_1595 // SYNPCC7942_1594 // SYNPCC7942_1593,+
TU490-4621,SYNPCC7942_1908,-
TU490-4805,SYNPCC7942_2198 // SYNPCC7942_2197,+
TU490-3687,SYNPCC7942_0348,-
TU490-5170,SYNPCC7942_1757,+
TU490-4055,SYNPCC7942_0958,-
TU490-4420,SYNPCC7942_1567,-
TU490-4789,SYNPCC7942_2176,-
TU490-3671,SYNPCC7942_0325,-
TU490-5154,SYNPCC7942_1889,-
TU490-4039,SYNPCC7942_0927 // SYNPCC7942_0926,+
TU490-4404,SYNPCC7942_1541 // SYNPCC7942_1542,-
TU490-4772,SYNPCC7942_2149,+
TU490-3655,SYNPCC7942_0297,+
TU490-5138,SYNPCC7942_2050,+
TU490-4023,SYNPCC7942_0904,+
TU490-4388,SYNPCC7942_1520,+
TU490-4756,SYNPCC7942_2121 // SYNPCC7942_2120,-
TU490-3639,SYNPCC7942_0269 // SYNPCC7942_0268,-
TU490-5122,SYNPCC7942_2131,-
TU490-4007,SYNPCC7942_0879 // SYNPCC7942_0878,+
TU490-4372,SYNPCC7942_1493 // SYNPCC7942_1492,+
TU490-4740,SYNPCC7942_2093,+
TU490-3623,SYNPCC7942_0236,+
TU490-5106,SYNPCC7942_2265,+
TU490-3991,SYNPCC7942_0853,+
TU490-4356,SYNPCC7942_1460,-
TU490-4724,SYNPCC7942_2065,-
TU490-3607,SYNPCC7942_0215,-
TU490-5090,SYNPCC7942_2346,+
TU490-3975,SYNPCC7942_0828,-
TU490-4340,SYNPCC7942_1439,-
TU490-4708,SYNPCC7942_2040,-
TU490-3591,SYNPCC7942_0182,-
TU490-5074,SYNPCC7942_2501,+
TU490-3959,SYNPCC7942_0799 // SYNPCC7942_0798,-
TU490-4324,SYNPCC7942_1414,-
TU490-4692,SYNPCC7942_2015 // SYNPCC7942_2014 // SYNPCC7942_2013,-
TU490-3575,SYNPCC7942_0155 // SYNPCC7942_0154,+
TU490-5058,SYNPCC7942_2575,+
TU490-3943,SYNPCC7942_0780,-
TU490-5480,SYNPCC7942_1047 // SYNPCC7942_1048,+
TU490-4308,SYNPCC7942_1385,-
TU490-4676,SYNPCC7942_1991,-
TU490-5042,SYNPCC7942_2601,-
TU490-3927,SYNPCC7942_0758 // SYNPCC7942_0757,+
TU490-5410,SYNPCC7942_0035,-
TU490-4292,SYNPCC7942_1364,+
TU490-4660,SYNPCC7942_1966 // SYNPCC7942_1965,+
TU490-5026,SYNPCC7942_2574 // SYNPCC7942_2573,-
TU490-3911,SYNPCC7942_0722,-
TU490-5394,SYNPCC7942_0148,+
TU490-4279,SYNPCC7942_1341,+
TU490-4644,SYNPCC7942_1945,-
TU490-3895,SYNPCC7942_0698,+
TU490-5378,SYNPCC7942_0257,-
TU490-4263,SYNPCC7942_1319,+
TU490-4628,SYNPCC7942_1918,+
TU490-4997,SYNPCC7942_2518 // SYNPCC7942_2517,-
TU490-3879,SYNPCC7942_0674,+
TU490-5362,SYNPCC7942_0394,-
TU490-4247,SYNPCC7942_1296,+
TU490-4612,SYNPCC7942_1890,+
TU490-4981,SYNPCC7942_2486 // SYNPCC7942_2485,-
TU490-3863,SYNPCC7942_0647,+
TU490-5346,SYNPCC7942_0488,+
TU490-4231,SYNPCC7942_1265,-
TU490-4596,SYNPCC7942_1861,-
TU490-4965,SYNPCC7942_2463 // SYNPCC7942_2462,-
TU490-3847,SYNPCC7942_0626,+
TU490-5330,SYNPCC7942_0596,+
TU490-4215,SYNPCC7942_1238 // SYNPCC7942_1237 // SYNPCC7942_1236,-
TU490-4580,SYNPCC7942_1832,-
TU490-4949,SYNPCC7942_2443 // SYNPCC7942_2442,-
TU490-3831,SYNPCC7942_0601,-
TU490-5314,SYNPCC7942_0711,+
TU490-4199,SYNPCC7942_1212 // SYNPCC7942_1211 // SYNPCC7942_1210 // SYNPCC7942_1209,-
TU490-4564,SYNPCC7942_1805,-
TU490-4933,SYNPCC7942_2419,+
TU490-3815,SYNPCC7942_0580,-
TU490-3565,SYNPCC7942_0132,-
TU490-5298,SYNPCC7942_0901,+
TU490-4183,SYNPCC7942_1184 // SYNPCC7942_1183,+
TU490-4548,SYNPCC7942_1783,+
TU490-4917,SYNPCC7942_2400,-
TU490-3799,SYNPCC7942_0552,+
TU490-3549,SYNPCC7942_0111,+
TU490-5282,SYNPCC7942_0997,-
TU490-4167,SYNPCC7942_1152,-
TU490-4532,SYNPCC7942_1761,+
TU490-4901,SYNPCC7942_2377 // SYNPCC7942_2376 // SYNPCC7942_2375 // SYNPCC7942_2374,+
TU490-3783,SYNPCC7942_0525 // SYNPCC7942_0524,-
TU490-3533,SYNPCC7942_0087 // SYNPCC7942_0086 // SYNPCC7942_0085,-
TU490-5266,SYNPCC7942_1091,+
TU490-4151,SYNPCC7942_1131,+
TU490-4516,SYNPCC7942_1734,+
TU490-4885,SYNPCC7942_2343,-
TU490-3767,SYNPCC7942_0491,+
TU490-3517,SYNPCC7942_0053,-
TU490-5250,SYNPCC7942_1222,+
TU490-4135,SYNPCC7942_1107,-
TU490-4500,SYNPCC7942_1704,+
TU490-4869,SYNPCC7942_2314,-
TU490-3751,SYNPCC7942_0463 // SYNPCC7942_0462,-
TU490-3501,SYNPCC7942_0023 // SYNPCC7942_0022 // SYNPCC7942_0021,-
TU490-5234,SYNPCC7942_1324,-
TU490-4119,SYNPCC7942_1077,+
TU490-4484,SYNPCC7942_1678 // SYNPCC7942_1677 // SYNPCC7942_1676,-
TU490-4853,SYNPCC7942_2291 // SYNPCC7942_2290 // SYNPCC7942_2289 // SYNPCC7942_2288,-
TU490-3735,SYNPCC7942_0438 // SYNPCC7942_0437,+
TU490-3485,SYNPCC7942_B2640,-
TU490-5218,SYNPCC7942_1432,-
TU490-4103,SYNPCC7942_1050,+
TU490-4100,SYNPCC7942_1047,+
TU490-4465,SYNPCC7942_1644,+
TU490-4834,SYNPCC7942_2254,-
TU490-3716,SYNPCC7942_0398,+
TU490-1536,SYNPCC7942_B2624 // SYNPCC7942_B2623,+
TU490-5199,SYNPCC7942_1557,-
TU490-4084,SYNPCC7942_1006,+
TU490-4449,SYNPCC7942_1625,-
TU490-4818,SYNPCC7942_2233,-
TU490-3700,SYNPCC7942_0372 // SYNPCC7942_0371 // SYNPCC7942_0370,+
TU490-5183,SYNPCC7942_1650,-
TU490-4068,SYNPCC7942_0981,-
TU490-4433,SYNPCC7942_1588,-
TU490-4802,SYNPCC7942_2193,-
TU490-3684,SYNPCC7942_0345,-
TU490-5167,SYNPCC7942_1791,-
TU490-4052,SYNPCC7942_0954,-
TU490-4417,SYNPCC7942_1562,-
TU490-4785,SYNPCC7942_2167,-
TU490-3668,SYNPCC7942_0320 // SYNPCC7942_0319,+
TU490-5151,SYNPCC7942_1921,+
TU490-4036,SYNPCC7942_0923 // SYNPCC7942_0922 // SYNPCC7942_0921,-
TU490-4401,SYNPCC7942_1538,+
TU490-4769,SYNPCC7942_2145 // SYNPCC7942_2144,-
TU490-3652,SYNPCC7942_0294,+
TU490-5135,SYNPCC7942_2064,+
TU490-4020,SYNPCC7942_0900,-
TU490-4385,SYNPCC7942_1515,+
TU490-4753,SYNPCC7942_2117 // SYNPCC7942_2116,-
TU490-3636,SYNPCC7942_0264 // SYNPCC7942_0263,+
TU490-5119,SYNPCC7942_2143,+
TU490-4004,SYNPCC7942_0875 // SYNPCC7942_0874,-
TU490-4369,SYNPCC7942_1487,+
TU490-4737,SYNPCC7942_2088,+
TU490-3620,SYNPCC7942_0233,-
TU490-5103,SYNPCC7942_2280,-
TU490-3988,SYNPCC7942_0849,-
TU490-4353,SYNPCC7942_1457 // SYNPCC7942_1456 // SYNPCC7942_1455,+
TU490-4721,SYNPCC7942_2061 // SYNPCC7942_2060,-
TU490-3604,SYNPCC7942_0208,+
TU490-5087,SYNPCC7942_2351,+
TU490-3972,SYNPCC7942_0823,+
TU490-4337,SYNPCC7942_1434,-
TU490-4705,SYNPCC7942_2037 // SYNPCC7942_2036 // SYNPCC7942_2035,-
TU490-3588,SYNPCC7942_0176,+
TU490-5071,SYNPCC7942_R0018,+
TU490-3956,SYNPCC7942_0795,-
TU490-4321,SYNPCC7942_1409,+
TU490-4689,SYNPCC7942_2009 // SYNPCC7942_2008,+
TU490-3572,SYNPCC7942_0143 // SYNPCC7942_0142 // SYNPCC7942_0141 // SYNPCC7942_0140,-
TU490-5055,SYNPCC7942_2592,-
TU490-3940,SYNPCC7942_0777,-
TU490-5477,SYNPCC7942_2554,-
TU490-4305,SYNPCC7942_1380,+
TU490-4673,SYNPCC7942_1988,-
TU490-5039,SYNPCC7942_2597 // SYNPCC7942_2596,+
TU490-3924,SYNPCC7942_0753 // SYNPCC7942_0752 // SYNPCC7942_0751 // SYNPCC7942_0750,+
TU490-5407,SYNPCC7942_0050,+
TU490-4289,SYNPCC7942_1361 // SYNPCC7942_1360,+
TU490-4657,SYNPCC7942_1961,+
TU490-5023,SYNPCC7942_2567 // SYNPCC7942_2566,+
TU490-3908,SYNPCC7942_0719 // SYNPCC7942_0718 // SYNPCC7942_0717,-
TU490-5391,SYNPCC7942_0173,-
TU490-4276,SYNPCC7942_1338,-
TU490-4641,SYNPCC7942_1940 // SYNPCC7942_1939,+
TU490-5010,SYNPCC7942_R0019,+
TU490-3892,SYNPCC7942_0695,-
TU490-5375,SYNPCC7942_R0030,-
TU490-4260,SYNPCC7942_1315,-
TU490-4625,SYNPCC7942_1915,-
TU490-4994,SYNPCC7942_2513,+
TU490-3876,SYNPCC7942_0667,+
TU490-5359,SYNPCC7942_0414,+
TU490-4244,SYNPCC7942_1289,+
TU490-4609,SYNPCC7942_1885 // SYNPCC7942_1884 // SYNPCC7942_1883,-
TU490-4978,SYNPCC7942_2482,-
TU490-3860,SYNPCC7942_0643,+
TU490-5343,SYNPCC7942_0493,+
TU490-4228,SYNPCC7942_1260,+
TU490-4593,SYNPCC7942_1858,+
TU490-4962,SYNPCC7942_2459,+
TU490-3844,SYNPCC7942_0620,+
TU490-5327,SYNPCC7942_0617,-
TU490-4212,SYNPCC7942_1232,-
TU490-4577,SYNPCC7942_1829 // SYNPCC7942_1828 // SYNPCC7942_1827,+
TU490-4946,SYNPCC7942_2439,+
TU490-3828,SYNPCC7942_R0035,+
TU490-5311,SYNPCC7942_0803,-
TU490-4196,SYNPCC7942_1204 // SYNPCC7942_1203,-
TU490-4561,SYNPCC7942_1802,-
TU490-4930,SYNPCC7942_2416,-
TU490-3812,SYNPCC7942_0576,+
TU490-3562,SYNPCC7942_0129 // SYNPCC7942_0128,+
TU490-5295,SYNPCC7942_0934,+
TU490-4180,SYNPCC7942_1177 // SYNPCC7942_1176 // SYNPCC7942_1175,-
TU490-4545,SYNPCC7942_1780,+
TU490-4914,SYNPCC7942_2394,-
TU490-3796,SYNPCC7942_0548,-
TU490-3546,SYNPCC7942_0107 // SYNPCC7942_0106 // SYNPCC7942_0105,-
TU490-5279,SYNPCC7942_1025,+
TU490-4164,SYNPCC7942_1147,-
TU490-4529,SYNPCC7942_1756 // SYNPCC7942_1755 // SYNPCC7942_1754 // SYNPCC7942_1753,-
TU490-4898,SYNPCC7942_R0013,+
TU490-3780,SYNPCC7942_0521 // SYNPCC7942_0520,+
TU490-3530,SYNPCC7942_0080,-
TU490-5263,SYNPCC7942_1097,+
TU490-4148,SYNPCC7942_1128,+
TU490-4513,SYNPCC7942_1729 // SYNPCC7942_1728,+
TU490-4882,SYNPCC7942_2338,+
TU490-3764,SYNPCC7942_0484,-
TU490-3514,SYNPCC7942_0048,-
TU490-5247,SYNPCC7942_1234,+
TU490-4132,SYNPCC7942_1103,-
TU490-4497,SYNPCC7942_1700,-
TU490-4866,SYNPCC7942_R0012,-
TU490-3748,SYNPCC7942_0459 // SYNPCC7942_0458,-
TU490-3498,SYNPCC7942_0015,-
TU490-5231,SYNPCC7942_1377,+
TU490-4116,SYNPCC7942_1074,-
TU490-4481,SYNPCC7942_1672,+
TU490-4850,SYNPCC7942_2285 // SYNPCC7942_2284,-
TU490-3732,SYNPCC7942_0432 // SYNPCC7942_0431 // SYNPCC7942_0430,+
TU490-1552,SYNPCC7942_B2649,+
TU490-5215,SYNPCC7942_1449,-
TU490-4847,SYNPCC7942_2277,-
TU490-3729,SYNPCC7942_0425,-
TU490-1549,SYNPCC7942_B2644,+
TU490-5212,SYNPCC7942_1479,+
TU490-4097,SYNPCC7942_1044,-
TU490-4462,SYNPCC7942_1640,+
TU490-4831,SYNPCC7942_2250,-
TU490-3713,SYNPCC7942_0392,-
TU490-1533,SYNPCC7942_B2620 // SYNPCC7942_B2619,+
TU490-5196,SYNPCC7942_1579,+
TU490-4081,SYNPCC7942_1002,+
TU490-4446,SYNPCC7942_1622,+
TU490-4815,SYNPCC7942_2220 // SYNPCC7942_2219 // SYNPCC7942_2218 // SYNPCC7942_2217 // SYNPCC7942_2216 // SYNPCC7942_2215,-
TU490-3697,SYNPCC7942_0366,+
TU490-5180,SYNPCC7942_1666,-
TU490-4065,SYNPCC7942_0979,-
TU490-4430,SYNPCC7942_1578,-
TU490-4799,SYNPCC7942_2188 // SYNPCC7942_2187,-
TU490-3681,SYNPCC7942_0342,+
TU490-5164,SYNPCC7942_1820,-
TU490-4049,SYNPCC7942_0950 // SYNPCC7942_0949 // SYNPCC7942_0948 // SYNPCC7942_0947,-
TU490-4414,SYNPCC7942_1559 // SYNPCC7942_1558,+
TU490-4782,SYNPCC7942_2164,+
TU490-3665,SYNPCC7942_0316,-
TU490-5148,SYNPCC7942_1959,+
TU490-4033,SYNPCC7942_0918,+
TU490-4398,SYNPCC7942_1534,+
TU490-4766,SYNPCC7942_2139,+
TU490-3649,SYNPCC7942_0287,+
TU490-5132,SYNPCC7942_2083,+
TU490-4017,SYNPCC7942_0895,-
TU490-4382,SYNPCC7942_1510,-
TU490-4750,SYNPCC7942_2114,+
TU490-3633,SYNPCC7942_0260,-
TU490-5116,SYNPCC7942_2168,+
TU490-4001,SYNPCC7942_0869 // SYNPCC7942_0868 // SYNPCC7942_0867,+
TU490-4366,SYNPCC7942_1478,-
TU490-4734,SYNPCC7942_2082,-
TU490-3617,SYNPCC7942_0229,+
TU490-5100,SYNPCC7942_2283,+
TU490-3985,SYNPCC7942_0844,-
TU490-4350,SYNPCC7942_1451,+
