,value
G490-6,TU490-1524
GCEQ-2175,TU490-5149
SYNPCC7942_0025,TU490-5413
SYNPCC7942_0033,TU490-3505
SYNPCC7942_0034,TU490-5411
SYNPCC7942_0036,TU490-5409
SYNPCC7942_0048,TU490-3514
SYNPCC7942_0049,TU490-3515
SYNPCC7942_0064,TU490-3520
SYNPCC7942_0115,TU490-5401
SYNPCC7942_0117,TU490-3553
SYNPCC7942_0123,TU490-3558
SYNPCC7942_0139,TU490-3571
SYNPCC7942_0170,TU490-3585
SYNPCC7942_0176,TU490-3588
SYNPCC7942_0207,TU490-3603
SYNPCC7942_0306,TU490-3660
SYNPCC7942_0347,TU490-3686
SYNPCC7942_0372,TU490-3700
SYNPCC7942_0389,TU490-5364
SYNPCC7942_0413,TU490-3723
SYNPCC7942_0438,TU490-3735
SYNPCC7942_0452,TU490-5352
SYNPCC7942_0456,TU490-3746
SYNPCC7942_0474,TU490-3759
SYNPCC7942_0476,TU490-5348
SYNPCC7942_0497,TU490-3769
SYNPCC7942_0528,TU490-3785
SYNPCC7942_0577,TU490-3813
SYNPCC7942_0589,TU490-3824
SYNPCC7942_0648,TU490-3864
SYNPCC7942_0668,TU490-5322
SYNPCC7942_0757,TU490-3927
SYNPCC7942_0758,TU490-3927
SYNPCC7942_0763,TU490-3931
SYNPCC7942_0765,TU490-3932
SYNPCC7942_0767,TU490-3934
SYNPCC7942_0784,TU490-3946
SYNPCC7942_0845,TU490-5305
SYNPCC7942_0905,TU490-4024
SYNPCC7942_0906,TU490-4025
SYNPCC7942_0907,TU490-4026
SYNPCC7942_0916,TU490-4031
SYNPCC7942_0974,TU490-4063
SYNPCC7942_0999,TU490-4078
SYNPCC7942_1009,TU490-4086
SYNPCC7942_1023,TU490-4091
SYNPCC7942_1031,TU490-5275
SYNPCC7942_1041,TU490-5271
SYNPCC7942_1084,TU490-5268
SYNPCC7942_1097,TU490-5263
SYNPCC7942_1122,TU490-4144
SYNPCC7942_1174,TU490-4179
SYNPCC7942_1195,TU490-4191
SYNPCC7942_1270,TU490-4235
SYNPCC7942_1286,TU490-4241
SYNPCC7942_1290,TU490-5240
SYNPCC7942_1350,TU490-4282
SYNPCC7942_1357,TU490-4286
SYNPCC7942_1363,TU490-4291
SYNPCC7942_1376,TU490-4301
SYNPCC7942_1382,TU490-4307
SYNPCC7942_1470,TU490-4363
SYNPCC7942_1478,TU490-4366
SYNPCC7942_1539,TU490-4402
SYNPCC7942_1540,TU490-4402
SYNPCC7942_1543,TU490-4405
SYNPCC7942_1560,TU490-4415
SYNPCC7942_1601,TU490-5190
SYNPCC7942_1636,TU490-4458
SYNPCC7942_1670,TU490-4480
SYNPCC7942_1690,TU490-4489
SYNPCC7942_1702,TU490-4499
SYNPCC7942_1705,TU490-4501
SYNPCC7942_1754,TU490-4529
SYNPCC7942_1756,TU490-4529
SYNPCC7942_1757,TU490-5170
SYNPCC7942_1759,TU490-4530
SYNPCC7942_1765,TU490-4534
SYNPCC7942_1812,TU490-4570
SYNPCC7942_1822,TU490-4575
SYNPCC7942_1871,TU490-4601
SYNPCC7942_1955,TU490-4653
SYNPCC7942_1970,TU490-4664
SYNPCC7942_1971,TU490-4664
SYNPCC7942_2002,TU490-4685
SYNPCC7942_2010,TU490-4690
SYNPCC7942_2050,TU490-5138
SYNPCC7942_2056,TU490-4717
SYNPCC7942_2065,TU490-4724
SYNPCC7942_2107,TU490-4746
SYNPCC7942_2189,TU490-4800
SYNPCC7942_2212,TU490-4813
SYNPCC7942_2241,TU490-4824
SYNPCC7942_2251,TU490-4832
SYNPCC7942_2257,TU490-4836
SYNPCC7942_2275,TU490-4845
SYNPCC7942_2336,TU490-4880
SYNPCC7942_2404,TU490-4921
SYNPCC7942_2411,TU490-4926
SYNPCC7942_2413,TU490-4927
SYNPCC7942_2454,TU490-4958
SYNPCC7942_2474,TU490-4973
SYNPCC7942_2479,TU490-5077
SYNPCC7942_2481,TU490-4977
SYNPCC7942_2482,TU490-4978
SYNPCC7942_2485,TU490-4981
SYNPCC7942_2486,TU490-4981
