,query,evalue
BSU00010,S4009,3.09e-135
BSU00020,S4008,3.02e-47
BSU00040,S4007,7.199999999999999e-34
BSU00060,S4006,0.0
BSU00070,S2444,0.0
BSU00090,S2726,3.54e-171
BSU00130,S0893,1.83e-152
BSU00180,S2778,1.0400000000000001e-43
BSU00190,S0422,1.8700000000000003e-80
BSU00200,S0423,1.28e-19
BSU00210,S0424,1.19e-60
BSU00280,S1182,1.9199999999999999e-34
BSU00350,S3413,7.46e-15
BSU00360,S3404,1.5199999999999999e-61
BSU00380,S2303,7.56e-90
BSU00390,S1184,4.35e-67
BSU00420,S0050,2.19e-41
BSU00460,S1295,1.1900000000000001e-26
BSU00480,S3365,3.56e-41
BSU00500,S3958,5.749999999999999e-119
BSU00510,S1294,9.42e-110
BSU00530,S1291,4.84e-31
BSU00550,S1198,0.0
BSU00580,S2990,8.27e-70
BSU00670,S0181,4.4400000000000004e-29
BSU00680,S0124,2.33e-60
BSU00690,S3436,0.0
BSU00710,S4343,7.28e-19
BSU00720,S0392,8.72e-14
BSU00730,S2615,5e-93
BSU00740,S1531,3.69e-81
BSU00750,S4384,9.99e-91
BSU00760,S1180,3.59e-21
BSU00770,S3435,3.25e-66
BSU00780,S3304,6.43e-11
BSU00790,S0137,1.66e-33
BSU00810,S3515,2.7700000000000002e-59
BSU00820,S3075,0.0
BSU00860,S2831,0.0
BSU00870,S4692,2.23e-147
BSU00900,S2963,5.209999999999999e-38
BSU00910,S2962,1.3999999999999999e-61
BSU00920,S2605,1.74e-117
BSU00930,S4122,1.3599999999999999e-46
BSU00940,S0465,1.49e-137
BSU00960,S4603,5.810000000000001e-59
BSU01010,S3680,3.55e-53
BSU01020,S3679,1.48e-66
BSU01030,S3678,8.770000000000001e-73
BSU01040,S3677,1.09e-27
BSU01050,S3676,5.78e-28
BSU01060,S3331,9.05e-19
BSU01070,S3675,0.0
BSU01080,S3674,0.0
BSU01100,S4402,4.7599999999999996e-61
BSU01110,S4403,1.6099999999999998e-67
BSU01120,S4404,0.0
BSU01130,S3682,0.0
BSU01150,S4409,6.26e-46
BSU01160,S4410,7.34e-62
BSU01170,S4411,6.85e-51
BSU01190,S4413,1.02e-113
BSU01200,S4414,3.8e-41
BSU01210,S4415,2.5e-36
BSU01220,S4416,2.24e-90
BSU01230,S4417,1.16e-53
BSU01250,S4419,4.21e-28
BSU01260,S4420,2.9799999999999998e-52
BSU01270,S4421,8.91e-25
BSU01280,S4422,1.54e-81
BSU01300,S4424,1.54e-40
BSU01310,S4425,1.02e-53
BSU01320,S4426,2.08e-24
BSU01330,S4427,5.72e-60
BSU01340,S4428,1.65e-12
BSU01350,S4429,1.1699999999999999e-34
BSU01360,S4430,5.65e-90
BSU01370,S0426,1.99e-67
BSU01380,S0161,4.74e-76
BSU01390,S0884,2.1300000000000002e-35
BSU01410,S4432,9.06e-48
BSU01420,S4433,8.06e-59
BSU01430,S4435,6.64e-87
BSU01440,S4436,1.5e-28
BSU01480,S2529,2.82e-49
BSU01490,S3486,1.4300000000000001e-59
BSU01500,S3485,2.67e-47
BSU01540,S2302,1.2099999999999998e-54
BSU01660,S1191,4.25e-26
BSU01680,S2630,2.24e-80
BSU01690,S1929,1.48e-32
BSU01700,S2629,4.59e-101
BSU01730,S2808,1.49e-29
BSU01770,S3434,1.35e-120
BSU01780,S3959,3.7800000000000003e-144
BSU01800,S2258,8.83e-19
BSU01810,S2427,3.37e-31
BSU02060,S3890,0.0
BSU02130,S2454,1.43e-28
BSU02140,S2455,0.0
BSU02210,S3442,2.64e-12
BSU02230,S1925,1.32e-150
BSU02280,S2528,3.8e-16
BSU02290,S4582,7.68e-23
BSU02320,S4699,3.88e-22
BSU02330,S1139,4.2999999999999994e-48
BSU02350,S0625,1.86e-148
BSU02390,S3914,3.14e-36
BSU02480,S2996,0.0
BSU02490,S2994,0.0
BSU02500,S3479,2.4e-18
BSU02510,S3380,0.0
BSU02690,S3157,6.11e-104
BSU02770,S1567,6.430000000000001e-58
BSU02830,S3087,2.58e-48
BSU02860,S1934,8.8e-34
BSU02870,S1935,1.78e-28
BSU02980,S2891,8.31e-135
BSU02990,S2892,4.27e-76
BSU03020,S2509,5.21e-55
BSU03130,S1603,2.42e-101
BSU03150,S4354,3.72e-23
BSU03160,S0204,1.07e-40
BSU03300,S4379,2.82e-150
