,value
RNAP_CLJURS01630MONOMER,"{'sigma_factor': 'CLJU_RS01630-MONOMER', 'polymerase': 'CPLX271D-23_mod_zn2(1)_mod_mg2(2)'}"
RNAP_CLJURS02050MONOMER,"{'sigma_factor': 'CLJU_RS02050-MONOMER', 'polymerase': 'CPLX271D-23_mod_zn2(1)_mod_mg2(2)'}"
RNAP_CLJURS02545MONOMER,"{'sigma_factor': 'CLJU_RS02545-MONOMER', 'polymerase': 'CPLX271D-23_mod_zn2(1)_mod_mg2(2)'}"
RNAP_CLJURS02550MONOMER,"{'sigma_factor': 'CLJU_RS02550-MONOMER', 'polymerase': 'CPLX271D-23_mod_zn2(1)_mod_mg2(2)'}"
RNAP_CLJURS03350MONOMER,"{'sigma_factor': 'CLJU_RS03350-MONOMER', 'polymerase': 'CPLX271D-23_mod_zn2(1)_mod_mg2(2)'}"
RNAP_CLJURS04050MONOMER,"{'sigma_factor': 'CLJU_RS04050-MONOMER', 'polymerase': 'CPLX271D-23_mod_zn2(1)_mod_mg2(2)'}"
RNAP_CLJURS05110MONOMER,"{'sigma_factor': 'CLJU_RS05110-MONOMER', 'polymerase': 'CPLX271D-23_mod_zn2(1)_mod_mg2(2)'}"
RNAP_CLJURS06015MONOMER,"{'sigma_factor': 'CLJU_RS06015-MONOMER', 'polymerase': 'CPLX271D-23_mod_zn2(1)_mod_mg2(2)'}"
RNAP_CLJURS06045MONOMER,"{'sigma_factor': 'CLJU_RS06045-MONOMER', 'polymerase': 'CPLX271D-23_mod_zn2(1)_mod_mg2(2)'}"
RNAP_CLJURS06050MONOMER,"{'sigma_factor': 'CLJU_RS06050-MONOMER', 'polymerase': 'CPLX271D-23_mod_zn2(1)_mod_mg2(2)'}"
RNAP_CLJURS06665MONOMER,"{'sigma_factor': 'CLJU_RS06665-MONOMER', 'polymerase': 'CPLX271D-23_mod_zn2(1)_mod_mg2(2)'}"
RNAP_CLJURS07695MONOMER,"{'sigma_factor': 'CLJU_RS07695-MONOMER', 'polymerase': 'CPLX271D-23_mod_zn2(1)_mod_mg2(2)'}"
RNAP_CLJURS07935MONOMER,"{'sigma_factor': 'CLJU_RS07935-MONOMER', 'polymerase': 'CPLX271D-23_mod_zn2(1)_mod_mg2(2)'}"
RNAP_CLJURS12070MONOMER,"{'sigma_factor': 'CLJU_RS12070-MONOMER', 'polymerase': 'CPLX271D-23_mod_zn2(1)_mod_mg2(2)'}"
RNAP_CLJURS12765MONOMER,"{'sigma_factor': 'CLJU_RS12765-MONOMER', 'polymerase': 'CPLX271D-23_mod_zn2(1)_mod_mg2(2)'}"
RNAP_CLJURS13055MONOMER,"{'sigma_factor': 'CLJU_RS13055-MONOMER', 'polymerase': 'CPLX271D-23_mod_zn2(1)_mod_mg2(2)'}"
RNAP_CLJURS13580MONOMER,"{'sigma_factor': 'CLJU_RS13580-MONOMER', 'polymerase': 'CPLX271D-23_mod_zn2(1)_mod_mg2(2)'}"
RNAP_CLJURS14740MONOMER,"{'sigma_factor': 'CLJU_RS14740-MONOMER', 'polymerase': 'CPLX271D-23_mod_zn2(1)_mod_mg2(2)'}"
RNAP_CLJURS15950MONOMER,"{'sigma_factor': 'CLJU_RS15950-MONOMER', 'polymerase': 'CPLX271D-23_mod_zn2(1)_mod_mg2(2)'}"
RNAP_CLJURS16035MONOMER,"{'sigma_factor': 'CLJU_RS16035-MONOMER', 'polymerase': 'CPLX271D-23_mod_zn2(1)_mod_mg2(2)'}"
RNAP_CLJURS16735MONOMER,"{'sigma_factor': 'CLJU_RS16735-MONOMER', 'polymerase': 'CPLX271D-23_mod_zn2(1)_mod_mg2(2)'}"
RNAP_CLJURS16875MONOMER,"{'sigma_factor': 'CLJU_RS16875-MONOMER', 'polymerase': 'CPLX271D-23_mod_zn2(1)_mod_mg2(2)'}"
RNAP_CLJURS18020MONOMER,"{'sigma_factor': 'CLJU_RS18020-MONOMER', 'polymerase': 'CPLX271D-23_mod_zn2(1)_mod_mg2(2)'}"
RNAP_CLJURS19285MONOMER,"{'sigma_factor': 'CLJU_RS19285-MONOMER', 'polymerase': 'CPLX271D-23_mod_zn2(1)_mod_mg2(2)'}"
RNAP_CLJURS20310MONOMER,"{'sigma_factor': 'CLJU_RS20310-MONOMER', 'polymerase': 'CPLX271D-23_mod_zn2(1)_mod_mg2(2)'}"
